projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/skyline-console,openstack/nova,Core,0.07102272727272728,0.0,2,14
openstack/skyline-console,openstack/nova,Non core,0.07102272727272728,0.554016620498615,2,14
openstack/skyline-console,openstack/puppet-nova,Core,0.0,0.0,0,4
openstack/skyline-console,openstack/puppet-nova,Non core,0.0,1.098901098901099,0,4
openstack/skyline-console,openstack/swift,Core,0.24271844660194172,0.0,1,8
openstack/skyline-console,openstack/swift,Non core,0.0,1.2598425196850394,1,8
openstack/skyline-console,openstack/tripleo-ansible,Core,0.0,0.0,0,6
openstack/skyline-console,openstack/tripleo-ansible,Non core,0.0,2.5316455696202533,0,6
openstack/skyline-console,openstack/sushy,Core,0.0,0.0,0,2
openstack/skyline-console,openstack/sushy,Non core,0.0,1.4925373134328357,0,2
openstack/skyline-console,openstack/puppet-tripleo,Core,0.0,0.0,0,7
openstack/skyline-console,openstack/puppet-tripleo,Non core,0.0,1.5086206896551724,0,7
openstack/skyline-console,openstack/cinder,Core,0.09328358208955223,0.0,4,15
openstack/skyline-console,openstack/cinder,Non core,0.2798507462686567,0.7991475759190196,4,15
openstack/skyline-console,openstack/ironic,Core,0.19120458891013384,0.0,1,11
openstack/skyline-console,openstack/ironic,Non core,0.0,1.2971698113207548,1,11
openstack/skyline-console,openstack/tacker,Core,0.4484304932735426,0.0,1,4
openstack/skyline-console,openstack/tacker,Non core,0.0,1.2121212121212122,1,4
openstack/skyline-console,openstack/manila,Core,0.25510204081632654,0.0,3,11
openstack/skyline-console,openstack/manila,Non core,0.5102040816326531,1.7322834645669292,3,11
openstack/skyline-console,openstack/tripleo-heat-templates,Core,0.0,0.0,0,14
openstack/skyline-console,openstack/tripleo-heat-templates,Non core,0.0,1.7326732673267329,0,14
openstack/skyline-console,openstack/tripleo-upgrade,Core,0.0,0.0,0,9
openstack/skyline-console,openstack/tripleo-upgrade,Non core,0.0,4.639175257731959,0,9
openstack/skyline-console,openstack/tripleo-common,Core,0.0,0.0,0,7
openstack/skyline-console,openstack/tripleo-common,Non core,0.0,1.6203703703703702,0,7
openstack/skyline-console,openstack/openstack-helm-infra,Core,0.0,0.0,0,6
openstack/skyline-console,openstack/openstack-helm-infra,Non core,0.0,1.7241379310344827,0,6
openstack/skyline-console,openstack/os-vif,Core,0.0,0.0,1,3
openstack/skyline-console,openstack/os-vif,Non core,1.1111111111111112,1.7647058823529411,1,3
openstack/skyline-console,openstack/charm-cinder,Core,0.0,0.0,0,4
openstack/skyline-console,openstack/charm-cinder,Non core,0.0,4.651162790697675,0,4
openstack/skyline-console,openstack/tripleo-ci,Core,0.0,0.0,0,4
openstack/skyline-console,openstack/tripleo-ci,Non core,0.0,1.2232415902140672,0,4
openstack/skyline-console,openstack/openstack-helm,Core,0.0,0.0,0,7
openstack/skyline-console,openstack/openstack-helm,Non core,0.0,1.8134715025906734,0,7
openstack/skyline-console,openstack/ironic-inspector,Core,0.0,0.0,0,8
openstack/skyline-console,openstack/ironic-inspector,Non core,0.0,3.2388663967611335,0,8
openstack/skyline-console,openstack/designate-specs,Core,0.0,0.0,0,0
openstack/skyline-console,openstack/designate-specs,Non core,0.0,0.0,0,0
openstack/skyline-console,openstack/ironic-python-agent,Core,0.0,0.0,0,3
openstack/skyline-console,openstack/ironic-python-agent,Non core,0.0,0.949367088607595,0,3
openstack/skyline-console,openstack/glance,Core,0.17889087656529518,0.0,1,9
openstack/skyline-console,openstack/glance,Non core,0.0,0.9513742071881607,1,9
openstack/skyline-console,openstack/tripleo-validations,Core,0.0,0.0,0,6
openstack/skyline-console,openstack/tripleo-validations,Non core,0.0,2.803738317757009,0,6
openstack/skyline-console,openstack/kolla-ansible,Core,0.0,0.0,1,10
openstack/skyline-console,openstack/kolla-ansible,Non core,0.27472527472527475,1.644736842105263,1,10
openstack/skyline-console,openstack/barbican,Core,0.36363636363636365,0.0,2,6
openstack/skyline-console,openstack/barbican,Non core,0.36363636363636365,1.4354066985645932,2,6
openstack/skyline-console,openstack/manila-tempest-plugin,Core,0.0,0.0,0,4
openstack/skyline-console,openstack/manila-tempest-plugin,Non core,0.0,3.7383177570093453,0,4
openstack/skyline-console,openstack/networking-ovn,Core,0.0,0.0,0,5
