projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/sushy-oem-idrac,openstack/python-dracclient,Core,6.976744186046512,8.974358974358974,5,14
openstack/sushy-oem-idrac,openstack/python-dracclient,Non core,4.651162790697675,8.974358974358974,5,14
openstack/sushy-oem-idrac,openstack/openstack-ansible-os_adjutant,Core,0.0,0.0,0,0
openstack/sushy-oem-idrac,openstack/openstack-ansible-os_adjutant,Non core,0.0,0.0,0,0
openstack/sushy-oem-idrac,openstack/openstack-ansible-os_masakari,Core,0.0,0.0,0,0
openstack/sushy-oem-idrac,openstack/openstack-ansible-os_masakari,Non core,0.0,0.0,0,0
openstack/sushy-oem-idrac,openstack/ansible-role-systemd_mount,Core,0.0,0.0,0,0
openstack/sushy-oem-idrac,openstack/ansible-role-systemd_mount,Non core,0.0,0.0,0,0
openstack/sushy-oem-idrac,openstack/python-senlinclient,Core,0.0,0.78125,0,2
openstack/sushy-oem-idrac,openstack/python-senlinclient,Non core,0.0,0.78125,0,2
openstack/sushy-oem-idrac,openstack/senlin-dashboard,Core,0.0,0.8771929824561403,0,1
openstack/sushy-oem-idrac,openstack/senlin-dashboard,Non core,0.0,0.0,0,1
openstack/sushy-oem-idrac,openstack/networking-generic-switch,Core,1.3888888888888888,7.446808510638298,1,9
openstack/sushy-oem-idrac,openstack/networking-generic-switch,Non core,0.0,2.127659574468085,1,9
openstack/sushy-oem-idrac,openstack/sahara-image-elements,Core,0.0,0.0,0,0
openstack/sushy-oem-idrac,openstack/sahara-image-elements,Non core,0.0,0.0,0,0
openstack/sushy-oem-idrac,openstack/ansible-role-thales-hsm,Core,0.0,0.0,0,0
openstack/sushy-oem-idrac,openstack/ansible-role-thales-hsm,Non core,0.0,0.0,0,0
openstack/sushy-oem-idrac,openstack/ansible-role-atos-hsm,Core,0.0,0.0,0,0
openstack/sushy-oem-idrac,openstack/ansible-role-atos-hsm,Non core,0.0,0.0,0,0
openstack/sushy-oem-idrac,openstack/adjutant-ui,Core,0.0,2.380952380952381,0,1
openstack/sushy-oem-idrac,openstack/adjutant-ui,Non core,0.0,0.0,0,1
openstack/sushy-oem-idrac,openstack/sahara-extra,Core,0.0,0.0,0,0
openstack/sushy-oem-idrac,openstack/sahara-extra,Non core,0.0,0.0,0,0
openstack/sushy-oem-idrac,openstack/blazar-nova,Core,0.0,1.2345679012345678,0,1
openstack/sushy-oem-idrac,openstack/blazar-nova,Non core,0.0,0.0,0,1
openstack/sushy-oem-idrac,openstack/oslo.service,Core,0.0,1.8292682926829267,0,3
