projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/tacker-specs,openstack/openstack-ansible-galera_server,Core,3.0303030303030303,0.8298755186721992,5,12
openstack/tacker-specs,openstack/openstack-ansible-galera_server,Non core,0.7575757575757576,4.149377593360995,5,12
openstack/tacker-specs,openstack/puppet-openstack_spec_helper,Core,4.49438202247191,2.0202020202020203,4,12
openstack/tacker-specs,openstack/puppet-openstack_spec_helper,Non core,0.0,4.040404040404041,4,12
openstack/tacker-specs,openstack/trove-dashboard,Core,3.5398230088495577,2.4,5,15
openstack/tacker-specs,openstack/trove-dashboard,Non core,0.8849557522123894,3.5999999999999996,5,15
openstack/tacker-specs,openstack/pyeclib,Core,2.73972602739726,0.591715976331361,2,2
openstack/tacker-specs,openstack/pyeclib,Non core,0.0,0.591715976331361,2,2
openstack/tacker-specs,openstack/neutron-vpnaas,Core,2.6178010471204187,2.3622047244094486,6,23
openstack/tacker-specs,openstack/neutron-vpnaas,Non core,0.5235602094240838,3.674540682414698,6,23
openstack/tacker-specs,openstack/charm-designate,Core,1.0638297872340425,1.1299435028248588,1,6
openstack/tacker-specs,openstack/charm-designate,Non core,0.0,2.2598870056497176,1,6
openstack/tacker-specs,openstack/neutron-lbaas,Core,2.4,1.25,9,22
openstack/tacker-specs,openstack/neutron-lbaas,Non core,1.2,3.3333333333333335,9,22
openstack/tacker-specs,openstack/oslo.privsep,Core,2.5210084033613445,1.7543859649122806,4,13
openstack/tacker-specs,openstack/oslo.privsep,Non core,0.8403361344537815,3.9473684210526314,4,13
openstack/tacker-specs,openstack/charm-glance,Core,1.8518518518518516,1.6216216216216217,3,8
openstack/tacker-specs,openstack/charm-glance,Non core,0.9259259259259258,2.7027027027027026,3,8
openstack/tacker-specs,openstack/charm-ceph-mon,Core,1.7391304347826086,1.0256410256410255,4,7
openstack/tacker-specs,openstack/charm-ceph-mon,Non core,1.7391304347826086,2.564102564102564,4,7
openstack/tacker-specs,openstack/vitrage,Core,2.8901734104046244,2.711864406779661,8,21
openstack/tacker-specs,openstack/vitrage,Non core,1.7341040462427744,4.406779661016949,8,21
openstack/tacker-specs,openstack/puppet-murano,Core,2.7522935779816518,1.8433179723502304,4,11
openstack/tacker-specs,openstack/puppet-murano,Non core,0.9174311926605505,3.225806451612903,4,11
openstack/tacker-specs,openstack/networking-bagpipe,Core,4.587155963302752,2.643171806167401,6,17
openstack/tacker-specs,openstack/networking-bagpipe,Non core,0.9174311926605505,4.845814977973569,6,17
openstack/tacker-specs,openstack/api-site,Core,1.7142857142857144,2.5684931506849313,8,30
openstack/tacker-specs,openstack/api-site,Non core,0.5714285714285714,2.5684931506849313,8,30
openstack/tacker-specs,openstack/charm-cinder-purestorage,Core,0.0,0.6172839506172839,0,1
