projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/tap-as-a-service,openstack/tripleo-quickstart-extras,Core,2.9069767441860463,2.0348837209302326,5,22
openstack/tap-as-a-service,openstack/tripleo-quickstart-extras,Non core,0.0,4.3604651162790695,5,22
openstack/tap-as-a-service,openstack/openstacksdk,Core,3.459119496855346,3.2119914346895073,14,37
openstack/tap-as-a-service,openstack/openstacksdk,Non core,0.9433962264150944,4.710920770877944,14,37
openstack/tap-as-a-service,openstack/openstack-ansible-os_octavia,Core,3.061224489795918,1.6574585635359116,4,11
openstack/tap-as-a-service,openstack/openstack-ansible-os_octavia,Non core,1.0204081632653061,4.41988950276243,4,11
openstack/tap-as-a-service,openstack/requirements,Core,2.023121387283237,2.032838154808444,20,62
openstack/tap-as-a-service,openstack/requirements,Non core,0.8670520231213872,2.8146989835809224,20,62
openstack/tap-as-a-service,openstack/puppet-ironic,Core,3.546099290780142,1.6129032258064515,8,15
openstack/tap-as-a-service,openstack/puppet-ironic,Non core,2.127659574468085,4.435483870967742,8,15
openstack/tap-as-a-service,openstack/charm-glance-k8s,Core,0.0,0.0,1,0
openstack/tap-as-a-service,openstack/charm-glance-k8s,Non core,2.083333333333333,0.0,1,0
openstack/tap-as-a-service,openstack/python-tripleoclient,Core,2.1551724137931036,1.66270783847981,7,26
openstack/tap-as-a-service,openstack/python-tripleoclient,Non core,0.8620689655172413,4.513064133016627,7,26
openstack/tap-as-a-service,openstack/puppet-keystone,Core,2.941176470588235,1.8181818181818181,7,24
openstack/tap-as-a-service,openstack/puppet-keystone,Non core,0.49019607843137253,5.454545454545454,7,24
openstack/tap-as-a-service,openstack/networking-bgpvpn,Core,9.923664122137405,9.090909090909092,18,48
openstack/tap-as-a-service,openstack/networking-bgpvpn,Non core,3.816793893129771,11.688311688311687,18,48
openstack/tap-as-a-service,openstack/ovn-octavia-provider,Core,6.349206349206349,5.594405594405594,4,10
openstack/tap-as-a-service,openstack/ovn-octavia-provider,Non core,0.0,1.3986013986013985,4,10
openstack/tap-as-a-service,openstack/python-openstackclient,Core,2.4439918533604885,2.9931972789115644,20,58
openstack/tap-as-a-service,openstack/python-openstackclient,Non core,1.6293279022403258,4.8979591836734695,20,58
openstack/tap-as-a-service,openstack/puppet-openstacklib,Core,4.0650406504065035,1.2345679012345678,5,9
openstack/tap-as-a-service,openstack/puppet-openstacklib,Non core,0.0,2.4691358024691357,5,9
openstack/tap-as-a-service,openstack/puppet-aodh,Core,3.8834951456310676,2.631578947368421,5,16
openstack/tap-as-a-service,openstack/puppet-aodh,Non core,0.9708737864077669,5.7894736842105265,5,16
openstack/tap-as-a-service,openstack/neutron-lib,Core,6.25,5.7441253263707575,18,56
openstack/tap-as-a-service,openstack/neutron-lib,Non core,2.403846153846154,8.87728459530026,18,56
openstack/tap-as-a-service,openstack/puppet-tempest,Core,5.607476635514018,2.4752475247524752,7,12
openstack/tap-as-a-service,openstack/puppet-tempest,Non core,0.9345794392523363,3.4653465346534658,7,12
openstack/tap-as-a-service,openstack/nova-specs,Core,2.7586206896551726,1.932367149758454,11,38
openstack/tap-as-a-service,openstack/nova-specs,Non core,1.0344827586206897,2.657004830917874,11,38
