projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/tempest-stress,openstack/charm-neutron-api-genericswitch,Core,8.695652173913043,9.090909090909092,3,2
openstack/tempest-stress,openstack/charm-neutron-api-genericswitch,Non core,4.3478260869565215,0.0,3,2
openstack/tempest-stress,openstack/charm-neutron-dynamic-routing,Core,5.714285714285714,6.0606060606060606,3,4
openstack/tempest-stress,openstack/charm-neutron-dynamic-routing,Non core,2.857142857142857,6.0606060606060606,3,4
openstack/tempest-stress,openstack/charm-interface-ceph-client,Core,3.4482758620689653,7.142857142857142,1,2
openstack/tempest-stress,openstack/charm-interface-ceph-client,Non core,0.0,0.0,1,2
openstack/tempest-stress,openstack/charm-percona-cluster,Core,1.6666666666666667,3.125,2,5
openstack/tempest-stress,openstack/charm-percona-cluster,Non core,1.6666666666666667,4.6875,2,5
openstack/tempest-stress,openstack/charm-deployment-guide,Core,3.9215686274509802,2.0,3,2
openstack/tempest-stress,openstack/charm-deployment-guide,Non core,1.9607843137254901,2.0,3,2
openstack/tempest-stress,openstack/rbd-iscsi-client,Core,0.0,0.0,0,0
openstack/tempest-stress,openstack/rbd-iscsi-client,Non core,0.0,0.0,0,0
openstack/tempest-stress,openstack/oslo.metrics,Core,0.0,3.0303030303030303,3,1
openstack/tempest-stress,openstack/oslo.metrics,Non core,11.11111111111111,0.0,3,1
openstack/tempest-stress,openstack/oslo.vmware,Core,3.1578947368421053,1.9736842105263157,7,10
openstack/tempest-stress,openstack/oslo.vmware,Non core,4.2105263157894735,4.605263157894736,7,10
openstack/tempest-stress,openstack/oslo.upgradecheck,Core,8.571428571428571,7.317073170731707,5,6
openstack/tempest-stress,openstack/oslo.upgradecheck,Non core,5.714285714285714,7.317073170731707,5,6
openstack/tempest-stress,openstack/python-masakariclient,Core,5.172413793103448,8.47457627118644,6,12
openstack/tempest-stress,openstack/python-masakariclient,Non core,5.172413793103448,11.864406779661017,6,12
openstack/tempest-stress,openstack/python-vitrageclient,Core,4.477611940298507,5.769230769230769,9,6
openstack/tempest-stress,openstack/python-vitrageclient,Non core,8.955223880597014,5.769230769230769,9,6
openstack/tempest-stress,openstack/python-blazarclient,Core,6.0606060606060606,7.228915662650602,9,13
openstack/tempest-stress,openstack/python-blazarclient,Non core,7.575757575757576,8.433734939759036,9,13
openstack/tempest-stress,openstack/zaqar-tempest-plugin,Core,6.25,7.6923076923076925,3,5
openstack/tempest-stress,openstack/zaqar-tempest-plugin,Non core,3.125,5.128205128205128,3,5
openstack/tempest-stress,openstack/tripleo-common-tempest-plugin,Core,12.5,9.30232558139535,7,9
openstack/tempest-stress,openstack/tripleo-common-tempest-plugin,Non core,9.375,11.627906976744185,7,9
openstack/tempest-stress,openstack/mistral-tempest-plugin,Core,4.761904761904762,4.166666666666666,4,6
openstack/tempest-stress,openstack/mistral-tempest-plugin,Non core,4.761904761904762,8.333333333333332,4,6
openstack/tempest-stress,openstack/barbican-ui,Core,4.545454545454546,6.896551724137931,1,2
