projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/tripleo-ansible,openstack/sushy,Core,2.2857142857142856,2.768166089965398,5,16
openstack/tripleo-ansible,openstack/sushy,Non core,0.5714285714285714,2.768166089965398,5,16
openstack/tripleo-ansible,openstack/puppet-tripleo,Core,13.91941391941392,13.64562118126273,70,149
openstack/tripleo-ansible,openstack/puppet-tripleo,Non core,11.72161172161172,16.700610997963338,70,149
openstack/tripleo-ansible,openstack/cinder,Core,1.7436791630340016,1.7658930373360242,30,79
openstack/tripleo-ansible,openstack/cinder,Non core,0.8718395815170008,2.219979818365288,30,79
openstack/tripleo-ansible,openstack/ironic,Core,2.6533996683250414,3.089598352214212,22,57
openstack/tripleo-ansible,openstack/ironic,Non core,0.9950248756218906,2.780638516992791,22,57
openstack/tripleo-ansible,openstack/tacker,Core,2.229299363057325,2.2869022869022873,11,22
openstack/tripleo-ansible,openstack/tacker,Non core,1.2738853503184715,2.2869022869022873,11,22
openstack/tripleo-ansible,openstack/manila,Core,2.7139874739039667,3.6601307189542487,17,50
openstack/tripleo-ansible,openstack/manila,Non core,0.8350730688935281,2.8758169934640523,17,50
openstack/tripleo-ansible,openstack/tripleo-heat-templates,Core,11.793611793611793,9.577114427860696,102,187
openstack/tripleo-ansible,openstack/tripleo-heat-templates,Non core,13.267813267813267,13.681592039800993,102,187
openstack/tripleo-ansible,openstack/tripleo-upgrade,Core,13.245033112582782,12.274368231046932,34,95
openstack/tripleo-ansible,openstack/tripleo-upgrade,Non core,9.271523178807946,22.021660649819495,34,95
openstack/tripleo-ansible,openstack/tripleo-common,Core,17.05426356589147,13.978494623655912,85,143
openstack/tripleo-ansible,openstack/tripleo-common,Non core,15.891472868217054,16.7741935483871,85,143
openstack/tripleo-ansible,openstack/openstack-helm-infra,Core,0.6779661016949152,1.1976047904191618,6,22
openstack/tripleo-ansible,openstack/openstack-helm-infra,Non core,1.3559322033898304,3.1936127744510974,6,22
openstack/tripleo-ansible,openstack/os-vif,Core,2.1621621621621623,4.777070063694268,7,28
openstack/tripleo-ansible,openstack/os-vif,Non core,1.6216216216216217,4.140127388535031,7,28
openstack/tripleo-ansible,openstack/charm-cinder,Core,1.257861635220126,1.1764705882352942,2,4
openstack/tripleo-ansible,openstack/charm-cinder,Non core,0.0,0.39215686274509803,2,4
openstack/tripleo-ansible,openstack/tripleo-ci,Core,15.625,14.728682170542637,53,113
openstack/tripleo-ansible,openstack/tripleo-ci,Non core,11.979166666666668,14.470284237726098,53,113
openstack/tripleo-ansible,openstack/openstack-helm,Core,1.2618296529968454,1.4842300556586272,8,23
openstack/tripleo-ansible,openstack/openstack-helm,Non core,1.2618296529968454,2.782931354359926,8,23
openstack/tripleo-ansible,openstack/ironic-inspector,Core,2.904564315352697,4.675324675324675,12,39
openstack/tripleo-ansible,openstack/ironic-inspector,Non core,2.0746887966804977,5.454545454545454,12,39
openstack/tripleo-ansible,openstack/designate-specs,Core,1.3245033112582782,1.2295081967213115,2,3
openstack/tripleo-ansible,openstack/designate-specs,Non core,0.0,0.0,2,3
openstack/tripleo-ansible,openstack/ironic-python-agent,Core,2.0618556701030926,3.8202247191011236,10,43
openstack/tripleo-ansible,openstack/ironic-python-agent,Non core,1.3745704467353952,5.842696629213483,10,43
openstack/tripleo-ansible,openstack/glance,Core,1.8547140649149922,2.7230046948356805,14,59
openstack/tripleo-ansible,openstack/glance,Non core,0.3091190108191654,2.8169014084507045,14,59
openstack/tripleo-ansible,openstack/tripleo-validations,Core,15.300546448087433,14.186851211072666,57,100
openstack/tripleo-ansible,openstack/tripleo-validations,Non core,15.846994535519126,20.415224913494807,57,100
openstack/tripleo-ansible,openstack/kolla-ansible,Core,1.7738359201773837,3.1081081081081083,15,47
openstack/tripleo-ansible,openstack/kolla-ansible,Non core,1.5521064301552108,3.2432432432432434,15,47
openstack/tripleo-ansible,openstack/barbican,Core,3.910614525139665,4.587155963302752,20,48
openstack/tripleo-ansible,openstack/barbican,Non core,1.675977653631285,4.220183486238533,20,48
openstack/tripleo-ansible,openstack/manila-tempest-plugin,Core,4.320987654320987,3.802281368821293,7,17
openstack/tripleo-ansible,openstack/manila-tempest-plugin,Non core,0.0,2.6615969581749046,7,17
openstack/tripleo-ansible,openstack/networking-ovn,Core,5.263157894736842,7.751937984496124,18,56
openstack/tripleo-ansible,openstack/networking-ovn,Non core,2.631578947368421,6.718346253229974,18,56
openstack/tripleo-ansible,openstack/designate,Core,3.296703296703297,3.4416826003824093,16,32
openstack/tripleo-ansible,openstack/designate,Non core,1.098901098901099,2.676864244741874,16,32
openstack/tripleo-ansible,openstack/ansible-role-uwsgi,Core,0.7936507936507936,0.9174311926605505,1,3
openstack/tripleo-ansible,openstack/ansible-role-uwsgi,Non core,0.0,0.45871559633027525,1,3
openstack/tripleo-ansible,openstack/ironic-specs,Core,1.3574660633484164,2.4489795918367347,5,21
openstack/tripleo-ansible,openstack/ironic-specs,Non core,0.904977375565611,1.8367346938775513,5,21
openstack/tripleo-ansible,openstack/tap-as-a-service,Core,3.1446540880503147,1.6556291390728477,5,13
openstack/tripleo-ansible,openstack/tap-as-a-service,Non core,0.0,2.6490066225165565,5,13
openstack/tripleo-ansible,openstack/tripleo-quickstart-extras,Core,17.801047120418847,17.99410029498525,60,124
openstack/tripleo-ansible,openstack/tripleo-quickstart-extras,Non core,13.612565445026178,18.58407079646018,60,124
openstack/tripleo-ansible,openstack/openstacksdk,Core,5.774278215223097,7.037037037037037,25,61
openstack/tripleo-ansible,openstack/openstacksdk,Non core,0.7874015748031495,4.2592592592592595,25,61
openstack/tripleo-ansible,openstack/openstack-ansible-os_octavia,Core,2.3529411764705883,3.2846715328467155,6,15
openstack/tripleo-ansible,openstack/openstack-ansible-os_octavia,Non core,1.1764705882352942,2.18978102189781,6,15
openstack/tripleo-ansible,openstack/requirements,Core,4.026845637583892,4.981132075471698,41,113
openstack/tripleo-ansible,openstack/requirements,Non core,1.476510067114094,3.547169811320755,41,113
openstack/tripleo-ansible,openstack/puppet-ironic,Core,6.0,6.031746031746032,23,45
openstack/tripleo-ansible,openstack/puppet-ironic,Non core,5.5,8.253968253968253,23,45
openstack/tripleo-ansible,openstack/charm-glance-k8s,Core,0.0,0.0,0,0
openstack/tripleo-ansible,openstack/charm-glance-k8s,Non core,0.0,0.0,0,0
openstack/tripleo-ansible,openstack/python-tripleoclient,Core,13.025210084033615,12.530120481927712,75,129
openstack/tripleo-ansible,openstack/python-tripleoclient,Non core,18.487394957983195,18.55421686746988,75,129
openstack/tripleo-ansible,openstack/puppet-keystone,Core,7.0588235294117645,8.483290488431876,30,62
openstack/tripleo-ansible,openstack/puppet-keystone,Non core,4.705882352941177,7.455012853470437,30,62
openstack/tripleo-ansible,openstack/networking-bgpvpn,Core,3.755868544600939,4.034582132564841,10,29
openstack/tripleo-ansible,openstack/networking-bgpvpn,Non core,0.9389671361502347,4.322766570605188,10,29
openstack/tripleo-ansible,openstack/ovn-octavia-provider,Core,4.511278195488721,8.520179372197308,8,27
openstack/tripleo-ansible,openstack/ovn-octavia-provider,Non core,1.5037593984962405,3.587443946188341,8,27
openstack/tripleo-ansible,openstack/python-openstackclient,Core,2.6785714285714284,4.866180048661801,25,68
openstack/tripleo-ansible,openstack/python-openstackclient,Non core,1.7857142857142856,3.40632603406326,25,68
openstack/tripleo-ansible,openstack/puppet-openstacklib,Core,8.379888268156424,9.933774834437086,23,47
openstack/tripleo-ansible,openstack/puppet-openstacklib,Non core,4.4692737430167595,5.629139072847682,23,47
openstack/tripleo-ansible,openstack/puppet-aodh,Core,4.142011834319527,3.942652329749104,13,24
openstack/tripleo-ansible,openstack/puppet-aodh,Non core,3.5502958579881656,4.659498207885305,13,24
openstack/tripleo-ansible,openstack/neutron-lib,Core,3.1358885017421603,4.417670682730924,13,38
openstack/tripleo-ansible,openstack/neutron-lib,Non core,1.3937282229965158,3.2128514056224895,13,38
openstack/tripleo-ansible,openstack/puppet-tempest,Core,6.395348837209303,5.633802816901409,16,27
openstack/tripleo-ansible,openstack/puppet-tempest,Non core,2.9069767441860463,3.873239436619718,16,27
openstack/tripleo-ansible,openstack/nova-specs,Core,1.3623978201634876,2.7292576419213974,8,47
openstack/tripleo-ansible,openstack/nova-specs,Non core,0.8174386920980926,2.4017467248908297,8,47
openstack/tripleo-ansible,openstack/puppet-designate,Core,4.093567251461988,4.044117647058823,13,23
openstack/tripleo-ansible,openstack/puppet-designate,Non core,3.508771929824561,4.411764705882353,13,23
openstack/tripleo-ansible,openstack/trove,Core,2.9484029484029484,2.564102564102564,13,33
openstack/tripleo-ansible,openstack/trove,Non core,0.2457002457002457,2.413273001508296,13,33
openstack/tripleo-ansible,openstack/charm-nova-k8s,Core,0.0,0.0,0,0
openstack/tripleo-ansible,openstack/charm-nova-k8s,Non core,0.0,0.0,0,0
openstack/tripleo-ansible,openstack/charm-keystone-k8s,Core,0.0,0.0,0,1
openstack/tripleo-ansible,openstack/charm-keystone-k8s,Non core,0.0,0.47393364928909953,0,1
openstack/tripleo-ansible,openstack/charm-placement-k8s,Core,0.0,0.0,0,0
openstack/tripleo-ansible,openstack/charm-placement-k8s,Non core,0.0,0.0,0,0
openstack/tripleo-ansible,openstack/charm-horizon-k8s,Core,0.0,0.0,0,0
openstack/tripleo-ansible,openstack/charm-horizon-k8s,Non core,0.0,0.0,0,0
openstack/tripleo-ansible,openstack/charm-cinder-k8s,Core,0.0,0.0,0,0
openstack/tripleo-ansible,openstack/charm-cinder-k8s,Non core,0.0,0.0,0,0
openstack/tripleo-ansible,openstack/ceilometer,Core,2.536231884057971,3.380588876772083,21,52
openstack/tripleo-ansible,openstack/ceilometer,Non core,1.2681159420289856,2.2900763358778624,21,52
openstack/tripleo-ansible,openstack/charm-cinder-ceph-k8s,Core,0.0,0.0,0,0
openstack/tripleo-ansible,openstack/charm-cinder-ceph-k8s,Non core,0.0,0.0,0,0
openstack/tripleo-ansible,openstack/puppet-zaqar,Core,4.545454545454546,3.2,9,15
openstack/tripleo-ansible,openstack/puppet-zaqar,Non core,1.2987012987012987,2.8000000000000003,9,15
openstack/tripleo-ansible,openstack/puppet-openstack_extras,Core,5.095541401273886,3.4220532319391634,12,19
openstack/tripleo-ansible,openstack/puppet-openstack_extras,Non core,2.547770700636943,3.802281368821293,12,19
openstack/tripleo-ansible,openstack/puppet-openstack-integration,Core,8.064516129032258,11.403508771929824,23,70
openstack/tripleo-ansible,openstack/puppet-openstack-integration,Non core,4.301075268817205,9.064327485380117,23,70
openstack/tripleo-ansible,openstack/puppet-octavia,Core,8.80503144654088,6.666666666666667,22,36
openstack/tripleo-ansible,openstack/puppet-octavia,Non core,5.031446540880504,8.333333333333332,22,36
openstack/tripleo-ansible,openstack/heat,Core,4.032258064516129,3.753351206434316,40,85
openstack/tripleo-ansible,openstack/heat,Non core,2.4193548387096775,3.842716711349419,40,85
openstack/tripleo-ansible,openstack/openstack-ansible-os_nova,Core,2.2026431718061676,2.2222222222222223,7,18
openstack/tripleo-ansible,openstack/openstack-ansible-os_nova,Non core,0.881057268722467,2.7777777777777777,7,18
openstack/tripleo-ansible,openstack/openstack-ansible-os_heat,Core,2.7472527472527473,2.888086642599278,7,14
openstack/tripleo-ansible,openstack/openstack-ansible-os_heat,Non core,1.098901098901099,2.166064981949458,7,14
openstack/tripleo-ansible,openstack/project-config,Core,2.9940119760479043,3.71900826446281,50,116
openstack/tripleo-ansible,openstack/project-config,Non core,1.2831479897348161,2.272727272727273,50,116
openstack/tripleo-ansible,openstack/tripleo-quickstart,Core,17.22488038277512,15.159574468085108,64,124
openstack/tripleo-ansible,openstack/tripleo-quickstart,Non core,13.397129186602871,17.819148936170212,64,124
openstack/tripleo-ansible,openstack/ansible-collections-openstack,Core,4.242424242424243,8.936170212765958,11,28
openstack/tripleo-ansible,openstack/ansible-collections-openstack,Non core,2.4242424242424243,2.9787234042553195,11,28
openstack/tripleo-ansible,openstack/openstack-ansible,Core,3.116883116883117,2.8213166144200628,18,38
openstack/tripleo-ansible,openstack/openstack-ansible,Non core,1.5584415584415585,3.1347962382445136,18,38
openstack/tripleo-ansible,openstack/tripleo-puppet-elements,Core,10.869565217391305,11.858974358974358,42,82
openstack/tripleo-ansible,openstack/tripleo-puppet-elements,Non core,11.956521739130435,14.423076923076922,42,82
openstack/tripleo-ansible,openstack/ansible-role-collect-logs,Core,13.385826771653544,15.137614678899084,24,59
openstack/tripleo-ansible,openstack/ansible-role-collect-logs,Non core,5.511811023622047,11.926605504587156,24,59
openstack/tripleo-ansible,openstack/releases,Core,7.014028056112225,7.157894736842104,49,122
openstack/tripleo-ansible,openstack/releases,Non core,2.80561122244489,5.684210526315789,49,122
openstack/tripleo-ansible,openstack/puppet-ceph,Core,4.4692737430167595,4.9504950495049505,12,27
openstack/tripleo-ansible,openstack/puppet-ceph,Non core,2.2346368715083798,3.9603960396039604,12,27
openstack/tripleo-ansible,openstack/openstack-tempest-skiplist,Core,10.317460317460316,11.79245283018868,20,37
openstack/tripleo-ansible,openstack/openstack-tempest-skiplist,Non core,5.555555555555555,5.660377358490567,20,37
openstack/tripleo-ansible,openstack/neutron-tempest-plugin,Core,4.926108374384237,6.876790830945559,11,41
openstack/tripleo-ansible,openstack/neutron-tempest-plugin,Non core,0.49261083743842365,4.871060171919771,11,41
openstack/tripleo-ansible,openstack/validations-libs,Core,6.106870229007633,7.511737089201878,13,33
openstack/tripleo-ansible,openstack/validations-libs,Non core,3.816793893129771,7.981220657276995,13,33
openstack/tripleo-ansible,openstack/octavia-tempest-plugin,Core,4.72972972972973,5.39568345323741,8,33
openstack/tripleo-ansible,openstack/octavia-tempest-plugin,Non core,0.6756756756756757,6.474820143884892,8,33
openstack/tripleo-ansible,openstack/kolla,Core,4.4036697247706424,5.868814729574224,41,105
openstack/tripleo-ansible,openstack/kolla,Non core,3.1192660550458715,6.214039125431531,41,105
openstack/tripleo-ansible,openstack/glance-specs,Core,1.477832512315271,2.898550724637681,4,17
openstack/tripleo-ansible,openstack/glance-specs,Non core,0.49261083743842365,1.2077294685990339,4,17
openstack/tripleo-ansible,openstack/telemetry-tempest-plugin,Core,6.338028169014084,3.9473684210526314,12,19
openstack/tripleo-ansible,openstack/telemetry-tempest-plugin,Non core,2.112676056338028,4.385964912280701,12,19
openstack/tripleo-ansible,openstack/os-net-config,Core,7.567567567567568,11.301369863013697,27,79
openstack/tripleo-ansible,openstack/os-net-config,Non core,7.027027027027027,15.753424657534246,27,79
