projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/tripleo-common-tempest-plugin,openstack/mistral-tempest-plugin,Core,11.76470588235294,5.084745762711865,9,11
openstack/tripleo-common-tempest-plugin,openstack/mistral-tempest-plugin,Non core,14.705882352941178,13.559322033898304,9,11
openstack/tripleo-common-tempest-plugin,openstack/barbican-ui,Core,5.263157894736842,2.2222222222222223,1,2
openstack/tripleo-common-tempest-plugin,openstack/barbican-ui,Non core,0.0,2.2222222222222223,1,2
openstack/tripleo-common-tempest-plugin,openstack/liberasurecode,Core,3.4482758620689653,1.8518518518518516,2,1
openstack/tripleo-common-tempest-plugin,openstack/liberasurecode,Non core,3.4482758620689653,0.0,2,1
openstack/tripleo-common-tempest-plugin,openstack/ansible-plugin-container-connection,Core,0.0,0.0,0,0
openstack/tripleo-common-tempest-plugin,openstack/ansible-plugin-container-connection,Non core,0.0,0.0,0,0
openstack/tripleo-common-tempest-plugin,openstack/os-client-config,Core,2.197802197802198,3.007518796992481,7,8
openstack/tripleo-common-tempest-plugin,openstack/os-client-config,Non core,5.4945054945054945,3.007518796992481,7,8
openstack/tripleo-common-tempest-plugin,openstack/monasca-specs,Core,7.4074074074074066,1.5873015873015872,4,2
openstack/tripleo-common-tempest-plugin,openstack/monasca-specs,Non core,7.4074074074074066,1.5873015873015872,4,2
openstack/tripleo-common-tempest-plugin,openstack/os-performance-tools,Core,9.375,8.0,6,6
openstack/tripleo-common-tempest-plugin,openstack/os-performance-tools,Non core,9.375,4.0,6,6
openstack/tripleo-common-tempest-plugin,openstack/trove-specs,Core,5.357142857142857,0.8620689655172413,3,3
openstack/tripleo-common-tempest-plugin,openstack/trove-specs,Non core,0.0,1.7241379310344827,3,3
openstack/tripleo-common-tempest-plugin,openstack/manila-image-elements,Core,7.317073170731707,2.666666666666667,5,6
openstack/tripleo-common-tempest-plugin,openstack/manila-image-elements,Non core,4.878048780487805,5.333333333333334,5,6
openstack/tripleo-common-tempest-plugin,openstack/blazar-specs,Core,7.6923076923076925,1.8181818181818181,2,1
openstack/tripleo-common-tempest-plugin,openstack/blazar-specs,Non core,0.0,0.0,2,1
openstack/tripleo-common-tempest-plugin,openstack/molteniron,Core,11.11111111111111,1.6666666666666667,4,1
openstack/tripleo-common-tempest-plugin,openstack/molteniron,Non core,3.7037037037037033,0.0,4,1
openstack/tripleo-common-tempest-plugin,openstack/solum-specs,Core,9.375,0.0,3,0
openstack/tripleo-common-tempest-plugin,openstack/solum-specs,Non core,0.0,0.0,3,0
openstack/tripleo-common-tempest-plugin,openstack/patrole,Core,3.9215686274509802,4.285714285714286,7,7
openstack/tripleo-common-tempest-plugin,openstack/patrole,Non core,2.941176470588235,0.7142857142857143,7,7
openstack/tripleo-common-tempest-plugin,openstack/performance-docs,Core,1.7543859649122806,1.1111111111111112,2,3
openstack/tripleo-common-tempest-plugin,openstack/performance-docs,Non core,1.7543859649122806,2.2222222222222223,2,3
openstack/tripleo-common-tempest-plugin,openstack/sphinx-feature-classification,Core,6.0606060606060606,1.5384615384615385,6,5
openstack/tripleo-common-tempest-plugin,openstack/sphinx-feature-classification,Non core,12.121212121212121,6.153846153846154,6,5
openstack/tripleo-common-tempest-plugin,openstack/etcd3gw,Core,0.0,2.2222222222222223,0,1
openstack/tripleo-common-tempest-plugin,openstack/etcd3gw,Non core,0.0,0.0,0,1
openstack/tripleo-common-tempest-plugin,openstack/watcher-specs,Core,3.1746031746031744,0.8849557522123894,4,5
openstack/tripleo-common-tempest-plugin,openstack/watcher-specs,Non core,3.1746031746031744,3.5398230088495577,4,5
openstack/tripleo-common-tempest-plugin,openstack/yaql,Core,8.51063829787234,2.3529411764705883,8,6
openstack/tripleo-common-tempest-plugin,openstack/yaql,Non core,8.51063829787234,4.705882352941177,8,6
openstack/tripleo-common-tempest-plugin,openstack/puppet-openstack-guide,Core,12.5,7.6923076923076925,6,10
openstack/tripleo-common-tempest-plugin,openstack/puppet-openstack-guide,Non core,2.5,7.6923076923076925,6,10
openstack/tripleo-common-tempest-plugin,openstack/puppet-panko,Core,10.0,8.333333333333332,8,8
openstack/tripleo-common-tempest-plugin,openstack/puppet-panko,Non core,6.0,5.0,8,8
openstack/tripleo-common-tempest-plugin,openstack/heat-cfnclient,Core,11.76470588235294,3.076923076923077,7,3
openstack/tripleo-common-tempest-plugin,openstack/heat-cfnclient,Non core,8.823529411764707,1.5384615384615385,7,3
openstack/tripleo-common-tempest-plugin,openstack/heat-cfntools,Core,6.557377049180328,2.127659574468085,7,10
openstack/tripleo-common-tempest-plugin,openstack/heat-cfntools,Non core,4.918032786885246,8.51063829787234,7,10
openstack/tripleo-common-tempest-plugin,openstack/heat-templates,Core,4.23728813559322,3.482587064676617,6,13
openstack/tripleo-common-tempest-plugin,openstack/heat-templates,Non core,0.847457627118644,2.9850746268656714,6,13
openstack/tripleo-common-tempest-plugin,openstack/governance-sigs,Core,6.122448979591836,4.878048780487805,4,14
openstack/tripleo-common-tempest-plugin,openstack/governance-sigs,Non core,2.0408163265306123,6.504065040650407,4,14
openstack/tripleo-common-tempest-plugin,openstack/openstack-zuul-roles,Core,4.545454545454546,2.2222222222222223,1,1
openstack/tripleo-common-tempest-plugin,openstack/openstack-zuul-roles,Non core,0.0,0.0,1,1
openstack/tripleo-common-tempest-plugin,openstack/nova-powervm,Core,5.633802816901409,1.5384615384615385,5,4
openstack/tripleo-common-tempest-plugin,openstack/nova-powervm,Non core,1.4084507042253522,1.5384615384615385,5,4
openstack/tripleo-common-tempest-plugin,openstack/openstack-helm-addons,Core,0.0,0.7142857142857143,0,8
openstack/tripleo-common-tempest-plugin,openstack/openstack-helm-addons,Non core,0.0,5.0,0,8
openstack/tripleo-common-tempest-plugin,openstack/python-pankoclient,Core,7.6923076923076925,4.411764705882353,5,7
openstack/tripleo-common-tempest-plugin,openstack/python-pankoclient,Non core,5.128205128205128,5.88235294117647,5,7
openstack/tripleo-common-tempest-plugin,openstack/qa-specs,Core,6.557377049180328,2.877697841726619,6,7
openstack/tripleo-common-tempest-plugin,openstack/qa-specs,Non core,3.278688524590164,2.158273381294964,6,7
openstack/tripleo-common-tempest-plugin,openstack/zaqar-specs,Core,5.769230769230769,1.0416666666666665,3,4
openstack/tripleo-common-tempest-plugin,openstack/zaqar-specs,Non core,0.0,3.125,3,4
openstack/tripleo-common-tempest-plugin,openstack/swift-bench,Core,0.0,2.941176470588235,0,4
openstack/tripleo-common-tempest-plugin,openstack/swift-bench,Non core,0.0,2.941176470588235,0,4
openstack/tripleo-common-tempest-plugin,openstack/whereto,Core,6.896551724137931,3.9215686274509802,7,6
openstack/tripleo-common-tempest-plugin,openstack/whereto,Non core,17.24137931034483,7.8431372549019605,7,6
openstack/tripleo-common-tempest-plugin,openstack/murano-specs,Core,5.263157894736842,1.0526315789473684,4,2
openstack/tripleo-common-tempest-plugin,openstack/murano-specs,Non core,1.7543859649122806,1.0526315789473684,4,2
openstack/tripleo-common-tempest-plugin,openstack/ansible-role-tripleo-modify-image,Core,6.976744186046512,8.536585365853659,5,16
openstack/tripleo-common-tempest-plugin,openstack/ansible-role-tripleo-modify-image,Non core,4.651162790697675,10.975609756097562,5,16
openstack/tripleo-common-tempest-plugin,openstack/requestsexceptions,Core,8.695652173913043,0.0,3,1
openstack/tripleo-common-tempest-plugin,openstack/requestsexceptions,Non core,4.3478260869565215,1.9607843137254901,3,1
openstack/tripleo-common-tempest-plugin,openstack/panko,Core,3.5294117647058822,4.838709677419355,6,13
openstack/tripleo-common-tempest-plugin,openstack/panko,Non core,3.5294117647058822,5.64516129032258,6,13
openstack/tripleo-common-tempest-plugin,openstack/api-sig,Core,2.9850746268656714,0.8928571428571428,3,6
openstack/tripleo-common-tempest-plugin,openstack/api-sig,Non core,1.4925373134328357,1.7857142857142856,3,6
openstack/tripleo-common-tempest-plugin,openstack/openstack-chef-specs,Core,5.263157894736842,3.076923076923077,4,5
openstack/tripleo-common-tempest-plugin,openstack/openstack-chef-specs,Non core,5.263157894736842,4.615384615384616,4,5
openstack/tripleo-common-tempest-plugin,openstack/freezer-specs,Core,8.333333333333332,3.3333333333333335,4,2
openstack/tripleo-common-tempest-plugin,openstack/freezer-specs,Non core,2.7777777777777777,0.0,4,2
openstack/tripleo-common-tempest-plugin,openstack/oslo.tools,Core,4.166666666666666,1.639344262295082,3,3
openstack/tripleo-common-tempest-plugin,openstack/oslo.tools,Non core,2.083333333333333,3.278688524590164,3,3
openstack/tripleo-common-tempest-plugin,openstack/microversion-parse,Core,3.8461538461538463,2.0408163265306123,2,1
