projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/tripleo-heat-templates,openstack/tripleo-upgrade,Core,5.405405405405405,5.2434456928838955,49,150
openstack/tripleo-heat-templates,openstack/tripleo-upgrade,Non core,6.6339066339066335,13.48314606741573,49,150
openstack/tripleo-heat-templates,openstack/tripleo-common,Core,17.551963048498845,12.922002328288706,181,328
openstack/tripleo-heat-templates,openstack/tripleo-common,Non core,24.249422632794456,25.261932479627475,181,328
openstack/tripleo-heat-templates,openstack/openstack-helm-infra,Core,0.7117437722419928,1.4231499051233396,10,48
openstack/tripleo-heat-templates,openstack/openstack-helm-infra,Non core,1.0676156583629894,3.130929791271347,10,48
openstack/tripleo-heat-templates,openstack/os-vif,Core,3.4324942791762014,3.286384976525822,26,69
openstack/tripleo-heat-templates,openstack/os-vif,Non core,2.517162471395881,4.812206572769953,26,69
openstack/tripleo-heat-templates,openstack/charm-cinder,Core,0.46728971962616817,0.6053268765133172,4,12
openstack/tripleo-heat-templates,openstack/charm-cinder,Non core,0.46728971962616817,0.847457627118644,4,12
openstack/tripleo-heat-templates,openstack/tripleo-ci,Core,13.526570048309178,11.990407673860911,102,245
openstack/tripleo-heat-templates,openstack/tripleo-ci,Non core,11.11111111111111,17.38609112709832,102,245
openstack/tripleo-heat-templates,openstack/openstack-helm,Core,1.2110726643598615,1.4842300556586272,18,63
openstack/tripleo-heat-templates,openstack/openstack-helm,Non core,1.9031141868512111,4.3599257884972165,18,63
openstack/tripleo-heat-templates,openstack/ironic-inspector,Core,4.489795918367347,4.198895027624309,34,98
openstack/tripleo-heat-templates,openstack/ironic-inspector,Non core,2.4489795918367347,6.629834254143646,34,98
openstack/tripleo-heat-templates,openstack/designate-specs,Core,0.7177033492822966,0.4920049200492005,6,13
openstack/tripleo-heat-templates,openstack/designate-specs,Non core,0.7177033492822966,1.107011070110701,6,13
openstack/tripleo-heat-templates,openstack/ironic-python-agent,Core,4.725897920604915,4.5073375262054505,43,113
openstack/tripleo-heat-templates,openstack/ironic-python-agent,Non core,3.402646502835539,7.337526205450734,43,113
openstack/tripleo-heat-templates,openstack/glance,Core,4.61361014994233,5.473965287049399,65,205
openstack/tripleo-heat-templates,openstack/glance,Non core,2.883506343713956,8.210947930574099,65,205
openstack/tripleo-heat-templates,openstack/tripleo-validations,Core,7.943925233644859,7.797029702970297,83,160
openstack/tripleo-heat-templates,openstack/tripleo-validations,Non core,11.448598130841122,12.004950495049505,83,160
openstack/tripleo-heat-templates,openstack/kolla-ansible,Core,2.7417027417027415,3.868312757201646,44,151
openstack/tripleo-heat-templates,openstack/kolla-ansible,Non core,3.6075036075036073,8.559670781893004,44,151
openstack/tripleo-heat-templates,openstack/barbican,Core,5.333333333333334,5.227492739593417,49,139
openstack/tripleo-heat-templates,openstack/barbican,Non core,2.833333333333333,8.228460793804453,49,139
openstack/tripleo-heat-templates,openstack/manila-tempest-plugin,Core,2.588235294117647,1.6928657799274487,15,32
openstack/tripleo-heat-templates,openstack/manila-tempest-plugin,Non core,0.9411764705882352,2.176541717049577,15,32
openstack/tripleo-heat-templates,openstack/networking-ovn,Core,5.263157894736842,4.767184035476718,42,120
openstack/tripleo-heat-templates,openstack/networking-ovn,Non core,3.578947368421052,8.536585365853659,42,120
openstack/tripleo-heat-templates,openstack/designate,Core,4.440789473684211,3.9138943248532287,43,112
openstack/tripleo-heat-templates,openstack/designate,Non core,2.631578947368421,7.045009784735812,43,112
openstack/tripleo-heat-templates,openstack/ansible-role-uwsgi,Core,0.2518891687657431,0.2509410288582183,1,3
openstack/tripleo-heat-templates,openstack/ansible-role-uwsgi,Non core,0.0,0.12547051442910914,1,3
openstack/tripleo-heat-templates,openstack/ironic-specs,Core,2.736842105263158,3.876739562624255,22,84
openstack/tripleo-heat-templates,openstack/ironic-specs,Non core,1.8947368421052633,4.473161033797217,22,84
openstack/tripleo-heat-templates,openstack/tap-as-a-service,Core,1.405152224824356,0.9324009324009324,8,36
openstack/tripleo-heat-templates,openstack/tap-as-a-service,Non core,0.468384074941452,3.263403263403263,8,36
openstack/tripleo-heat-templates,openstack/tripleo-quickstart-extras,Core,12.37864077669903,9.842041312272174,110,219
openstack/tripleo-heat-templates,openstack/tripleo-quickstart-extras,Non core,14.320388349514563,16.767922235722963,110,219
openstack/tripleo-heat-templates,openstack/openstacksdk,Core,5.901116427432217,6.4393939393939394,50,124
openstack/tripleo-heat-templates,openstack/openstacksdk,Non core,2.073365231259968,5.303030303030303,50,124
openstack/tripleo-heat-templates,openstack/openstack-ansible-os_octavia,Core,1.3824884792626728,1.5531660692951015,13,31
openstack/tripleo-heat-templates,openstack/openstack-ansible-os_octavia,Non core,1.6129032258064515,2.1505376344086025,13,31
openstack/tripleo-heat-templates,openstack/requirements,Core,8.207343412526997,8.73959571938169,131,335
openstack/tripleo-heat-templates,openstack/requirements,Non core,5.939524838012959,11.17717003567182,131,335
openstack/tripleo-heat-templates,openstack/puppet-ironic,Core,5.393258426966292,4.0476190476190474,49,99
openstack/tripleo-heat-templates,openstack/puppet-ironic,Non core,5.617977528089887,7.738095238095238,49,99
openstack/tripleo-heat-templates,openstack/charm-glance-k8s,Core,0.0,0.0,0,0
openstack/tripleo-heat-templates,openstack/charm-glance-k8s,Non core,0.0,0.0,0,0
openstack/tripleo-heat-templates,openstack/python-tripleoclient,Core,13.544018058690746,11.202830188679245,141,275
openstack/tripleo-heat-templates,openstack/python-tripleoclient,Non core,18.284424379232505,21.22641509433962,141,275
openstack/tripleo-heat-templates,openstack/puppet-keystone,Core,5.691056910569105,5.204872646733112,64,127
openstack/tripleo-heat-templates,openstack/puppet-keystone,Non core,7.317073170731707,8.859357696566999,64,127
openstack/tripleo-heat-templates,openstack/networking-bgpvpn,Core,3.632478632478633,3.153153153153153,26,67
openstack/tripleo-heat-templates,openstack/networking-bgpvpn,Non core,1.9230769230769231,4.391891891891892,26,67
openstack/tripleo-heat-templates,openstack/ovn-octavia-provider,Core,2.763819095477387,2.8894472361809047,14,33
openstack/tripleo-heat-templates,openstack/ovn-octavia-provider,Non core,0.7537688442211055,1.256281407035176,14,33
openstack/tripleo-heat-templates,openstack/python-openstackclient,Core,4.816223067173637,5.973622963537626,67,180
openstack/tripleo-heat-templates,openstack/python-openstackclient,Non core,3.67553865652725,7.990690457719161,67,180
openstack/tripleo-heat-templates,openstack/puppet-openstacklib,Core,4.640371229698376,5.0,42,88
openstack/tripleo-heat-templates,openstack/puppet-openstacklib,Non core,5.104408352668213,5.476190476190476,42,88
openstack/tripleo-heat-templates,openstack/puppet-aodh,Core,3.800475059382423,2.92326431181486,32,61
openstack/tripleo-heat-templates,openstack/puppet-aodh,Non core,3.800475059382423,4.506699147381242,32,61
openstack/tripleo-heat-templates,openstack/neutron-lib,Core,4.299065420560748,4.063429137760158,36,106
openstack/tripleo-heat-templates,openstack/neutron-lib,Non core,2.4299065420560746,6.442021803766106,36,106
openstack/tripleo-heat-templates,openstack/puppet-tempest,Core,4.460093896713615,3.3857315598548974,33,63
openstack/tripleo-heat-templates,openstack/puppet-tempest,Non core,3.286384976525822,4.2321644498186215,33,63
openstack/tripleo-heat-templates,openstack/nova-specs,Core,2.9268292682926833,4.934687953555878,31,164
openstack/tripleo-heat-templates,openstack/nova-specs,Non core,2.113821138211382,6.966618287373004,31,164
openstack/tripleo-heat-templates,openstack/puppet-designate,Core,2.5522041763341066,2.4330900243309004,24,52
openstack/tripleo-heat-templates,openstack/puppet-designate,Non core,3.0162412993039442,3.8929440389294405,24,52
openstack/tripleo-heat-templates,openstack/trove,Core,3.82262996941896,3.91644908616188,37,126
openstack/tripleo-heat-templates,openstack/trove,Non core,1.834862385321101,7.049608355091384,37,126
openstack/tripleo-heat-templates,openstack/charm-nova-k8s,Core,0.0,0.0,0,0
openstack/tripleo-heat-templates,openstack/charm-nova-k8s,Non core,0.0,0.0,0,0
openstack/tripleo-heat-templates,openstack/charm-keystone-k8s,Core,0.0,0.0,0,1
openstack/tripleo-heat-templates,openstack/charm-keystone-k8s,Non core,0.0,0.12658227848101267,0,1
openstack/tripleo-heat-templates,openstack/charm-placement-k8s,Core,0.0,0.0,0,0
openstack/tripleo-heat-templates,openstack/charm-placement-k8s,Non core,0.0,0.0,0,0
openstack/tripleo-heat-templates,openstack/charm-horizon-k8s,Core,0.0,0.0,0,0
openstack/tripleo-heat-templates,openstack/charm-horizon-k8s,Non core,0.0,0.0,0,0
openstack/tripleo-heat-templates,openstack/charm-cinder-k8s,Core,0.0,0.0,0,0
openstack/tripleo-heat-templates,openstack/charm-cinder-k8s,Non core,0.0,0.0,0,0
openstack/tripleo-heat-templates,openstack/ceilometer,Core,4.633204633204633,5.124450951683748,67,182
openstack/tripleo-heat-templates,openstack/ceilometer,Non core,3.9897039897039894,8.199121522693996,67,182
openstack/tripleo-heat-templates,openstack/charm-cinder-ceph-k8s,Core,0.0,0.0,0,0
openstack/tripleo-heat-templates,openstack/charm-cinder-ceph-k8s,Non core,0.0,0.0,0,0
openstack/tripleo-heat-templates,openstack/puppet-zaqar,Core,3.389830508474576,2.1065675340768277,21,37
openstack/tripleo-heat-templates,openstack/puppet-zaqar,Non core,1.694915254237288,2.478314745972739,21,37
openstack/tripleo-heat-templates,openstack/puppet-openstack_extras,Core,3.3653846153846154,2.334152334152334,24,47
openstack/tripleo-heat-templates,openstack/puppet-openstack_extras,Non core,2.403846153846154,3.43980343980344,24,47
openstack/tripleo-heat-templates,openstack/puppet-openstack-integration,Core,7.02576112412178,8.31353919239905,53,149
openstack/tripleo-heat-templates,openstack/puppet-openstack-integration,Non core,5.386416861826698,9.382422802850355,53,149
openstack/tripleo-heat-templates,openstack/puppet-octavia,Core,4.30622009569378,2.8785982478097623,34,56
openstack/tripleo-heat-templates,openstack/puppet-octavia,Non core,3.827751196172249,4.130162703379224,34,56
openstack/tripleo-heat-templates,openstack/heat,Core,6.618531889290012,6.578073089700996,100,278
openstack/tripleo-heat-templates,openstack/heat,Non core,5.415162454873646,11.893687707641195,100,278
openstack/tripleo-heat-templates,openstack/openstack-ansible-os_nova,Core,2.904564315352697,1.6538037486218304,23,50
openstack/tripleo-heat-templates,openstack/openstack-ansible-os_nova,Non core,1.8672199170124482,3.8588754134509373,23,50
openstack/tripleo-heat-templates,openstack/openstack-ansible-os_heat,Core,2.7210884353741496,1.555023923444976,19,34
openstack/tripleo-heat-templates,openstack/openstack-ansible-os_heat,Non core,1.5873015873015872,2.511961722488038,19,34
openstack/tripleo-heat-templates,openstack/project-config,Core,7.454819277108434,7.874720357941835,162,396
openstack/tripleo-heat-templates,openstack/project-config,Non core,4.743975903614458,9.843400447427292,162,396
openstack/tripleo-heat-templates,openstack/tripleo-quickstart,Core,13.443396226415095,10.476190476190476,120,239
openstack/tripleo-heat-templates,openstack/tripleo-quickstart,Non core,14.858490566037736,17.976190476190474,120,239
openstack/tripleo-heat-templates,openstack/ansible-collections-openstack,Core,2.0689655172413794,2.966625463535229,12,33
openstack/tripleo-heat-templates,openstack/ansible-collections-openstack,Non core,0.6896551724137931,1.1124845488257107,12,33
openstack/tripleo-heat-templates,openstack/openstack-ansible,Core,3.459119496855346,3.100088573959256,38,126
openstack/tripleo-heat-templates,openstack/openstack-ansible,Non core,2.515723270440252,8.060230292294065,38,126
openstack/tripleo-heat-templates,openstack/tripleo-puppet-elements,Core,8.333333333333332,7.196029776674938,89,167
openstack/tripleo-heat-templates,openstack/tripleo-puppet-elements,Non core,13.480392156862745,13.523573200992555,89,167
openstack/tripleo-heat-templates,openstack/ansible-role-collect-logs,Core,4.271356783919598,4.545454545454546,24,64
openstack/tripleo-heat-templates,openstack/ansible-role-collect-logs,Non core,1.7587939698492463,3.535353535353535,24,64
openstack/tripleo-heat-templates,openstack/releases,Core,11.3314447592068,10.99630996309963,113,296
openstack/tripleo-heat-templates,openstack/releases,Non core,4.674220963172805,10.84870848708487,113,296
openstack/tripleo-heat-templates,openstack/puppet-ceph,Core,2.9885057471264367,3.3532934131736525,27,74
openstack/tripleo-heat-templates,openstack/puppet-ceph,Non core,3.218390804597701,5.508982035928144,27,74
openstack/tripleo-heat-templates,openstack/openstack-tempest-skiplist,Core,3.5443037974683547,3.2953105196451205,22,39
openstack/tripleo-heat-templates,openstack/openstack-tempest-skiplist,Non core,2.0253164556962027,1.6476552598225602,22,39
openstack/tripleo-heat-templates,openstack/neutron-tempest-plugin,Core,4.175824175824175,3.5147392290249435,30,87
openstack/tripleo-heat-templates,openstack/neutron-tempest-plugin,Non core,2.417582417582418,6.349206349206349,30,87
openstack/tripleo-heat-templates,openstack/validations-libs,Core,2.2556390977443606,2.2813688212927756,16,36
openstack/tripleo-heat-templates,openstack/validations-libs,Non core,1.7543859649122806,2.2813688212927756,16,36
openstack/tripleo-heat-templates,openstack/octavia-tempest-plugin,Core,2.1739130434782608,2.406738868832732,13,59
openstack/tripleo-heat-templates,openstack/octavia-tempest-plugin,Non core,0.966183574879227,4.693140794223827,13,59
openstack/tripleo-heat-templates,openstack/kolla,Core,6.225165562913907,7.523510971786834,102,277
openstack/tripleo-heat-templates,openstack/kolla,Non core,7.28476821192053,14.184952978056426,102,277
openstack/tripleo-heat-templates,openstack/glance-specs,Core,1.511879049676026,3.680336487907466,15,59
