projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/tripleo-upgrade,openstack/tripleo-common,Core,8.536585365853659,8.908685968819599,44,119
openstack/tripleo-upgrade,openstack/tripleo-common,Non core,9.34959349593496,17.59465478841871,44,119
openstack/tripleo-upgrade,openstack/openstack-helm-infra,Core,0.823045267489712,0.43103448275862066,5,19
openstack/tripleo-upgrade,openstack/openstack-helm-infra,Non core,1.2345679012345678,3.6637931034482754,5,19
openstack/tripleo-upgrade,openstack/os-vif,Core,2.2388059701492535,3.9568345323741005,5,24
openstack/tripleo-upgrade,openstack/os-vif,Non core,1.4925373134328357,4.676258992805756,5,24
openstack/tripleo-upgrade,openstack/charm-cinder,Core,1.9047619047619049,0.0,3,5
openstack/tripleo-upgrade,openstack/charm-cinder,Non core,0.9523809523809524,2.336448598130841,3,5
openstack/tripleo-upgrade,openstack/tripleo-ci,Core,11.39240506329114,9.510869565217392,34,92
openstack/tripleo-upgrade,openstack/tripleo-ci,Non core,10.126582278481013,15.489130434782608,34,92
openstack/tripleo-upgrade,openstack/openstack-helm,Core,1.1278195488721803,0.4008016032064128,6,23
openstack/tripleo-upgrade,openstack/openstack-helm,Non core,1.1278195488721803,4.208416833667335,6,23
openstack/tripleo-upgrade,openstack/ironic-inspector,Core,3.125,3.418803418803419,8,33
openstack/tripleo-upgrade,openstack/ironic-inspector,Non core,1.0416666666666665,5.982905982905983,8,33
openstack/tripleo-upgrade,openstack/designate-specs,Core,2.0408163265306123,0.975609756097561,2,2
openstack/tripleo-upgrade,openstack/designate-specs,Non core,0.0,0.0,2,2
openstack/tripleo-upgrade,openstack/ironic-python-agent,Core,2.9166666666666665,2.9055690072639226,8,35
openstack/tripleo-upgrade,openstack/ironic-python-agent,Non core,0.4166666666666667,5.569007263922518,8,35
openstack/tripleo-upgrade,openstack/glance,Core,1.507537688442211,1.539942252165544,11,45
openstack/tripleo-upgrade,openstack/glance,Non core,0.33500837520938026,2.791145332050048,11,45
openstack/tripleo-upgrade,openstack/tripleo-validations,Core,12.418300653594772,12.941176470588237,34,94
openstack/tripleo-upgrade,openstack/tripleo-validations,Non core,9.803921568627452,23.92156862745098,34,94
openstack/tripleo-upgrade,openstack/kolla-ansible,Core,1.488833746898263,1.9971469329529243,10,46
openstack/tripleo-upgrade,openstack/kolla-ansible,Non core,0.9925558312655087,4.56490727532097,10,46
openstack/tripleo-upgrade,openstack/barbican,Core,3.1847133757961785,3.1189083820662766,11,40
openstack/tripleo-upgrade,openstack/barbican,Non core,0.3184713375796179,4.678362573099415,11,40
openstack/tripleo-upgrade,openstack/manila-tempest-plugin,Core,3.6036036036036037,1.7699115044247788,5,14
openstack/tripleo-upgrade,openstack/manila-tempest-plugin,Non core,0.9009009009009009,4.424778761061947,5,14
openstack/tripleo-upgrade,openstack/networking-ovn,Core,3.278688524590164,4.788732394366197,10,48
openstack/tripleo-upgrade,openstack/networking-ovn,Non core,2.185792349726776,8.732394366197182,10,48
openstack/tripleo-upgrade,openstack/designate,Core,2.5236593059936907,2.691511387163561,10,32
openstack/tripleo-upgrade,openstack/designate,Non core,0.6309148264984227,3.9337474120082816,10,32
openstack/tripleo-upgrade,openstack/ansible-role-uwsgi,Core,1.36986301369863,0.5586592178770949,1,2
openstack/tripleo-upgrade,openstack/ansible-role-uwsgi,Non core,0.0,0.5586592178770949,1,2
openstack/tripleo-upgrade,openstack/ironic-specs,Core,1.7647058823529411,2.2222222222222223,3,21
openstack/tripleo-upgrade,openstack/ironic-specs,Non core,0.0,2.4444444444444446,3,21
openstack/tripleo-upgrade,openstack/tap-as-a-service,Core,2.803738317757009,1.1494252873563218,4,14
openstack/tripleo-upgrade,openstack/tap-as-a-service,Non core,0.9345794392523363,4.21455938697318,4,14
openstack/tripleo-upgrade,openstack/tripleo-quickstart-extras,Core,11.801242236024844,11.320754716981133,37,105
openstack/tripleo-upgrade,openstack/tripleo-quickstart-extras,Non core,11.180124223602485,21.69811320754717,37,105
openstack/tripleo-upgrade,openstack/openstacksdk,Core,3.869047619047619,3.861003861003861,17,43
openstack/tripleo-upgrade,openstack/openstacksdk,Non core,1.1904761904761905,4.440154440154441,17,43
openstack/tripleo-upgrade,openstack/openstack-ansible-os_octavia,Core,1.6528925619834711,2.1459227467811157,2,16
openstack/tripleo-upgrade,openstack/openstack-ansible-os_octavia,Non core,0.0,4.721030042918455,2,16
openstack/tripleo-upgrade,openstack/requirements,Core,1.9830028328611897,2.667682926829268,27,86
openstack/tripleo-upgrade,openstack/requirements,Non core,1.8413597733711047,3.8871951219512195,27,86
openstack/tripleo-upgrade,openstack/puppet-ironic,Core,7.9470198675496695,5.818181818181818,19,45
openstack/tripleo-upgrade,openstack/puppet-ironic,Non core,4.635761589403973,10.545454545454545,19,45
openstack/tripleo-upgrade,openstack/charm-glance-k8s,Core,0.0,0.0,0,0
openstack/tripleo-upgrade,openstack/charm-glance-k8s,Non core,0.0,0.0,0,0
openstack/tripleo-upgrade,openstack/python-tripleoclient,Core,9.58904109589041,9.536082474226804,41,116
openstack/tripleo-upgrade,openstack/python-tripleoclient,Non core,9.1324200913242,20.36082474226804,41,116
openstack/tripleo-upgrade,openstack/puppet-keystone,Core,5.633802816901409,6.460674157303371,19,55
openstack/tripleo-upgrade,openstack/puppet-keystone,Non core,3.286384976525822,8.98876404494382,19,55
openstack/tripleo-upgrade,openstack/networking-bgpvpn,Core,3.6809815950920246,3.896103896103896,7,28
openstack/tripleo-upgrade,openstack/networking-bgpvpn,Non core,0.6134969325153374,5.194805194805195,7,28
