projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/tripleo-validations,openstack/kolla-ansible,Core,1.7897091722595078,3.404255319148936,21,59
openstack/tripleo-validations,openstack/kolla-ansible,Non core,2.9082774049217,4.964539007092199,21,59
openstack/tripleo-validations,openstack/barbican,Core,5.128205128205128,5.50098231827112,29,61
openstack/tripleo-validations,openstack/barbican,Non core,3.133903133903134,6.4833005893909625,29,61
openstack/tripleo-validations,openstack/manila-tempest-plugin,Core,2.4691358024691357,2.0408163265306123,9,12
openstack/tripleo-validations,openstack/manila-tempest-plugin,Non core,3.0864197530864197,2.857142857142857,9,12
openstack/tripleo-validations,openstack/networking-ovn,Core,4.385964912280701,6.0109289617486334,20,54
openstack/tripleo-validations,openstack/networking-ovn,Non core,4.385964912280701,8.743169398907105,20,54
openstack/tripleo-validations,openstack/designate,Core,4.53257790368272,4.554865424430641,29,49
openstack/tripleo-validations,openstack/designate,Non core,3.6827195467422094,5.590062111801243,29,49
openstack/tripleo-validations,openstack/ansible-role-uwsgi,Core,0.78125,1.0256410256410255,1,3
openstack/tripleo-validations,openstack/ansible-role-uwsgi,Non core,0.0,0.5128205128205128,1,3
openstack/tripleo-validations,openstack/ironic-specs,Core,1.82648401826484,3.524229074889868,9,34
openstack/tripleo-validations,openstack/ironic-specs,Non core,2.28310502283105,3.9647577092511015,9,34
openstack/tripleo-validations,openstack/tap-as-a-service,Core,1.8867924528301887,1.4598540145985401,7,18
openstack/tripleo-validations,openstack/tap-as-a-service,Non core,2.515723270440252,5.109489051094891,7,18
openstack/tripleo-validations,openstack/tripleo-quickstart-extras,Core,14.14141414141414,15.987460815047022,55,121
openstack/tripleo-validations,openstack/tripleo-quickstart-extras,Non core,13.636363636363635,21.9435736677116,55,121
openstack/tripleo-validations,openstack/openstacksdk,Core,4.749340369393139,5.7034220532319395,29,52
openstack/tripleo-validations,openstack/openstacksdk,Non core,2.9023746701846966,4.182509505703422,29,52
openstack/tripleo-validations,openstack/openstack-ansible-os_octavia,Core,2.366863905325444,4.149377593360995,9,25
openstack/tripleo-validations,openstack/openstack-ansible-os_octavia,Non core,2.9585798816568047,6.224066390041494,9,25
openstack/tripleo-validations,openstack/requirements,Core,3.3829499323410013,3.978576893649579,49,108
openstack/tripleo-validations,openstack/requirements,Non core,3.247631935047361,4.284621270084163,49,108
openstack/tripleo-validations,openstack/puppet-ironic,Core,7.731958762886598,8.185053380782918,31,56
openstack/tripleo-validations,openstack/puppet-ironic,Non core,8.24742268041237,11.743772241992882,31,56
openstack/tripleo-validations,openstack/charm-glance-k8s,Core,0.0,0.0,0,0
openstack/tripleo-validations,openstack/charm-glance-k8s,Non core,0.0,0.0,0,0
openstack/tripleo-validations,openstack/python-tripleoclient,Core,14.345991561181433,14.84375,78,137
openstack/tripleo-validations,openstack/python-tripleoclient,Non core,18.565400843881857,20.833333333333336,78,137
openstack/tripleo-validations,openstack/puppet-keystone,Core,6.614785992217899,9.523809523809524,30,71
openstack/tripleo-validations,openstack/puppet-keystone,Non core,5.058365758754864,10.364145658263306,30,71
openstack/tripleo-validations,openstack/networking-bgpvpn,Core,4.411764705882353,4.0625,21,33
openstack/tripleo-validations,openstack/networking-bgpvpn,Non core,5.88235294117647,6.25,21,33
openstack/tripleo-validations,openstack/ovn-octavia-provider,Core,1.4388489208633095,5.687203791469194,4,16
openstack/tripleo-validations,openstack/ovn-octavia-provider,Non core,1.4388489208633095,1.8957345971563981,4,16
openstack/tripleo-validations,openstack/python-openstackclient,Core,3.25497287522604,3.889585947302384,34,70
openstack/tripleo-validations,openstack/python-openstackclient,Non core,2.8933092224231465,4.893350062735257,34,70
openstack/tripleo-validations,openstack/puppet-openstacklib,Core,8.938547486033519,9.782608695652174,25,50
openstack/tripleo-validations,openstack/puppet-openstacklib,Non core,5.027932960893855,8.333333333333332,25,50
openstack/tripleo-validations,openstack/puppet-aodh,Core,4.819277108433735,5.714285714285714,18,35
openstack/tripleo-validations,openstack/puppet-aodh,Non core,6.024096385542169,8.571428571428571,18,35
openstack/tripleo-validations,openstack/neutron-lib,Core,2.4475524475524475,3.5940803382663846,16,40
openstack/tripleo-validations,openstack/neutron-lib,Non core,3.146853146853147,4.862579281183932,16,40
openstack/tripleo-validations,openstack/puppet-tempest,Core,6.976744186046512,6.177606177606178,18,29
openstack/tripleo-validations,openstack/puppet-tempest,Non core,3.488372093023256,5.019305019305019,18,29
openstack/tripleo-validations,openstack/nova-specs,Core,2.191780821917808,2.460850111856823,12,46
openstack/tripleo-validations,openstack/nova-specs,Non core,1.095890410958904,2.684563758389262,12,46
openstack/tripleo-validations,openstack/puppet-designate,Core,5.9880239520958085,5.349794238683128,19,29
openstack/tripleo-validations,openstack/puppet-designate,Non core,5.389221556886228,6.584362139917696,19,29
openstack/tripleo-validations,openstack/trove,Core,3.258145363408521,2.8526148969889067,23,42
openstack/tripleo-validations,openstack/trove,Non core,2.506265664160401,3.8034865293185423,23,42
openstack/tripleo-validations,openstack/charm-nova-k8s,Core,0.0,0.0,0,0
openstack/tripleo-validations,openstack/charm-nova-k8s,Non core,0.0,0.0,0,0
openstack/tripleo-validations,openstack/charm-keystone-k8s,Core,0.0,0.0,0,1
openstack/tripleo-validations,openstack/charm-keystone-k8s,Non core,0.0,0.5319148936170213,0,1
openstack/tripleo-validations,openstack/charm-placement-k8s,Core,0.0,0.0,0,0
openstack/tripleo-validations,openstack/charm-placement-k8s,Non core,0.0,0.0,0,0
openstack/tripleo-validations,openstack/charm-horizon-k8s,Core,0.0,0.0,0,0
openstack/tripleo-validations,openstack/charm-horizon-k8s,Non core,0.0,0.0,0,0
openstack/tripleo-validations,openstack/charm-cinder-k8s,Core,0.0,0.0,0,0
openstack/tripleo-validations,openstack/charm-cinder-k8s,Non core,0.0,0.0,0,0
openstack/tripleo-validations,openstack/ceilometer,Core,2.742230347349177,3.741496598639456,28,64
openstack/tripleo-validations,openstack/ceilometer,Non core,2.376599634369287,3.5147392290249435,28,64
openstack/tripleo-validations,openstack/charm-cinder-ceph-k8s,Core,0.0,0.0,0,0
openstack/tripleo-validations,openstack/charm-cinder-ceph-k8s,Non core,0.0,0.0,0,0
