projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/trove-integration,openstack/ansible-role-tripleo-sensu,Core,1.3888888888888888,0.9259259259259258,1,1
openstack/trove-integration,openstack/ansible-role-tripleo-sensu,Non core,0.0,0.0,1,1
openstack/trove-integration,openstack/python-ceilometerclient,Core,1.694915254237288,2.18978102189781,4,13
openstack/trove-integration,openstack/python-ceilometerclient,Non core,0.5649717514124294,2.5547445255474455,4,13
openstack/trove-integration,openstack/keystoneauth-saml2,Core,2.5974025974025974,3.076923076923077,2,6
openstack/trove-integration,openstack/keystoneauth-saml2,Non core,0.0,1.5384615384615385,2,6
openstack/trove-integration,openstack/murano-deployment,Core,4.081632653061225,1.4814814814814816,4,4
openstack/trove-integration,openstack/murano-deployment,Non core,0.0,1.4814814814814816,4,4
openstack/trove-integration,openstack/python-keystoneclient-kerberos,Core,2.5974025974025974,2.3255813953488373,2,5
openstack/trove-integration,openstack/python-keystoneclient-kerberos,Non core,0.0,1.550387596899225,2,5
openstack/trove-integration,openstack/python-wsmanclient,Core,1.4492753623188406,0.9174311926605505,1,2
openstack/trove-integration,openstack/python-wsmanclient,Non core,0.0,0.9174311926605505,1,2
openstack/trove-integration,openstack/fuel-upgrade,Core,1.3333333333333335,0.7936507936507936,1,3
openstack/trove-integration,openstack/fuel-upgrade,Non core,0.0,1.5873015873015872,1,3
openstack/trove-integration,openstack/cookbook-openstack-object-storage,Core,2.1739130434782608,1.4084507042253522,2,3
openstack/trove-integration,openstack/cookbook-openstack-object-storage,Non core,0.0,0.7042253521126761,2,3
openstack/trove-integration,openstack/fairy-slipper,Core,1.36986301369863,2.631578947368421,1,5
openstack/trove-integration,openstack/fairy-slipper,Non core,0.0,1.7543859649122806,1,5
openstack/trove-integration,openstack/django-openstack-auth-kerberos,Core,1.4084507042253522,1.7391304347826086,1,4
openstack/trove-integration,openstack/django-openstack-auth-kerberos,Non core,0.0,1.7391304347826086,1,4
openstack/trove-integration,openstack/horizon-cisco-ui,Core,2.5974025974025974,1.8018018018018018,2,5
openstack/trove-integration,openstack/horizon-cisco-ui,Non core,0.0,2.7027027027027026,2,5
openstack/trove-integration,openstack/zuul-packaging,Core,1.4705882352941175,2.7522935779816518,1,4
openstack/trove-integration,openstack/zuul-packaging,Non core,0.0,0.9174311926605505,1,4
openstack/trove-integration,openstack/networking-generic-switch-tempest-plugin,Core,1.4925373134328357,0.9708737864077669,1,1
openstack/trove-integration,openstack/networking-generic-switch-tempest-plugin,Non core,0.0,0.0,1,1
openstack/trove-integration,openstack/tripleo-incubator,Core,2.5316455696202533,2.3622047244094486,5,11
openstack/trove-integration,openstack/tripleo-incubator,Non core,0.6329113924050633,1.968503937007874,5,11
openstack/trove-integration,openstack/ironic-webclient,Core,1.3888888888888888,0.7692307692307693,1,3
openstack/trove-integration,openstack/ironic-webclient,Non core,0.0,1.5384615384615385,1,3
openstack/trove-integration,openstack/puppet-crane,Core,1.4925373134328357,1.9230769230769231,1,2
openstack/trove-integration,openstack/puppet-crane,Non core,0.0,0.0,1,2
openstack/trove-integration,openstack/release-tools,Core,3.125,4.2682926829268295,4,11
openstack/trove-integration,openstack/release-tools,Non core,1.0416666666666665,2.4390243902439024,4,11
openstack/trove-integration,openstack/gnocchi,Core,1.5267175572519083,1.7937219730941705,4,9
openstack/trove-integration,openstack/gnocchi,Non core,1.5267175572519083,2.242152466367713,4,9
openstack/trove-integration,openstack/networking-ofagent,Core,2.666666666666667,2.4390243902439024,2,5
openstack/trove-integration,openstack/networking-ofagent,Non core,0.0,1.6260162601626018,2,5
openstack/trove-integration,openstack/python-neutron-pd-driver,Core,1.4705882352941175,1.9230769230769231,1,3
openstack/trove-integration,openstack/python-neutron-pd-driver,Non core,0.0,0.9615384615384616,1,3
openstack/trove-integration,openstack/charm-ceph,Core,1.1764705882352942,0.8333333333333334,1,2
openstack/trove-integration,openstack/charm-ceph,Non core,0.0,0.8333333333333334,1,2
openstack/trove-integration,openstack/openstack-ansible-os_freezer,Core,1.4925373134328357,0.9615384615384616,1,1
openstack/trove-integration,openstack/openstack-ansible-os_freezer,Non core,0.0,0.0,1,1
openstack/trove-integration,openstack/openstack-ansible-pip_lock_down,Core,2.564102564102564,1.7543859649122806,2,4
openstack/trove-integration,openstack/openstack-ansible-pip_lock_down,Non core,0.0,1.7543859649122806,2,4
openstack/trove-integration,openstack/openstack-ansible-security,Core,2.941176470588235,1.1976047904191618,3,5
openstack/trove-integration,openstack/openstack-ansible-security,Non core,0.0,1.7964071856287425,3,5
openstack/trove-integration,openstack/oslosphinx,Core,2.727272727272727,3.048780487804878,3,8
openstack/trove-integration,openstack/oslosphinx,Non core,0.0,1.8292682926829267,3,8
openstack/trove-integration,openstack/python-gnocchiclient,Core,2.1052631578947367,2.307692307692308,2,5
openstack/trove-integration,openstack/python-gnocchiclient,Non core,0.0,1.5384615384615385,2,5
openstack/trove-integration,openstack/ansible-role-k8s-cinder,Core,1.4705882352941175,1.9230769230769231,1,2
