projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/trove,openstack/charm-nova-k8s,Core,0.0,0.0,1,0
openstack/trove,openstack/charm-nova-k8s,Non core,0.3289473684210526,0.0,1,0
openstack/trove,openstack/charm-keystone-k8s,Core,0.0,0.0,1,1
openstack/trove,openstack/charm-keystone-k8s,Non core,0.3289473684210526,0.20202020202020202,1,1
openstack/trove,openstack/charm-placement-k8s,Core,0.0,0.0,1,0
openstack/trove,openstack/charm-placement-k8s,Non core,0.3289473684210526,0.0,1,0
openstack/trove,openstack/charm-horizon-k8s,Core,0.0,0.0,1,0
openstack/trove,openstack/charm-horizon-k8s,Non core,0.33003300330033003,0.0,1,0
openstack/trove,openstack/charm-cinder-k8s,Core,0.0,0.0,1,0
openstack/trove,openstack/charm-cinder-k8s,Non core,0.32786885245901637,0.0,1,0
openstack/trove,openstack/ceilometer,Core,6.636500754147813,6.8709377901578454,92,176
openstack/trove,openstack/ceilometer,Non core,7.239819004524888,9.47075208913649,92,176
openstack/trove,openstack/charm-cinder-ceph-k8s,Core,0.0,0.0,1,0
openstack/trove,openstack/charm-cinder-ceph-k8s,Non core,0.33003300330033003,0.0,1,0
openstack/trove,openstack/puppet-zaqar,Core,3.067484662576687,2.0952380952380953,19,24
openstack/trove,openstack/puppet-zaqar,Non core,2.7607361963190185,2.4761904761904763,19,24
openstack/trove,openstack/puppet-openstack_extras,Core,3.273809523809524,2.60707635009311,15,29
openstack/trove,openstack/puppet-openstack_extras,Non core,1.1904761904761905,2.793296089385475,15,29
openstack/trove,openstack/puppet-openstack-integration,Core,3.783783783783784,4.559748427672956,21,60
openstack/trove,openstack/puppet-openstack-integration,Non core,1.891891891891892,4.8742138364779874,21,60
openstack/trove,openstack/puppet-octavia,Core,2.005730659025788,1.1131725417439702,14,21
openstack/trove,openstack/puppet-octavia,Non core,2.005730659025788,2.782931354359926,14,21
openstack/trove,openstack/heat,Core,7.270233196159122,6.984126984126984,113,228
openstack/trove,openstack/heat,Non core,8.23045267489712,11.11111111111111,113,228
openstack/trove,openstack/openstack-ansible-os_nova,Core,3.79746835443038,2.618657937806874,21,51
openstack/trove,openstack/openstack-ansible-os_nova,Non core,1.5189873417721518,5.728314238952537,21,51
openstack/trove,openstack/openstack-ansible-os_heat,Core,3.4090909090909087,2.7522935779816518,19,30
openstack/trove,openstack/openstack-ansible-os_heat,Non core,1.9886363636363635,2.7522935779816518,19,30
openstack/trove,openstack/project-config,Core,4.728682170542635,4.990403071017274,111,252
openstack/trove,openstack/project-config,Non core,3.875968992248062,7.1017274472168905,111,252
openstack/trove,openstack/tripleo-quickstart,Core,3.4562211981566824,4.201680672268908,21,70
openstack/trove,openstack/tripleo-quickstart,Non core,1.3824884792626728,5.602240896358544,21,70
openstack/trove,openstack/ansible-collections-openstack,Core,1.4204545454545454,2.2598870056497176,6,16
openstack/trove,openstack/ansible-collections-openstack,Non core,0.2840909090909091,0.7532956685499058,6,16
openstack/trove,openstack/openstack-ansible,Core,4.814814814814815,4.358068315665489,45,111
openstack/trove,openstack/openstack-ansible,Non core,3.5185185185185186,8.716136631330977,45,111
openstack/trove,openstack/tripleo-puppet-elements,Core,2.5445292620865136,2.65625,15,38
openstack/trove,openstack/tripleo-puppet-elements,Non core,1.2722646310432568,3.28125,15,38
openstack/trove,openstack/ansible-role-collect-logs,Core,2.147239263803681,1.8281535648994516,7,14
openstack/trove,openstack/ansible-role-collect-logs,Non core,0.0,0.7312614259597806,7,14
openstack/trove,openstack/releases,Core,8.128834355828221,8.003369839932603,78,169
openstack/trove,openstack/releases,Non core,3.834355828220859,6.234203875315923,78,169
openstack/trove,openstack/puppet-ceph,Core,2.8169014084507045,2.763385146804836,18,35
openstack/trove,openstack/puppet-ceph,Non core,2.2535211267605635,3.281519861830743,18,35
openstack/trove,openstack/openstack-tempest-skiplist,Core,1.5527950310559007,0.7561436672967864,6,4
openstack/trove,openstack/openstack-tempest-skiplist,Non core,0.3105590062111801,0.0,6,4
openstack/trove,openstack/neutron-tempest-plugin,Core,3.16622691292876,2.996845425867508,17,40
openstack/trove,openstack/neutron-tempest-plugin,Non core,1.3192612137203166,3.3123028391167195,17,40
openstack/trove,openstack/validations-libs,Core,2.20125786163522,1.3461538461538463,8,10
openstack/trove,openstack/validations-libs,Non core,0.3144654088050315,0.576923076923077,8,10
openstack/trove,openstack/octavia-tempest-plugin,Core,1.82370820668693,1.9469026548672566,9,30
openstack/trove,openstack/octavia-tempest-plugin,Non core,0.911854103343465,3.3628318584070795,9,30
openstack/trove,openstack/kolla,Core,4.70756062767475,4.927007299270073,67,162
openstack/trove,openstack/kolla,Non core,4.850213980028531,9.854014598540147,67,162
openstack/trove,openstack/glance-specs,Core,2.4456521739130435,5.487804878048781,21,59
openstack/trove,openstack/glance-specs,Non core,3.260869565217391,3.50609756097561,21,59
openstack/trove,openstack/telemetry-tempest-plugin,Core,3.75,1.9569471624266144,16,20
openstack/trove,openstack/telemetry-tempest-plugin,Non core,1.25,1.9569471624266144,16,20
openstack/trove,openstack/os-net-config,Core,3.7735849056603774,2.922077922077922,23,39
openstack/trove,openstack/os-net-config,Non core,2.4258760107816713,3.4090909090909087,23,39
openstack/trove,openstack/kuryr-kubernetes,Core,3.5623409669211195,3.0015797788309637,29,52
openstack/trove,openstack/kuryr-kubernetes,Non core,3.816793893129771,5.213270142180095,29,52
openstack/trove,openstack/charms.openstack,Core,1.5337423312883436,0.7843137254901961,11,11
openstack/trove,openstack/charms.openstack,Non core,1.8404907975460123,1.3725490196078431,11,11
openstack/trove,openstack/puppet-trove,Core,3.7463976945244957,2.7472527472527473,25,40
openstack/trove,openstack/puppet-trove,Non core,3.45821325648415,4.5787545787545785,25,40
openstack/trove,openstack/tripleo-image-elements,Core,3.532008830022075,4.670329670329671,32,80
