projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/venus,openstack/charm-neutron-api,Core,2.5316455696202533,2.4096385542168677,3,3
openstack/venus,openstack/charm-neutron-api,Non core,1.2658227848101267,1.2048192771084338,3,3
openstack/venus,openstack/tacker-specs,Core,1.1764705882352942,0.0,1,1
openstack/venus,openstack/tacker-specs,Non core,0.0,0.5988023952095809,1,1
openstack/venus,openstack/openstack-ansible-galera_server,Core,2.0,0.8064516129032258,3,3
openstack/venus,openstack/openstack-ansible-galera_server,Non core,1.0,1.6129032258064515,3,3
openstack/venus,openstack/puppet-openstack_spec_helper,Core,1.7543859649122806,1.2345679012345678,2,3
openstack/venus,openstack/puppet-openstack_spec_helper,Non core,1.7543859649122806,2.4691358024691357,2,3
openstack/venus,openstack/trove-dashboard,Core,2.4390243902439024,3.0303030303030303,2,7
openstack/venus,openstack/trove-dashboard,Non core,0.0,2.272727272727273,2,7
openstack/venus,openstack/pyeclib,Core,2.564102564102564,0.0,2,0
openstack/venus,openstack/pyeclib,Non core,2.564102564102564,0.0,2,0
openstack/venus,openstack/neutron-vpnaas,Core,1.257861635220126,1.098901098901099,4,5
openstack/venus,openstack/neutron-vpnaas,Non core,1.257861635220126,0.7326007326007326,4,5
openstack/venus,openstack/charm-designate,Core,3.389830508474576,1.8518518518518516,2,3
openstack/venus,openstack/charm-designate,Non core,0.0,3.7037037037037033,2,3
openstack/venus,openstack/neutron-lbaas,Core,0.4464285714285714,0.8086253369272237,1,5
openstack/venus,openstack/neutron-lbaas,Non core,0.0,0.5390835579514826,1,5
openstack/venus,openstack/oslo.privsep,Core,3.5294117647058822,0.9090909090909091,4,5
openstack/venus,openstack/oslo.privsep,Non core,1.1764705882352942,3.6363636363636362,4,5
openstack/venus,openstack/charm-glance,Core,1.3157894736842104,1.5384615384615385,1,2
openstack/venus,openstack/charm-glance,Non core,0.0,1.5384615384615385,1,2
openstack/venus,openstack/charm-ceph-mon,Core,1.1904761904761905,1.3513513513513513,1,2
openstack/venus,openstack/charm-ceph-mon,Non core,0.0,1.3513513513513513,1,2
openstack/venus,openstack/vitrage,Core,3.597122302158273,3.296703296703297,8,8
openstack/venus,openstack/vitrage,Non core,2.158273381294964,1.098901098901099,8,8
openstack/venus,openstack/puppet-murano,Core,1.2987012987012987,0.0,2,0
openstack/venus,openstack/puppet-murano,Non core,1.2987012987012987,0.0,2,0
openstack/venus,openstack/networking-bagpipe,Core,1.2987012987012987,2.7027027027027026,4,7
openstack/venus,openstack/networking-bagpipe,Non core,3.896103896103896,3.6036036036036037,4,7
openstack/venus,openstack/api-site,Core,0.9345794392523363,0.4123711340206186,3,3
openstack/venus,openstack/api-site,Non core,0.0,0.2061855670103093,3,3
openstack/venus,openstack/charm-cinder-purestorage,Core,2.564102564102564,0.0,1,0
openstack/venus,openstack/charm-cinder-purestorage,Non core,0.0,0.0,1,0
openstack/venus,openstack/python-magnumclient,Core,1.2903225806451613,1.098901098901099,3,4
openstack/venus,openstack/python-magnumclient,Non core,0.6451612903225806,1.098901098901099,3,4
openstack/venus,openstack/magnum-tempest-plugin,Core,8.88888888888889,3.9215686274509802,5,4
openstack/venus,openstack/magnum-tempest-plugin,Non core,2.2222222222222223,3.9215686274509802,5,4
openstack/venus,openstack/openstack-ansible-os_tempest,Core,0.8264462809917356,1.2658227848101267,2,4
openstack/venus,openstack/openstack-ansible-os_tempest,Non core,0.8264462809917356,1.2658227848101267,2,4
openstack/venus,openstack/aodh,Core,1.7964071856287425,0.4761904761904762,3,2
openstack/venus,openstack/aodh,Non core,0.0,0.4761904761904762,3,2
openstack/venus,openstack/operations-guide,Core,0.8064516129032258,0.0,1,1
openstack/venus,openstack/operations-guide,Non core,0.0,0.5617977528089888,1,1
openstack/venus,openstack/contributor-guide,Core,3.076923076923077,4.705882352941177,4,6
openstack/venus,openstack/contributor-guide,Non core,3.076923076923077,2.3529411764705883,4,6
openstack/venus,openstack/charm-ceph-radosgw,Core,4.545454545454546,0.0,3,1
openstack/venus,openstack/charm-ceph-radosgw,Non core,0.0,1.7241379310344827,3,1
openstack/venus,openstack/python-aodhclient,Core,2.4096385542168677,1.0416666666666665,2,3
openstack/venus,openstack/python-aodhclient,Non core,0.0,2.083333333333333,2,3
openstack/venus,openstack/ec2-api,Core,2.197802197802198,2.1739130434782608,6,6
openstack/venus,openstack/ec2-api,Non core,4.395604395604396,4.3478260869565215,6,6
openstack/venus,openstack/ec2api-tempest-plugin,Core,4.651162790697675,2.941176470588235,3,2
openstack/venus,openstack/ec2api-tempest-plugin,Non core,2.3255813953488373,2.941176470588235,3,2
openstack/venus,openstack/openstack-manuals,Core,0.3051881993896236,0.4528301886792453,3,9
openstack/venus,openstack/openstack-manuals,Non core,0.0,0.22641509433962265,3,9
openstack/venus,openstack/security-doc,Core,1.1976047904191618,0.33670033670033667,2,2
openstack/venus,openstack/security-doc,Non core,0.0,0.33670033670033667,2,2
openstack/venus,openstack/openstack-ansible-openstack_hosts,Core,2.0618556701030926,1.9230769230769231,3,5
openstack/venus,openstack/openstack-ansible-openstack_hosts,Non core,1.0309278350515463,2.8846153846153846,3,5
openstack/venus,openstack/magnum-ui,Core,3.4090909090909087,0.0,3,2
openstack/venus,openstack/magnum-ui,Non core,0.0,1.5625,3,2
openstack/venus,openstack/charm-specs,Core,2.898550724637681,4.918032786885246,3,3
openstack/venus,openstack/charm-specs,Non core,1.4492753623188406,0.0,3,3
openstack/venus,openstack/ceilometer-powervm,Core,3.278688524590164,1.2048192771084338,2,3
openstack/venus,openstack/ceilometer-powervm,Non core,0.0,2.4096385542168677,2,3
openstack/venus,openstack/sahara-dashboard,Core,2.6548672566371683,0.847457627118644,4,3
openstack/venus,openstack/sahara-dashboard,Non core,0.8849557522123894,1.694915254237288,4,3
openstack/venus,openstack/freezer-web-ui,Core,2.2988505747126435,0.9523809523809524,2,5
openstack/venus,openstack/freezer-web-ui,Non core,0.0,3.8095238095238098,2,5
openstack/venus,openstack/neutron-fwaas-dashboard,Core,3.8461538461538463,0.0,2,3
openstack/venus,openstack/neutron-fwaas-dashboard,Non core,0.0,3.6585365853658534,2,3
openstack/venus,openstack/neutron-vpnaas-dashboard,Core,4.0,0.0,3,2
openstack/venus,openstack/neutron-vpnaas-dashboard,Non core,2.0,3.225806451612903,3,2
openstack/venus,openstack/zaqar,Core,1.3636363636363635,0.9933774834437087,5,5
