projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/virtualbmc,openstack/watcher-tempest-plugin,Core,4.615384615384616,3.296703296703297,5,7
openstack/virtualbmc,openstack/watcher-tempest-plugin,Non core,3.076923076923077,4.395604395604396,5,7
openstack/virtualbmc,openstack/charm-nova-cloud-controller,Core,2.197802197802198,1.9607843137254901,4,5
openstack/virtualbmc,openstack/charm-nova-cloud-controller,Non core,2.197802197802198,2.941176470588235,4,5
openstack/virtualbmc,openstack/devstack-gate,Core,4.66321243523316,3.4246575342465753,11,23
openstack/virtualbmc,openstack/devstack-gate,Non core,1.0362694300518136,1.82648401826484,11,23
openstack/virtualbmc,openstack/ansible-role-pki,Core,0.0,0.0,0,0
openstack/virtualbmc,openstack/ansible-role-pki,Non core,0.0,0.0,0,0
openstack/virtualbmc,openstack/charm-masakari-monitors,Core,1.7543859649122806,1.4492753623188406,1,1
openstack/virtualbmc,openstack/charm-masakari-monitors,Non core,0.0,0.0,1,1
openstack/virtualbmc,openstack/networking-baremetal,Core,17.46031746031746,21.951219512195124,17,28
openstack/virtualbmc,openstack/networking-baremetal,Non core,9.523809523809524,12.195121951219512,17,28
openstack/virtualbmc,openstack/reno,Core,10.344827586206897,3.076923076923077,15,11
openstack/virtualbmc,openstack/reno,Non core,6.896551724137931,5.384615384615385,15,11
openstack/virtualbmc,openstack/project-team-guide,Core,10.416666666666668,3.414634146341464,10,14
openstack/virtualbmc,openstack/project-team-guide,Non core,0.0,3.414634146341464,10,14
openstack/virtualbmc,openstack/ui-cookiecutter,Core,3.8461538461538463,1.3157894736842104,4,4
openstack/virtualbmc,openstack/ui-cookiecutter,Non core,3.8461538461538463,3.9473684210526314,4,4
openstack/virtualbmc,openstack/networking-odl,Core,3.977272727272727,2.5,13,18
openstack/virtualbmc,openstack/networking-odl,Non core,3.4090909090909087,3.125,13,18
openstack/virtualbmc,openstack/monasca-agent,Core,3.211009174311927,2.6402640264026402,12,13
openstack/virtualbmc,openstack/monasca-agent,Non core,2.293577981651376,1.65016501650165,12,13
openstack/virtualbmc,openstack/shade,Core,4.25531914893617,3.0,8,16
openstack/virtualbmc,openstack/shade,Non core,1.4184397163120568,5.0,8,16
openstack/virtualbmc,openstack/python-freezerclient,Core,4.651162790697675,4.504504504504505,9,13
openstack/virtualbmc,openstack/python-freezerclient,Non core,5.813953488372093,7.207207207207207,9,13
openstack/virtualbmc,openstack/js-openstack-lib,Core,1.8181818181818181,1.25,1,2
openstack/virtualbmc,openstack/js-openstack-lib,Non core,0.0,1.25,1,2
openstack/virtualbmc,openstack/rally,Core,1.477832512315271,1.1342155009451798,9,15
openstack/virtualbmc,openstack/rally,Non core,0.7389162561576355,1.7013232514177694,9,15
openstack/virtualbmc,openstack/cinder-specs,Core,3.0303030303030303,1.7543859649122806,6,10
openstack/virtualbmc,openstack/cinder-specs,Non core,0.6060606060606061,1.1695906432748537,6,10
openstack/virtualbmc,openstack/reviewday,Core,1.5384615384615385,1.1363636363636365,1,2
openstack/virtualbmc,openstack/reviewday,Non core,0.0,1.1363636363636365,1,2
openstack/virtualbmc,openstack/freezer-api,Core,6.0344827586206895,2.73972602739726,13,11
openstack/virtualbmc,openstack/freezer-api,Non core,5.172413793103448,4.794520547945205,13,11
openstack/virtualbmc,openstack/networking-powervm,Core,5.555555555555555,0.8620689655172413,7,6
openstack/virtualbmc,openstack/networking-powervm,Non core,4.166666666666666,4.310344827586207,7,6
openstack/virtualbmc,openstack/openstack-doc-tools,Core,7.476635514018691,3.289473684210526,12,8
openstack/virtualbmc,openstack/openstack-doc-tools,Non core,3.7383177570093453,1.9736842105263157,12,8
openstack/virtualbmc,openstack/freezer,Core,4.069767441860465,2.4096385542168677,14,12
openstack/virtualbmc,openstack/freezer,Non core,4.069767441860465,2.4096385542168677,14,12
openstack/virtualbmc,openstack/puppet-openstack-cookiecutter,Core,4.166666666666666,3.260869565217391,5,7
openstack/virtualbmc,openstack/puppet-openstack-cookiecutter,Non core,2.7777777777777777,4.3478260869565215,5,7
openstack/virtualbmc,openstack/zaqar-ui,Core,8.108108108108109,2.9702970297029703,9,10
openstack/virtualbmc,openstack/zaqar-ui,Non core,4.054054054054054,6.9306930693069315,9,10
openstack/virtualbmc,openstack/oslo.concurrency,Core,5.932203389830509,3.1645569620253164,11,12
openstack/virtualbmc,openstack/oslo.concurrency,Non core,3.389830508474576,4.430379746835443,11,12
openstack/virtualbmc,openstack/charm-octavia,Core,2.8169014084507045,2.247191011235955,2,4
openstack/virtualbmc,openstack/charm-octavia,Non core,0.0,2.247191011235955,2,4
openstack/virtualbmc,openstack/charm-ironic-conductor,Core,0.0,0.0,0,0
openstack/virtualbmc,openstack/charm-ironic-conductor,Non core,0.0,0.0,0,0
openstack/virtualbmc,openstack/charm-neutron-api-plugin-ovn,Core,3.6363636363636362,0.0,2,0
openstack/virtualbmc,openstack/charm-neutron-api-plugin-ovn,Non core,0.0,0.0,2,0
openstack/virtualbmc,openstack/charm-octavia-dashboard,Core,1.6666666666666667,2.73972602739726,1,3
openstack/virtualbmc,openstack/charm-octavia-dashboard,Non core,0.0,1.36986301369863,1,3
openstack/virtualbmc,openstack/charm-masakari,Core,1.7543859649122806,1.3513513513513513,1,2
openstack/virtualbmc,openstack/charm-masakari,Non core,0.0,1.3513513513513513,1,2
openstack/virtualbmc,openstack/zun-ui,Core,7.142857142857142,11.214953271028037,9,18
openstack/virtualbmc,openstack/zun-ui,Non core,5.714285714285714,5.607476635514018,9,18
openstack/virtualbmc,openstack/python-brick-cinderclient-ext,Core,7.59493670886076,3.571428571428571,10,11
openstack/virtualbmc,openstack/python-brick-cinderclient-ext,Non core,5.063291139240507,6.25,10,11
openstack/virtualbmc,openstack/puppet-tacker,Core,9.375,3.75,9,5
openstack/virtualbmc,openstack/puppet-tacker,Non core,4.6875,2.5,9,5
openstack/virtualbmc,openstack/puppet-ec2api,Core,8.571428571428571,3.75,8,5
openstack/virtualbmc,openstack/puppet-ec2api,Non core,2.857142857142857,2.5,8,5
openstack/virtualbmc,openstack/puppet-mistral,Core,6.976744186046512,2.2388059701492535,9,6
