projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/vitrage-dashboard,openstack/oslotest,Core,6.086956521739131,4.72972972972973,15,12
openstack/vitrage-dashboard,openstack/oslotest,Non core,6.956521739130435,3.3783783783783785,15,12
openstack/vitrage-dashboard,openstack/kayobe-config,Core,2.5974025974025974,1.282051282051282,3,1
openstack/vitrage-dashboard,openstack/kayobe-config,Non core,1.2987012987012987,0.0,3,1
openstack/vitrage-dashboard,openstack/compute-hyperv,Core,5.154639175257731,2.8846153846153846,6,8
openstack/vitrage-dashboard,openstack/compute-hyperv,Non core,1.0309278350515463,4.807692307692308,6,8
openstack/vitrage-dashboard,openstack/python-cloudkittyclient,Core,7.017543859649122,4.724409448818897,17,15
openstack/vitrage-dashboard,openstack/python-cloudkittyclient,Non core,7.894736842105263,7.086614173228346,17,15
openstack/vitrage-dashboard,openstack/charm-interface-keystone,Core,2.5,1.1764705882352942,4,3
openstack/vitrage-dashboard,openstack/charm-interface-keystone,Non core,2.5,2.3529411764705883,4,3
openstack/vitrage-dashboard,openstack/cloudkitty-dashboard,Core,6.9306930693069315,4.477611940298507,15,14
openstack/vitrage-dashboard,openstack/cloudkitty-dashboard,Non core,7.920792079207921,5.970149253731343,15,14
openstack/vitrage-dashboard,openstack/networking-hyperv,Core,7.339449541284404,2.6548672566371683,13,10
openstack/vitrage-dashboard,openstack/networking-hyperv,Non core,4.587155963302752,6.1946902654867255,13,10
openstack/vitrage-dashboard,openstack/i18n,Core,3.8095238095238098,4.615384615384616,7,12
openstack/vitrage-dashboard,openstack/i18n,Non core,2.857142857142857,4.615384615384616,7,12
openstack/vitrage-dashboard,openstack/sahara-tests,Core,5.208333333333334,3.0303030303030303,12,6
openstack/vitrage-dashboard,openstack/sahara-tests,Non core,7.291666666666667,1.5151515151515151,12,6
openstack/vitrage-dashboard,openstack/python-zunclient,Core,4.477611940298507,3.0120481927710845,19,9
openstack/vitrage-dashboard,openstack/python-zunclient,Non core,9.701492537313433,2.4096385542168677,19,9
openstack/vitrage-dashboard,openstack/sahara-plugin-cdh,Core,3.896103896103896,4.651162790697675,5,7
openstack/vitrage-dashboard,openstack/sahara-plugin-cdh,Non core,2.5974025974025974,3.488372093023256,5,7
openstack/vitrage-dashboard,openstack/monasca-ui,Core,6.870229007633588,4.301075268817205,15,16
openstack/vitrage-dashboard,openstack/monasca-ui,Non core,4.580152671755725,4.301075268817205,15,16
openstack/vitrage-dashboard,openstack/python-adjutantclient,Core,5.333333333333334,3.8461538461538463,6,6
openstack/vitrage-dashboard,openstack/python-adjutantclient,Non core,2.666666666666667,3.8461538461538463,6,6
openstack/vitrage-dashboard,openstack/charm-ceph-nfs,Core,0.0,0.0,0,0
