projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/watcher-dashboard,openstack/sahara-plugin-ambari,Core,5.0,2.5316455696202533,4,5
openstack/watcher-dashboard,openstack/sahara-plugin-ambari,Non core,1.6666666666666667,3.79746835443038,4,5
openstack/watcher-dashboard,openstack/sahara-plugin-mapr,Core,5.084745762711865,3.75,4,9
openstack/watcher-dashboard,openstack/sahara-plugin-mapr,Non core,1.694915254237288,7.5,4,9
openstack/watcher-dashboard,openstack/sahara-plugin-spark,Core,5.172413793103448,2.666666666666667,4,4
openstack/watcher-dashboard,openstack/sahara-plugin-spark,Non core,1.7241379310344827,2.666666666666667,4,4
openstack/watcher-dashboard,openstack/sahara-plugin-storm,Core,5.172413793103448,2.631578947368421,4,4
openstack/watcher-dashboard,openstack/sahara-plugin-storm,Non core,1.7241379310344827,2.631578947368421,4,4
openstack/watcher-dashboard,openstack/sahara-plugin-vanilla,Core,5.172413793103448,2.631578947368421,4,6
openstack/watcher-dashboard,openstack/sahara-plugin-vanilla,Non core,1.7241379310344827,5.263157894736842,4,6
openstack/watcher-dashboard,openstack/sahara-specs,Core,3.0303030303030303,0.7142857142857143,4,2
openstack/watcher-dashboard,openstack/sahara-specs,Non core,1.0101010101010102,0.7142857142857143,4,2
openstack/watcher-dashboard,openstack/venus-tempest-plugin,Core,0.0,1.3513513513513513,1,1
openstack/watcher-dashboard,openstack/venus-tempest-plugin,Non core,1.7241379310344827,0.0,1,1
openstack/watcher-dashboard,openstack/venus-specs,Core,0.0,0.0,0,0
openstack/watcher-dashboard,openstack/venus-specs,Non core,0.0,0.0,0,0
openstack/watcher-dashboard,openstack/ceilometermiddleware,Core,10.975609756097562,3.816793893129771,10,12
openstack/watcher-dashboard,openstack/ceilometermiddleware,Non core,1.2195121951219512,5.343511450381679,10,12
openstack/watcher-dashboard,openstack/trove-tempest-plugin,Core,6.779661016949152,3.3707865168539324,7,10
openstack/watcher-dashboard,openstack/trove-tempest-plugin,Non core,5.084745762711865,7.865168539325842,7,10
openstack/watcher-dashboard,openstack/arch-design,Core,3.508771929824561,2.7777777777777777,3,3
openstack/watcher-dashboard,openstack/arch-design,Non core,1.7543859649122806,1.3888888888888888,3,3
openstack/watcher-dashboard,openstack/monasca-common,Core,7.894736842105263,3.75,13,17
openstack/watcher-dashboard,openstack/monasca-common,Non core,3.508771929824561,6.875000000000001,13,17
openstack/watcher-dashboard,openstack/monasca-statsd,Core,8.641975308641975,3.508771929824561,11,12
openstack/watcher-dashboard,openstack/monasca-statsd,Non core,4.938271604938271,7.017543859649122,11,12
openstack/watcher-dashboard,openstack/python-monascaclient,Core,8.130081300813007,3.508771929824561,18,16
openstack/watcher-dashboard,openstack/python-monascaclient,Non core,6.504065040650407,5.847953216374268,18,16
openstack/watcher-dashboard,openstack/renderspec,Core,7.575757575757576,2.197802197802198,10,6
openstack/watcher-dashboard,openstack/renderspec,Non core,7.575757575757576,4.395604395604396,10,6
openstack/watcher-dashboard,openstack/os-service-types,Core,2.9850746268656714,4.444444444444445,7,14
openstack/watcher-dashboard,openstack/os-service-types,Non core,7.462686567164178,11.11111111111111,7,14
openstack/watcher-dashboard,openstack/masakari-dashboard,Core,8.571428571428571,8.080808080808081,9,18
openstack/watcher-dashboard,openstack/masakari-dashboard,Non core,4.285714285714286,10.1010101010101,9,18
openstack/watcher-dashboard,openstack/freezer-dr,Core,8.955223880597014,4.166666666666666,10,11
openstack/watcher-dashboard,openstack/freezer-dr,Non core,5.970149253731343,7.291666666666667,10,11
openstack/watcher-dashboard,openstack/tempest-stress,Core,6.153846153846154,3.896103896103896,7,9
openstack/watcher-dashboard,openstack/tempest-stress,Non core,4.615384615384616,7.792207792207792,7,9
openstack/watcher-dashboard,openstack/charm-neutron-api-genericswitch,Core,3.7037037037037033,2.7777777777777777,2,2
openstack/watcher-dashboard,openstack/charm-neutron-api-genericswitch,Non core,0.0,0.0,2,2
openstack/watcher-dashboard,openstack/charm-neutron-dynamic-routing,Core,3.0303030303030303,1.1904761904761905,2,3
openstack/watcher-dashboard,openstack/charm-neutron-dynamic-routing,Non core,0.0,2.380952380952381,2,3
openstack/watcher-dashboard,openstack/charm-interface-ceph-client,Core,1.694915254237288,2.5974025974025974,1,3
openstack/watcher-dashboard,openstack/charm-interface-ceph-client,Non core,0.0,1.2987012987012987,1,3
openstack/watcher-dashboard,openstack/charm-percona-cluster,Core,2.2988505747126435,2.6785714285714284,5,7
openstack/watcher-dashboard,openstack/charm-percona-cluster,Non core,3.4482758620689653,3.571428571428571,5,7
openstack/watcher-dashboard,openstack/charm-deployment-guide,Core,2.4390243902439024,2.0408163265306123,2,4
openstack/watcher-dashboard,openstack/charm-deployment-guide,Non core,0.0,2.0408163265306123,2,4
openstack/watcher-dashboard,openstack/rbd-iscsi-client,Core,0.0,0.0,0,0
openstack/watcher-dashboard,openstack/rbd-iscsi-client,Non core,0.0,0.0,0,0
openstack/watcher-dashboard,openstack/oslo.metrics,Core,0.0,1.2195121951219512,1,2
openstack/watcher-dashboard,openstack/oslo.metrics,Non core,1.694915254237288,1.2195121951219512,1,2
openstack/watcher-dashboard,openstack/oslo.vmware,Core,9.565217391304348,3.0927835051546393,17,18
openstack/watcher-dashboard,openstack/oslo.vmware,Non core,5.217391304347826,6.185567010309279,17,18
openstack/watcher-dashboard,openstack/oslo.upgradecheck,Core,6.451612903225806,5.952380952380952,8,13
openstack/watcher-dashboard,openstack/oslo.upgradecheck,Non core,6.451612903225806,9.523809523809524,8,13
openstack/watcher-dashboard,openstack/python-masakariclient,Core,6.097560975609756,4.807692307692308,12,17
openstack/watcher-dashboard,openstack/python-masakariclient,Non core,8.536585365853659,11.538461538461538,12,17
openstack/watcher-dashboard,openstack/python-vitrageclient,Core,6.666666666666667,3.125,16,12
openstack/watcher-dashboard,openstack/python-vitrageclient,Non core,11.11111111111111,9.375,16,12
openstack/watcher-dashboard,openstack/python-blazarclient,Core,5.376344086021505,3.90625,12,18
openstack/watcher-dashboard,openstack/python-blazarclient,Non core,7.526881720430108,10.15625,12,18
openstack/watcher-dashboard,openstack/zaqar-tempest-plugin,Core,3.225806451612903,2.247191011235955,3,5
openstack/watcher-dashboard,openstack/zaqar-tempest-plugin,Non core,1.6129032258064515,3.3707865168539324,3,5
openstack/watcher-dashboard,openstack/tripleo-common-tempest-plugin,Core,4.918032786885246,2.197802197802198,8,11
openstack/watcher-dashboard,openstack/tripleo-common-tempest-plugin,Non core,8.19672131147541,9.89010989010989,8,11
openstack/watcher-dashboard,openstack/mistral-tempest-plugin,Core,2.9850746268656714,3.1578947368421053,9,9
openstack/watcher-dashboard,openstack/mistral-tempest-plugin,Non core,10.44776119402985,6.315789473684211,9,9
openstack/watcher-dashboard,openstack/barbican-ui,Core,1.9230769230769231,1.25,1,1
openstack/watcher-dashboard,openstack/barbican-ui,Non core,0.0,0.0,1,1
openstack/watcher-dashboard,openstack/liberasurecode,Core,1.5873015873015872,1.1494252873563218,1,2
openstack/watcher-dashboard,openstack/liberasurecode,Non core,0.0,1.1494252873563218,1,2
openstack/watcher-dashboard,openstack/ansible-plugin-container-connection,Core,0.0,0.0,0,0
openstack/watcher-dashboard,openstack/ansible-plugin-container-connection,Non core,0.0,0.0,0,0
openstack/watcher-dashboard,openstack/os-client-config,Core,5.084745762711865,2.4096385542168677,13,9
openstack/watcher-dashboard,openstack/os-client-config,Non core,5.932203389830509,3.0120481927710845,13,9
openstack/watcher-dashboard,openstack/monasca-specs,Core,3.3333333333333335,1.0416666666666665,4,3
openstack/watcher-dashboard,openstack/monasca-specs,Non core,3.3333333333333335,2.083333333333333,4,3
openstack/watcher-dashboard,openstack/os-performance-tools,Core,4.615384615384616,2.3529411764705883,6,5
openstack/watcher-dashboard,openstack/os-performance-tools,Non core,4.615384615384616,3.5294117647058822,6,5
openstack/watcher-dashboard,openstack/trove-specs,Core,4.597701149425287,0.6802721088435374,5,6
openstack/watcher-dashboard,openstack/trove-specs,Non core,1.1494252873563218,3.4013605442176873,5,6
openstack/watcher-dashboard,openstack/manila-image-elements,Core,8.571428571428571,0.9259259259259258,9,7
openstack/watcher-dashboard,openstack/manila-image-elements,Non core,4.285714285714286,5.555555555555555,9,7
openstack/watcher-dashboard,openstack/blazar-specs,Core,3.389830508474576,4.651162790697675,2,4
openstack/watcher-dashboard,openstack/blazar-specs,Non core,0.0,0.0,2,4
openstack/watcher-dashboard,openstack/molteniron,Core,8.47457627118644,2.197802197802198,5,4
openstack/watcher-dashboard,openstack/molteniron,Non core,0.0,2.197802197802198,5,4
openstack/watcher-dashboard,openstack/solum-specs,Core,6.349206349206349,1.1111111111111112,5,2
openstack/watcher-dashboard,openstack/solum-specs,Non core,1.5873015873015872,1.1111111111111112,5,2
openstack/watcher-dashboard,openstack/patrole,Core,3.875968992248062,3.5294117647058822,13,11
openstack/watcher-dashboard,openstack/patrole,Non core,6.2015503875969,2.941176470588235,13,11
openstack/watcher-dashboard,openstack/performance-docs,Core,3.571428571428571,0.8264462809917356,8,6
openstack/watcher-dashboard,openstack/performance-docs,Non core,5.952380952380952,4.132231404958678,8,6
openstack/watcher-dashboard,openstack/sphinx-feature-classification,Core,4.545454545454546,3.125,6,8
openstack/watcher-dashboard,openstack/sphinx-feature-classification,Non core,4.545454545454546,5.208333333333334,6,8
openstack/watcher-dashboard,openstack/etcd3gw,Core,0.0,2.5974025974025974,0,3
openstack/watcher-dashboard,openstack/etcd3gw,Non core,0.0,1.2987012987012987,0,3
openstack/watcher-dashboard,openstack/watcher-specs,Core,10.975609756097562,10.344827586206897,18,36
openstack/watcher-dashboard,openstack/watcher-specs,Non core,10.975609756097562,20.689655172413794,18,36
openstack/watcher-dashboard,openstack/yaql,Core,7.5,2.586206896551724,8,9
openstack/watcher-dashboard,openstack/yaql,Non core,2.5,5.172413793103448,8,9
openstack/watcher-dashboard,openstack/puppet-openstack-guide,Core,7.142857142857142,3.0,9,9
openstack/watcher-dashboard,openstack/puppet-openstack-guide,Non core,5.714285714285714,6.0,9,9
openstack/watcher-dashboard,openstack/puppet-panko,Core,4.878048780487805,2.1052631578947367,9,7
openstack/watcher-dashboard,openstack/puppet-panko,Non core,6.097560975609756,5.263157894736842,9,7
openstack/watcher-dashboard,openstack/heat-cfnclient,Core,8.955223880597014,3.1578947368421053,7,7
openstack/watcher-dashboard,openstack/heat-cfnclient,Non core,1.4925373134328357,4.2105263157894735,7,7
openstack/watcher-dashboard,openstack/heat-cfntools,Core,7.954545454545454,2.3622047244094486,13,11
openstack/watcher-dashboard,openstack/heat-cfntools,Non core,6.8181818181818175,6.299212598425196,13,11
openstack/watcher-dashboard,openstack/heat-templates,Core,4.054054054054054,1.2552301255230125,9,9
openstack/watcher-dashboard,openstack/heat-templates,Non core,2.027027027027027,2.510460251046025,9,9
openstack/watcher-dashboard,openstack/governance-sigs,Core,7.792207792207792,2.547770700636943,9,14
openstack/watcher-dashboard,openstack/governance-sigs,Non core,3.896103896103896,6.369426751592357,9,14
openstack/watcher-dashboard,openstack/openstack-zuul-roles,Core,1.8181818181818181,1.282051282051282,1,2
openstack/watcher-dashboard,openstack/openstack-zuul-roles,Non core,0.0,1.282051282051282,1,2
openstack/watcher-dashboard,openstack/nova-powervm,Core,5.9405940594059405,2.5806451612903225,8,13
openstack/watcher-dashboard,openstack/nova-powervm,Non core,1.9801980198019802,5.806451612903226,8,13
openstack/watcher-dashboard,openstack/openstack-helm-addons,Core,0.0,0.5780346820809248,4,9
openstack/watcher-dashboard,openstack/openstack-helm-addons,Non core,4.705882352941177,4.624277456647398,4,9
openstack/watcher-dashboard,openstack/python-pankoclient,Core,7.142857142857142,4.123711340206185,7,12
openstack/watcher-dashboard,openstack/python-pankoclient,Non core,2.857142857142857,8.24742268041237,7,12
openstack/watcher-dashboard,openstack/qa-specs,Core,4.301075268817205,2.3391812865497075,7,9
openstack/watcher-dashboard,openstack/qa-specs,Non core,3.225806451612903,2.923976608187134,7,9
openstack/watcher-dashboard,openstack/zaqar-specs,Core,4.878048780487805,0.78125,6,6
openstack/watcher-dashboard,openstack/zaqar-specs,Non core,2.4390243902439024,3.90625,6,6
openstack/watcher-dashboard,openstack/swift-bench,Core,1.4925373134328357,2.0,3,6
openstack/watcher-dashboard,openstack/swift-bench,Non core,2.9850746268656714,4.0,3,6
openstack/watcher-dashboard,openstack/whereto,Core,3.3333333333333335,3.571428571428571,9,7
openstack/watcher-dashboard,openstack/whereto,Non core,11.666666666666666,4.761904761904762,9,7
openstack/watcher-dashboard,openstack/murano-specs,Core,5.747126436781609,1.6,7,6
openstack/watcher-dashboard,openstack/murano-specs,Non core,2.2988505747126435,3.2,7,6
openstack/watcher-dashboard,openstack/ansible-role-tripleo-modify-image,Core,2.5974025974025974,0.8,4,7
openstack/watcher-dashboard,openstack/ansible-role-tripleo-modify-image,Non core,2.5974025974025974,4.8,4,7
openstack/watcher-dashboard,openstack/requestsexceptions,Core,5.454545454545454,0.0,4,3
openstack/watcher-dashboard,openstack/requestsexceptions,Non core,1.8181818181818181,3.614457831325301,4,3
openstack/watcher-dashboard,openstack/panko,Core,8.181818181818182,4.605263157894736,14,19
openstack/watcher-dashboard,openstack/panko,Non core,4.545454545454546,7.894736842105263,14,19
openstack/watcher-dashboard,openstack/api-sig,Core,4.081632653061225,2.371541501976284,5,11
openstack/watcher-dashboard,openstack/api-sig,Non core,1.0204081632653061,1.9762845849802373,5,11
openstack/watcher-dashboard,openstack/openstack-chef-specs,Core,4.225352112676056,1.0101010101010102,4,5
openstack/watcher-dashboard,openstack/openstack-chef-specs,Non core,1.4084507042253522,4.040404040404041,4,5
openstack/watcher-dashboard,openstack/freezer-specs,Core,7.575757575757576,2.1739130434782608,7,4
openstack/watcher-dashboard,openstack/freezer-specs,Non core,3.0303030303030303,2.1739130434782608,7,4
openstack/watcher-dashboard,openstack/oslo.tools,Core,5.128205128205128,2.1505376344086025,6,5
openstack/watcher-dashboard,openstack/oslo.tools,Non core,2.564102564102564,3.225806451612903,6,5
openstack/watcher-dashboard,openstack/microversion-parse,Core,1.694915254237288,3.75,2,4
openstack/watcher-dashboard,openstack/microversion-parse,Non core,1.694915254237288,1.25,2,4
openstack/watcher-dashboard,openstack/openstackclient,Core,7.142857142857142,3.125,6,8
openstack/watcher-dashboard,openstack/openstackclient,Non core,1.4285714285714286,5.208333333333334,6,8
openstack/watcher-dashboard,openstack/ossa,Core,2.857142857142857,3.278688524590164,3,8
openstack/watcher-dashboard,openstack/ossa,Non core,1.4285714285714286,3.278688524590164,3,8
openstack/watcher-dashboard,openstack/reviewstats,Core,4.878048780487805,3.296703296703297,6,8
openstack/watcher-dashboard,openstack/reviewstats,Non core,0.0,1.098901098901099,6,8
openstack/watcher-dashboard,openstack/oslo-cookiecutter,Core,4.285714285714286,2.083333333333333,4,5
openstack/watcher-dashboard,openstack/oslo-cookiecutter,Non core,1.4285714285714286,3.125,4,5
openstack/watcher-dashboard,openstack/openstack-helm-deployments,Core,0.0,0.0,0,0
openstack/watcher-dashboard,openstack/openstack-helm-deployments,Non core,0.0,0.0,0,0
openstack/watcher-dashboard,openstack/security-analysis,Core,3.508771929824561,3.4090909090909087,3,5
openstack/watcher-dashboard,openstack/security-analysis,Non core,1.7543859649122806,2.272727272727273,3,5
openstack/watcher-dashboard,openstack/charm-cinder-ibm-storwize-svc,Core,0.0,0.0,0,0
openstack/watcher-dashboard,openstack/charm-cinder-ibm-storwize-svc,Non core,0.0,0.0,0,0
openstack/watcher-dashboard,openstack/ansible-role-tripleo-keystone,Core,3.7037037037037033,1.36986301369863,4,1
openstack/watcher-dashboard,openstack/ansible-role-tripleo-keystone,Non core,3.7037037037037033,0.0,4,1
openstack/watcher-dashboard,openstack/openstack-ansible-apt_package_pinning,Core,6.41025641025641,1.9417475728155338,10,9
openstack/watcher-dashboard,openstack/openstack-ansible-apt_package_pinning,Non core,6.41025641025641,6.796116504854369,10,9
openstack/watcher-dashboard,openstack/ansible-role-qdrouterd,Core,3.3333333333333335,1.0526315789473684,4,4
openstack/watcher-dashboard,openstack/ansible-role-qdrouterd,Non core,3.3333333333333335,3.1578947368421053,4,4
openstack/watcher-dashboard,openstack/openstack-ansible-openstack_openrc,Core,5.681818181818182,1.834862385321101,11,12
openstack/watcher-dashboard,openstack/openstack-ansible-openstack_openrc,Non core,6.8181818181818175,9.174311926605505,11,12
openstack/watcher-dashboard,openstack/openstack-ansible-nspawn_container_create,Core,4.545454545454546,2.1739130434782608,7,9
openstack/watcher-dashboard,openstack/openstack-ansible-nspawn_container_create,Non core,6.0606060606060606,7.608695652173914,7,9
openstack/watcher-dashboard,openstack/devstack-tools,Core,4.6875,2.5316455696202533,5,7
openstack/watcher-dashboard,openstack/devstack-tools,Non core,3.125,6.329113924050633,5,7
openstack/watcher-dashboard,openstack/coverage2sql,Core,5.714285714285714,3.75,6,9
openstack/watcher-dashboard,openstack/coverage2sql,Non core,2.857142857142857,7.5,6,9
openstack/watcher-dashboard,openstack/bashate,Core,6.382978723404255,5.128205128205128,7,7
