projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/xstatic-angular-smart-table,openstack/xstatic-bootswatch,Core,14.285714285714285,18.75,2,6
openstack/xstatic-angular-smart-table,openstack/xstatic-bootswatch,Non core,14.285714285714285,18.75,2,6
openstack/xstatic-angular-smart-table,openstack/deb-msgpack-python,Core,0.0,0.0,0,1
openstack/xstatic-angular-smart-table,openstack/deb-msgpack-python,Non core,0.0,9.090909090909092,0,1
openstack/xstatic-angular-smart-table,openstack/xstatic-d3,Core,12.5,35.714285714285715,2,8
openstack/xstatic-angular-smart-table,openstack/xstatic-d3,Non core,12.5,21.428571428571427,2,8
openstack/xstatic-angular-smart-table,openstack/deb-python-cassandra-driver,Core,0.0,0.0,0,0
openstack/xstatic-angular-smart-table,openstack/deb-python-cassandra-driver,Non core,0.0,0.0,0,0
openstack/xstatic-angular-smart-table,openstack/deb-python-pymemcache,Core,0.0,0.0,0,1
openstack/xstatic-angular-smart-table,openstack/deb-python-pymemcache,Non core,0.0,10.0,0,1
openstack/xstatic-angular-smart-table,openstack/deb-novnc,Core,0.0,0.0,0,1
openstack/xstatic-angular-smart-table,openstack/deb-novnc,Non core,0.0,10.0,0,1
openstack/xstatic-angular-smart-table,openstack/instack,Core,3.8461538461538463,0.0,1,1
openstack/xstatic-angular-smart-table,openstack/instack,Non core,0.0,2.272727272727273,1,1
openstack/xstatic-angular-smart-table,openstack/deb-python-pysaml2,Core,0.0,0.0,0,1
openstack/xstatic-angular-smart-table,openstack/deb-python-pysaml2,Non core,0.0,8.333333333333332,0,1
openstack/xstatic-angular-smart-table,openstack/deb-python-trollius,Core,0.0,0.0,0,1
openstack/xstatic-angular-smart-table,openstack/deb-python-trollius,Non core,0.0,10.0,0,1
openstack/xstatic-angular-smart-table,openstack/deb-python-autobahn,Core,0.0,0.0,0,1
openstack/xstatic-angular-smart-table,openstack/deb-python-autobahn,Non core,0.0,10.0,0,1
openstack/xstatic-angular-smart-table,openstack/deb-python-pyldap,Core,0.0,0.0,0,1
openstack/xstatic-angular-smart-table,openstack/deb-python-pyldap,Non core,0.0,10.0,0,1
openstack/xstatic-angular-smart-table,openstack/astara,Core,2.4390243902439024,0.0,1,1
openstack/xstatic-angular-smart-table,openstack/astara,Non core,0.0,1.7543859649122806,1,1
openstack/xstatic-angular-smart-table,openstack/astara-appliance,Core,0.0,0.0,0,1
openstack/xstatic-angular-smart-table,openstack/astara-appliance,Non core,0.0,3.125,0,1
openstack/xstatic-angular-smart-table,openstack/astara-horizon,Core,0.0,0.0,0,1
openstack/xstatic-angular-smart-table,openstack/astara-horizon,Non core,0.0,4.0,0,1
openstack/xstatic-angular-smart-table,openstack/astara-neutron,Core,0.0,0.0,0,1
