projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/xstatic-angular,openstack/charm-interface-hacluster,Core,3.3333333333333335,0.0,1,1
openstack/xstatic-angular,openstack/charm-interface-hacluster,Non core,0.0,2.631578947368421,1,1
openstack/xstatic-angular,openstack/puppet-openstack-specs,Core,5.555555555555555,0.0,2,3
openstack/xstatic-angular,openstack/puppet-openstack-specs,Non core,0.0,3.9473684210526314,2,3
openstack/xstatic-angular,openstack/puppet-monasca,Core,2.3255813953488373,0.0,1,2
openstack/xstatic-angular,openstack/puppet-monasca,Non core,0.0,1.9801980198019802,1,2
openstack/xstatic-angular,openstack/eslint-config-openstack,Core,3.571428571428571,8.620689655172415,1,12
openstack/xstatic-angular,openstack/eslint-config-openstack,Non core,0.0,12.068965517241379,1,12
openstack/xstatic-angular,openstack/karma-subunit-reporter,Core,6.25,0.0,1,1
openstack/xstatic-angular,openstack/karma-subunit-reporter,Non core,0.0,3.571428571428571,1,1
openstack/xstatic-angular,openstack/openstack-helm-docs,Core,0.0,0.0,0,0
openstack/xstatic-angular,openstack/openstack-helm-docs,Non core,0.0,0.0,0,0
openstack/xstatic-angular,openstack/openstack-ansible-specs,Core,3.0303030303030303,0.0,2,2
openstack/xstatic-angular,openstack/openstack-ansible-specs,Non core,0.0,1.5151515151515151,2,2
openstack/xstatic-angular,openstack/tempest-lib,Core,1.8181818181818181,0.0,1,3
openstack/xstatic-angular,openstack/tempest-lib,Non core,0.0,2.7027027027027026,1,3
openstack/xstatic-angular,openstack/tripleo-ha-utils,Core,0.0,0.0,0,0
openstack/xstatic-angular,openstack/tripleo-ha-utils,Non core,0.0,0.0,0,0
openstack/xstatic-angular,openstack/devstack-vagrant,Core,0.0,0.0,0,3
openstack/xstatic-angular,openstack/devstack-vagrant,Non core,0.0,6.8181818181818175,0,3
openstack/xstatic-angular,openstack/goal-tools,Core,5.263157894736842,0.0,1,0
openstack/xstatic-angular,openstack/goal-tools,Non core,0.0,0.0,1,0
openstack/xstatic-angular,openstack/cookiecutter,Core,3.7037037037037033,0.0,2,2
openstack/xstatic-angular,openstack/cookiecutter,Non core,0.0,2.2222222222222223,2,2
openstack/xstatic-angular,openstack/dib-utils,Core,3.8461538461538463,0.0,2,2
openstack/xstatic-angular,openstack/dib-utils,Non core,3.8461538461538463,3.389830508474576,2,2
openstack/xstatic-angular,openstack/constellations,Core,5.88235294117647,0.0,1,0
openstack/xstatic-angular,openstack/constellations,Non core,0.0,0.0,1,0
openstack/xstatic-angular,openstack/cookbook-openstack-integration-test,Core,3.3333333333333335,0.0,1,2
openstack/xstatic-angular,openstack/cookbook-openstack-integration-test,Non core,0.0,3.7037037037037033,1,2
openstack/xstatic-angular,openstack/cookbook-openstack-dashboard,Core,1.7543859649122806,0.0,1,2
openstack/xstatic-angular,openstack/cookbook-openstack-dashboard,Non core,0.0,2.2222222222222223,1,2
openstack/xstatic-angular,openstack/cookbook-openstack-telemetry,Core,1.7241379310344827,0.0,1,2
openstack/xstatic-angular,openstack/cookbook-openstack-telemetry,Non core,0.0,2.8169014084507045,1,2
openstack/xstatic-angular,openstack/cookbook-openstack-orchestration,Core,2.083333333333333,0.0,1,2
openstack/xstatic-angular,openstack/cookbook-openstack-orchestration,Non core,0.0,2.631578947368421,1,2
openstack/xstatic-angular,openstack/cookbook-openstack-bare-metal,Core,4.545454545454546,0.0,1,2
openstack/xstatic-angular,openstack/cookbook-openstack-bare-metal,Non core,0.0,4.761904761904762,1,2
openstack/xstatic-angular,openstack/cookbook-openstack-dns,Core,0.0,0.0,0,0
openstack/xstatic-angular,openstack/cookbook-openstack-dns,Non core,0.0,0.0,0,0
openstack/xstatic-angular,openstack/cookbook-openstack-compute,Core,1.2987012987012987,0.0,1,2
openstack/xstatic-angular,openstack/cookbook-openstack-compute,Non core,0.0,1.7543859649122806,1,2
openstack/xstatic-angular,openstack/cookbook-openstack-network,Core,1.2658227848101267,0.0,1,2
openstack/xstatic-angular,openstack/cookbook-openstack-network,Non core,0.0,1.834862385321101,1,2
openstack/xstatic-angular,openstack/cookbook-openstack-block-storage,Core,1.36986301369863,0.0,1,2
openstack/xstatic-angular,openstack/cookbook-openstack-block-storage,Non core,0.0,2.2222222222222223,1,2
openstack/xstatic-angular,openstack/cookbook-openstack-image,Core,1.5625,0.0,1,2
openstack/xstatic-angular,openstack/cookbook-openstack-image,Non core,0.0,2.247191011235955,1,2
openstack/xstatic-angular,openstack/cookbook-openstack-identity,Core,1.5151515151515151,0.0,1,2
openstack/xstatic-angular,openstack/cookbook-openstack-identity,Non core,0.0,2.1052631578947367,1,2
openstack/xstatic-angular,openstack/cookbook-openstack-ops-database,Core,2.127659574468085,0.0,1,2
openstack/xstatic-angular,openstack/cookbook-openstack-ops-database,Non core,0.0,2.898550724637681,1,2
openstack/xstatic-angular,openstack/cookbook-openstack-ops-messaging,Core,2.5,0.0,1,2
openstack/xstatic-angular,openstack/cookbook-openstack-ops-messaging,Non core,0.0,3.225806451612903,1,2
openstack/xstatic-angular,openstack/cookbook-openstack-common,Core,1.3513513513513513,0.0,1,2
openstack/xstatic-angular,openstack/cookbook-openstack-common,Non core,0.0,1.7857142857142856,1,2
openstack/xstatic-angular,openstack/self-healing-sig,Core,4.545454545454546,0.0,1,0
openstack/xstatic-angular,openstack/self-healing-sig,Non core,0.0,0.0,1,0
openstack/xstatic-angular,openstack/charm-ops-interface-tls-certificates,Core,0.0,0.0,0,0
openstack/xstatic-angular,openstack/charm-ops-interface-tls-certificates,Non core,0.0,0.0,0,0
openstack/xstatic-angular,openstack/security-specs,Core,3.7037037037037033,0.0,1,2
openstack/xstatic-angular,openstack/security-specs,Non core,0.0,3.9215686274509802,1,2
openstack/xstatic-angular,openstack/openstack-ansible-os_panko,Core,2.7777777777777777,0.0,1,0
openstack/xstatic-angular,openstack/openstack-ansible-os_panko,Non core,0.0,0.0,1,0
openstack/xstatic-angular,openstack/openstack-ansible-nspawn_hosts,Core,2.941176470588235,0.0,1,0
openstack/xstatic-angular,openstack/openstack-ansible-nspawn_hosts,Non core,0.0,0.0,1,0
openstack/xstatic-angular,openstack/charm-layer-openstack-principle,Core,5.88235294117647,0.0,1,0
openstack/xstatic-angular,openstack/charm-layer-openstack-principle,Non core,0.0,0.0,1,0
openstack/xstatic-angular,openstack/charm-watcher-dashboard,Core,0.0,0.0,0,0
openstack/xstatic-angular,openstack/charm-watcher-dashboard,Non core,0.0,0.0,0,0
openstack/xstatic-angular,openstack/charm-watcher,Core,0.0,0.0,0,0
openstack/xstatic-angular,openstack/charm-watcher,Non core,0.0,0.0,0,0
openstack/xstatic-angular,openstack/openstack-ansible-galera_client,Core,1.5151515151515151,0.0,1,2
openstack/xstatic-angular,openstack/openstack-ansible-galera_client,Non core,0.0,2.564102564102564,1,2
openstack/xstatic-angular,openstack/cloudkitty-specs,Core,3.571428571428571,0.0,1,1
openstack/xstatic-angular,openstack/cloudkitty-specs,Non core,0.0,1.9607843137254901,1,1
openstack/xstatic-angular,openstack/osops,Core,0.0,0.0,0,0
openstack/xstatic-angular,openstack/osops,Non core,0.0,0.0,0,0
openstack/xstatic-angular,openstack/charm-mistral,Core,0.0,0.0,0,0
openstack/xstatic-angular,openstack/charm-mistral,Non core,0.0,0.0,0,0
openstack/xstatic-angular,openstack/charm-ironic,Core,5.88235294117647,0.0,1,0
openstack/xstatic-angular,openstack/charm-ironic,Non core,0.0,0.0,1,0
openstack/xstatic-angular,openstack/ansible-role-vault,Core,0.0,0.0,0,0
openstack/xstatic-angular,openstack/ansible-role-vault,Non core,0.0,0.0,0,0
openstack/xstatic-angular,openstack/multi-arch-sig,Core,0.0,0.0,0,0
