projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/xstatic-hogan,openstack/xstatic-jquery.quicksearch,Core,100.0,66.66666666666666,3,6
openstack/xstatic-hogan,openstack/xstatic-jquery.quicksearch,Non core,0.0,33.33333333333333,3,6
openstack/xstatic-hogan,openstack/openstack-ansible-os_molteniron,Core,3.8461538461538463,0.0,1,1
openstack/xstatic-hogan,openstack/openstack-ansible-os_molteniron,Non core,0.0,2.7777777777777777,1,1
openstack/xstatic-hogan,openstack/xstatic-angular-lrdragndrop,Core,11.11111111111111,5.555555555555555,1,2
openstack/xstatic-hogan,openstack/xstatic-angular-lrdragndrop,Non core,0.0,5.555555555555555,1,2
openstack/xstatic-hogan,openstack/faafo,Core,7.6923076923076925,0.0,1,1
openstack/xstatic-hogan,openstack/faafo,Non core,0.0,4.3478260869565215,1,1
openstack/xstatic-hogan,openstack/xstatic-angular-bootstrap,Core,18.181818181818183,15.0,2,5
openstack/xstatic-hogan,openstack/xstatic-angular-bootstrap,Non core,0.0,10.0,2,5
openstack/xstatic-hogan,openstack/networking-calico,Core,2.7777777777777777,0.0,1,1
openstack/xstatic-hogan,openstack/networking-calico,Non core,0.0,1.5873015873015872,1,1
openstack/xstatic-hogan,openstack/xstatic-angular-gettext,Core,11.11111111111111,20.0,1,5
openstack/xstatic-hogan,openstack/xstatic-angular-gettext,Non core,0.0,13.333333333333334,1,5
openstack/xstatic-hogan,openstack/shotgun,Core,0.0,0.0,0,1
openstack/xstatic-hogan,openstack/shotgun,Non core,0.0,1.2658227848101267,0,1
openstack/xstatic-hogan,openstack/deb-python-aioeventlet,Core,0.0,0.0,0,1
openstack/xstatic-hogan,openstack/deb-python-aioeventlet,Non core,0.0,14.285714285714285,0,1
openstack/xstatic-hogan,openstack/fuel-devops,Core,0.0,0.6896551724137931,0,2
openstack/xstatic-hogan,openstack/fuel-devops,Non core,0.0,0.6896551724137931,0,2
openstack/xstatic-hogan,openstack/fuel-plugin-murano,Core,0.0,0.0,0,1
openstack/xstatic-hogan,openstack/fuel-plugin-murano,Non core,0.0,2.857142857142857,0,1
openstack/xstatic-hogan,openstack/fuel-web,Core,0.0,0.25380710659898476,0,2
openstack/xstatic-hogan,openstack/fuel-web,Non core,0.0,0.25380710659898476,0,2
openstack/xstatic-hogan,openstack/fuel-plugins,Core,0.0,0.0,0,1
openstack/xstatic-hogan,openstack/fuel-plugins,Non core,0.0,0.9433962264150944,0,1
openstack/xstatic-hogan,openstack/fuel-virtualbox,Core,0.0,0.0,0,1
openstack/xstatic-hogan,openstack/fuel-virtualbox,Non core,0.0,3.7037037037037033,0,1
openstack/xstatic-hogan,openstack/fuel-ostf,Core,0.0,0.4629629629629629,0,2
openstack/xstatic-hogan,openstack/fuel-ostf,Non core,0.0,0.4629629629629629,0,2
openstack/xstatic-hogan,openstack/fuel-qa,Core,0.0,0.4016064257028112,0,2
openstack/xstatic-hogan,openstack/fuel-qa,Non core,0.0,0.4016064257028112,0,2
openstack/xstatic-hogan,openstack/fuel-specs,Core,0.0,0.33112582781456956,0,2
openstack/xstatic-hogan,openstack/fuel-specs,Non core,0.0,0.33112582781456956,0,2
openstack/xstatic-hogan,openstack/fuel-nailgun-extension-cluster-upgrade,Core,0.0,0.0,0,1
openstack/xstatic-hogan,openstack/fuel-nailgun-extension-cluster-upgrade,Non core,0.0,3.7037037037037033,0,1
openstack/xstatic-hogan,openstack/fuel-nailgun-agent,Core,0.0,0.0,0,1
openstack/xstatic-hogan,openstack/fuel-nailgun-agent,Non core,0.0,0.9803921568627451,0,1
openstack/xstatic-hogan,openstack/fuel-mirror,Core,0.0,0.0,0,1
openstack/xstatic-hogan,openstack/fuel-mirror,Non core,0.0,0.9345794392523363,0,1
openstack/xstatic-hogan,openstack/fuel-menu,Core,0.0,0.0,0,1
openstack/xstatic-hogan,openstack/fuel-menu,Non core,0.0,0.8403361344537815,0,1
openstack/xstatic-hogan,openstack/fuel-main,Core,0.0,0.3968253968253968,0,2
openstack/xstatic-hogan,openstack/fuel-main,Non core,0.0,0.3968253968253968,0,2
openstack/xstatic-hogan,openstack/fuel-ui,Core,0.0,0.0,0,1
openstack/xstatic-hogan,openstack/fuel-ui,Non core,0.0,1.0638297872340425,0,1
openstack/xstatic-hogan,openstack/fuel-library,Core,0.0,0.2257336343115124,0,2
openstack/xstatic-hogan,openstack/fuel-library,Non core,0.0,0.2257336343115124,0,2
openstack/xstatic-hogan,openstack/fuel-dev-tools,Core,6.25,0.0,1,1
openstack/xstatic-hogan,openstack/fuel-dev-tools,Non core,0.0,3.7037037037037033,1,1
openstack/xstatic-hogan,openstack/fuel-stats,Core,0.0,0.0,0,1
openstack/xstatic-hogan,openstack/fuel-stats,Non core,0.0,1.8867924528301887,0,1
openstack/xstatic-hogan,openstack/fuel-nailgun-extension-converted-serializers,Core,0.0,0.0,0,1
openstack/xstatic-hogan,openstack/fuel-nailgun-extension-converted-serializers,Non core,0.0,10.0,0,1
openstack/xstatic-hogan,openstack/fuel-nailgun-extension-iac,Core,0.0,0.0,0,1
openstack/xstatic-hogan,openstack/fuel-nailgun-extension-iac,Non core,0.0,8.333333333333332,0,1
openstack/xstatic-hogan,openstack/fuel-plugin-murano-tests,Core,0.0,0.0,0,1
openstack/xstatic-hogan,openstack/fuel-plugin-murano-tests,Non core,0.0,2.857142857142857,0,1
openstack/xstatic-hogan,openstack/fuel-astute,Core,0.0,0.0,0,1
openstack/xstatic-hogan,openstack/fuel-astute,Non core,0.0,0.6329113924050633,0,1
openstack/xstatic-hogan,openstack/fuel-docs,Core,0.0,0.3134796238244514,0,2
openstack/xstatic-hogan,openstack/fuel-docs,Non core,0.0,0.3134796238244514,0,2
openstack/xstatic-hogan,openstack/fuel-agent,Core,0.0,0.0,0,1
openstack/xstatic-hogan,openstack/fuel-agent,Non core,0.0,0.6493506493506493,0,1
openstack/xstatic-hogan,openstack/fuel-octane,Core,2.941176470588235,0.0,1,1
openstack/xstatic-hogan,openstack/fuel-octane,Non core,0.0,1.639344262295082,1,1
openstack/xstatic-hogan,openstack/tuning-box,Core,0.0,0.0,0,1
openstack/xstatic-hogan,openstack/tuning-box,Non core,0.0,3.125,0,1
openstack/xstatic-hogan,openstack/python-fuelclient,Core,0.0,0.0,0,1
openstack/xstatic-hogan,openstack/python-fuelclient,Non core,0.0,0.6578947368421052,0,1
openstack/xstatic-hogan,openstack/neutron-interconnection,Core,0.0,5.88235294117647,0,1
openstack/xstatic-hogan,openstack/neutron-interconnection,Non core,0.0,0.0,0,1
openstack/xstatic-hogan,openstack/openstack-chef-repo,Core,0.0,0.0,0,1
openstack/xstatic-hogan,openstack/openstack-chef-repo,Non core,0.0,1.6666666666666667,0,1
openstack/xstatic-hogan,openstack/os-acc,Core,0.0,0.0,0,0
openstack/xstatic-hogan,openstack/os-acc,Non core,0.0,0.0,0,0
openstack/xstatic-hogan,openstack/openstack-ansible-os_zaqar,Core,2.564102564102564,0.0,1,1
openstack/xstatic-hogan,openstack/openstack-ansible-os_zaqar,Non core,0.0,1.8518518518518516,1,1
openstack/xstatic-hogan,openstack/openstack-ansible-os_watcher,Core,0.0,0.0,0,1
openstack/xstatic-hogan,openstack/openstack-ansible-os_watcher,Non core,0.0,2.1739130434782608,0,1
openstack/xstatic-hogan,openstack/openstack-ansible-os_searchlight,Core,3.8461538461538463,0.0,1,1
openstack/xstatic-hogan,openstack/openstack-ansible-os_searchlight,Non core,0.0,2.7027027027027026,1,1
openstack/xstatic-hogan,openstack/xstatic-angular-vis,Core,25.0,14.285714285714285,1,1
openstack/xstatic-hogan,openstack/xstatic-angular-vis,Non core,0.0,0.0,1,1
openstack/xstatic-hogan,openstack/xstatic-font-awesome,Core,11.11111111111111,12.5,1,4
openstack/xstatic-hogan,openstack/xstatic-font-awesome,Non core,0.0,12.5,1,4
openstack/xstatic-hogan,openstack/xstatic-jasmine,Core,16.666666666666664,11.11111111111111,2,4
openstack/xstatic-hogan,openstack/xstatic-jasmine,Non core,0.0,11.11111111111111,2,4
openstack/xstatic-hogan,openstack/xstatic-angular-notify,Core,25.0,12.5,1,1
openstack/xstatic-hogan,openstack/xstatic-angular-notify,Non core,0.0,0.0,1,1
