projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/zaqar-specs,openstack/swift-bench,Core,3.7037037037037033,1.0101010101010102,2,5
openstack/zaqar-specs,openstack/swift-bench,Non core,0.0,4.040404040404041,2,5
openstack/zaqar-specs,openstack/whereto,Core,8.0,2.3529411764705883,5,4
openstack/zaqar-specs,openstack/whereto,Non core,2.0,2.3529411764705883,5,4
openstack/zaqar-specs,openstack/murano-specs,Core,6.944444444444445,0.0,8,5
openstack/zaqar-specs,openstack/murano-specs,Non core,4.166666666666666,4.032258064516129,8,5
openstack/zaqar-specs,openstack/ansible-role-tripleo-modify-image,Core,3.125,2.459016393442623,3,8
openstack/zaqar-specs,openstack/ansible-role-tripleo-modify-image,Non core,1.5625,4.098360655737705,3,8
openstack/zaqar-specs,openstack/requestsexceptions,Core,7.142857142857142,2.5316455696202533,3,5
openstack/zaqar-specs,openstack/requestsexceptions,Non core,0.0,3.79746835443038,3,5
openstack/zaqar-specs,openstack/panko,Core,7.07070707070707,4.57516339869281,11,16
openstack/zaqar-specs,openstack/panko,Non core,4.040404040404041,5.88235294117647,11,16
openstack/zaqar-specs,openstack/api-sig,Core,7.59493670886076,4.545454545454546,10,20
openstack/zaqar-specs,openstack/api-sig,Non core,5.063291139240507,3.71900826446281,10,20
openstack/zaqar-specs,openstack/openstack-chef-specs,Core,7.017543859649122,2.083333333333333,4,6
openstack/zaqar-specs,openstack/openstack-chef-specs,Non core,0.0,4.166666666666666,4,6
openstack/zaqar-specs,openstack/freezer-specs,Core,11.76470588235294,4.545454545454546,8,6
openstack/zaqar-specs,openstack/freezer-specs,Non core,3.9215686274509802,2.272727272727273,8,6
openstack/zaqar-specs,openstack/oslo.tools,Core,6.25,3.3333333333333335,6,6
openstack/zaqar-specs,openstack/oslo.tools,Non core,3.125,3.3333333333333335,6,6
openstack/zaqar-specs,openstack/microversion-parse,Core,2.1739130434782608,3.8461538461538463,1,4
openstack/zaqar-specs,openstack/microversion-parse,Non core,0.0,1.282051282051282,1,4
openstack/zaqar-specs,openstack/openstackclient,Core,8.928571428571429,3.125,6,6
openstack/zaqar-specs,openstack/openstackclient,Non core,1.7857142857142856,3.125,6,6
openstack/zaqar-specs,openstack/ossa,Core,5.454545454545454,5.042016806722689,4,9
openstack/zaqar-specs,openstack/ossa,Non core,1.8181818181818181,2.5210084033613445,4,9
openstack/zaqar-specs,openstack/reviewstats,Core,6.60377358490566,5.232558139534884,9,16
openstack/zaqar-specs,openstack/reviewstats,Non core,1.8867924528301887,4.069767441860465,9,16
openstack/zaqar-specs,openstack/oslo-cookiecutter,Core,7.547169811320755,5.555555555555555,7,9
openstack/zaqar-specs,openstack/oslo-cookiecutter,Non core,5.660377358490567,4.444444444444445,7,9
openstack/zaqar-specs,openstack/openstack-helm-deployments,Core,0.0,0.0,0,0
openstack/zaqar-specs,openstack/openstack-helm-deployments,Non core,0.0,0.0,0,0
openstack/zaqar-specs,openstack/security-analysis,Core,6.976744186046512,1.1235955056179776,3,2
openstack/zaqar-specs,openstack/security-analysis,Non core,0.0,1.1235955056179776,3,2
openstack/zaqar-specs,openstack/charm-cinder-ibm-storwize-svc,Core,0.0,0.0,0,0
openstack/zaqar-specs,openstack/charm-cinder-ibm-storwize-svc,Non core,0.0,0.0,0,0
openstack/zaqar-specs,openstack/ansible-role-tripleo-keystone,Core,4.878048780487805,0.0,3,0
openstack/zaqar-specs,openstack/ansible-role-tripleo-keystone,Non core,2.4390243902439024,0.0,3,0
openstack/zaqar-specs,openstack/openstack-ansible-apt_package_pinning,Core,7.462686567164178,0.9615384615384616,7,6
openstack/zaqar-specs,openstack/openstack-ansible-apt_package_pinning,Non core,2.9850746268656714,4.807692307692308,7,6
openstack/zaqar-specs,openstack/ansible-role-qdrouterd,Core,4.25531914893617,2.127659574468085,3,3
openstack/zaqar-specs,openstack/ansible-role-qdrouterd,Non core,2.127659574468085,1.0638297872340425,3,3
openstack/zaqar-specs,openstack/openstack-ansible-openstack_openrc,Core,6.41025641025641,0.0,7,6
openstack/zaqar-specs,openstack/openstack-ansible-openstack_openrc,Non core,2.564102564102564,5.3097345132743365,7,6
openstack/zaqar-specs,openstack/openstack-ansible-nspawn_container_create,Core,5.660377358490567,1.0752688172043012,6,6
openstack/zaqar-specs,openstack/openstack-ansible-nspawn_container_create,Non core,5.660377358490567,5.376344086021505,6,6
openstack/zaqar-specs,openstack/devstack-tools,Core,8.0,1.25,5,4
openstack/zaqar-specs,openstack/devstack-tools,Non core,2.0,3.75,5,4
openstack/zaqar-specs,openstack/coverage2sql,Core,7.142857142857142,2.5,6,7
openstack/zaqar-specs,openstack/coverage2sql,Non core,3.571428571428571,6.25,6,7
openstack/zaqar-specs,openstack/bashate,Core,6.25,2.608695652173913,7,7
openstack/zaqar-specs,openstack/bashate,Non core,2.5,3.4782608695652173,7,7
openstack/zaqar-specs,openstack/hacking,Core,4.310344827586207,3.864734299516908,9,16
openstack/zaqar-specs,openstack/hacking,Non core,3.4482758620689653,3.864734299516908,9,16
openstack/zaqar-specs,openstack/xstatic-mdi,Core,4.761904761904762,0.0,2,3
openstack/zaqar-specs,openstack/xstatic-mdi,Non core,0.0,3.9473684210526314,2,3
openstack/zaqar-specs,openstack/xstatic-roboto-fontface,Core,4.878048780487805,0.0,2,3
openstack/zaqar-specs,openstack/xstatic-roboto-fontface,Non core,0.0,3.896103896103896,2,3
openstack/zaqar-specs,openstack/openstack-chef,Core,3.3333333333333335,3.7037037037037033,3,5
openstack/zaqar-specs,openstack/openstack-chef,Non core,1.6666666666666667,2.4691358024691357,3,5
openstack/zaqar-specs,openstack/cookbook-openstackclient,Core,0.0,0.0,0,3
openstack/zaqar-specs,openstack/cookbook-openstackclient,Non core,0.0,4.0,0,3
openstack/zaqar-specs,openstack/xstatic-angular,Core,4.25531914893617,0.0,2,3
openstack/zaqar-specs,openstack/xstatic-angular,Non core,0.0,3.5294117647058822,2,3
openstack/zaqar-specs,openstack/charm-interface-hacluster,Core,1.8518518518518516,0.0,2,3
openstack/zaqar-specs,openstack/charm-interface-hacluster,Non core,1.8518518518518516,3.75,2,3
openstack/zaqar-specs,openstack/puppet-openstack-specs,Core,12.962962962962962,0.847457627118644,9,5
openstack/zaqar-specs,openstack/puppet-openstack-specs,Non core,3.7037037037037033,3.389830508474576,9,5
openstack/zaqar-specs,openstack/puppet-monasca,Core,4.615384615384616,0.7042253521126761,4,5
openstack/zaqar-specs,openstack/puppet-monasca,Non core,1.5384615384615385,2.8169014084507045,4,5
openstack/zaqar-specs,openstack/eslint-config-openstack,Core,6.0,0.9009009009009009,4,3
openstack/zaqar-specs,openstack/eslint-config-openstack,Non core,2.0,1.8018018018018018,4,3
openstack/zaqar-specs,openstack/karma-subunit-reporter,Core,5.0,1.4084507042253522,2,2
openstack/zaqar-specs,openstack/karma-subunit-reporter,Non core,0.0,1.4084507042253522,2,2
openstack/zaqar-specs,openstack/openstack-helm-docs,Core,2.272727272727273,2.247191011235955,1,3
openstack/zaqar-specs,openstack/openstack-helm-docs,Non core,0.0,1.1235955056179776,1,3
openstack/zaqar-specs,openstack/openstack-ansible-specs,Core,8.333333333333332,2.941176470588235,9,8
openstack/zaqar-specs,openstack/openstack-ansible-specs,Non core,2.380952380952381,1.7647058823529411,9,8
openstack/zaqar-specs,openstack/tempest-lib,Core,3.896103896103896,0.6535947712418301,4,5
openstack/zaqar-specs,openstack/tempest-lib,Non core,1.2987012987012987,2.6143790849673203,4,5
openstack/zaqar-specs,openstack/tripleo-ha-utils,Core,0.0,0.0,1,1
openstack/zaqar-specs,openstack/tripleo-ha-utils,Non core,2.2222222222222223,1.098901098901099,1,1
openstack/zaqar-specs,openstack/devstack-vagrant,Core,4.0,1.1494252873563218,2,4
openstack/zaqar-specs,openstack/devstack-vagrant,Non core,0.0,3.4482758620689653,2,4
openstack/zaqar-specs,openstack/goal-tools,Core,4.651162790697675,2.564102564102564,2,6
openstack/zaqar-specs,openstack/goal-tools,Non core,0.0,5.128205128205128,2,6
openstack/zaqar-specs,openstack/cookiecutter,Core,6.756756756756757,4.761904761904762,7,10
openstack/zaqar-specs,openstack/cookiecutter,Non core,2.7027027027027026,3.1746031746031744,7,10
openstack/zaqar-specs,openstack/dib-utils,Core,6.0,1.9801980198019802,3,4
openstack/zaqar-specs,openstack/dib-utils,Non core,0.0,1.9801980198019802,3,4
openstack/zaqar-specs,openstack/constellations,Core,4.878048780487805,2.564102564102564,2,4
openstack/zaqar-specs,openstack/constellations,Non core,0.0,2.564102564102564,2,4
openstack/zaqar-specs,openstack/cookbook-openstack-integration-test,Core,3.7037037037037033,2.127659574468085,2,6
openstack/zaqar-specs,openstack/cookbook-openstack-integration-test,Non core,0.0,4.25531914893617,2,6
openstack/zaqar-specs,openstack/cookbook-openstack-dashboard,Core,3.75,0.0,3,5
openstack/zaqar-specs,openstack/cookbook-openstack-dashboard,Non core,0.0,3.816793893129771,3,5
openstack/zaqar-specs,openstack/cookbook-openstack-telemetry,Core,3.79746835443038,0.0,5,5
openstack/zaqar-specs,openstack/cookbook-openstack-telemetry,Non core,2.5316455696202533,4.464285714285714,5,5
openstack/zaqar-specs,openstack/cookbook-openstack-orchestration,Core,4.225352112676056,1.7241379310344827,3,6
openstack/zaqar-specs,openstack/cookbook-openstack-orchestration,Non core,0.0,3.4482758620689653,3,6
openstack/zaqar-specs,openstack/cookbook-openstack-bare-metal,Core,4.3478260869565215,1.1904761904761905,2,4
openstack/zaqar-specs,openstack/cookbook-openstack-bare-metal,Non core,0.0,3.571428571428571,2,4
openstack/zaqar-specs,openstack/cookbook-openstack-dns,Core,0.0,0.0,0,3
openstack/zaqar-specs,openstack/cookbook-openstack-dns,Non core,0.0,4.0,0,3
openstack/zaqar-specs,openstack/cookbook-openstack-compute,Core,3.0,0.0,3,5
openstack/zaqar-specs,openstack/cookbook-openstack-compute,Non core,0.0,3.225806451612903,3,5
openstack/zaqar-specs,openstack/cookbook-openstack-network,Core,2.941176470588235,0.0,3,5
openstack/zaqar-specs,openstack/cookbook-openstack-network,Non core,0.0,3.3333333333333335,3,5
openstack/zaqar-specs,openstack/cookbook-openstack-block-storage,Core,4.25531914893617,0.7633587786259541,5,5
openstack/zaqar-specs,openstack/cookbook-openstack-block-storage,Non core,1.0638297872340425,3.0534351145038165,5,5
openstack/zaqar-specs,openstack/cookbook-openstack-image,Core,3.4482758620689653,0.0,3,4
openstack/zaqar-specs,openstack/cookbook-openstack-image,Non core,0.0,3.0534351145038165,3,4
openstack/zaqar-specs,openstack/cookbook-openstack-identity,Core,4.597701149425287,0.0,5,4
openstack/zaqar-specs,openstack/cookbook-openstack-identity,Non core,1.1494252873563218,2.9197080291970803,5,4
openstack/zaqar-specs,openstack/cookbook-openstack-ops-database,Core,4.285714285714286,0.9090909090909091,3,5
openstack/zaqar-specs,openstack/cookbook-openstack-ops-database,Non core,0.0,3.6363636363636362,3,5
openstack/zaqar-specs,openstack/cookbook-openstack-ops-messaging,Core,4.761904761904762,0.0,3,5
openstack/zaqar-specs,openstack/cookbook-openstack-ops-messaging,Non core,0.0,4.854368932038835,3,5
openstack/zaqar-specs,openstack/cookbook-openstack-common,Core,3.125,0.6578947368421052,4,6
openstack/zaqar-specs,openstack/cookbook-openstack-common,Non core,1.0416666666666665,3.289473684210526,4,6
openstack/zaqar-specs,openstack/self-healing-sig,Core,4.3478260869565215,3.3707865168539324,2,3
openstack/zaqar-specs,openstack/self-healing-sig,Non core,0.0,0.0,2,3
openstack/zaqar-specs,openstack/charm-ops-interface-tls-certificates,Core,0.0,0.0,0,0
openstack/zaqar-specs,openstack/charm-ops-interface-tls-certificates,Non core,0.0,0.0,0,0
openstack/zaqar-specs,openstack/security-specs,Core,8.333333333333332,2.1739130434782608,5,5
openstack/zaqar-specs,openstack/security-specs,Non core,2.083333333333333,3.260869565217391,5,5
openstack/zaqar-specs,openstack/openstack-ansible-os_panko,Core,5.263157894736842,1.9801980198019802,5,5
openstack/zaqar-specs,openstack/openstack-ansible-os_panko,Non core,3.508771929824561,2.9702970297029703,5,5
openstack/zaqar-specs,openstack/openstack-ansible-nspawn_hosts,Core,5.454545454545454,1.0416666666666665,5,5
openstack/zaqar-specs,openstack/openstack-ansible-nspawn_hosts,Non core,3.6363636363636362,4.166666666666666,5,5
openstack/zaqar-specs,openstack/charm-layer-openstack-principle,Core,4.878048780487805,0.0,2,0
openstack/zaqar-specs,openstack/charm-layer-openstack-principle,Non core,0.0,0.0,2,0
openstack/zaqar-specs,openstack/charm-watcher-dashboard,Core,2.5,1.3157894736842104,1,1
openstack/zaqar-specs,openstack/charm-watcher-dashboard,Non core,0.0,0.0,1,1
openstack/zaqar-specs,openstack/charm-watcher,Core,2.380952380952381,1.1764705882352942,1,1
openstack/zaqar-specs,openstack/charm-watcher,Non core,0.0,0.0,1,1
openstack/zaqar-specs,openstack/openstack-ansible-galera_client,Core,5.88235294117647,0.847457627118644,7,6
openstack/zaqar-specs,openstack/openstack-ansible-galera_client,Non core,2.3529411764705883,4.23728813559322,7,6
openstack/zaqar-specs,openstack/cloudkitty-specs,Core,6.0,2.1505376344086025,4,3
openstack/zaqar-specs,openstack/cloudkitty-specs,Non core,2.0,1.0752688172043012,4,3
openstack/zaqar-specs,openstack/osops,Core,2.380952380952381,0.0,1,0
openstack/zaqar-specs,openstack/osops,Non core,0.0,0.0,1,0
openstack/zaqar-specs,openstack/charm-mistral,Core,0.0,0.0,0,0
openstack/zaqar-specs,openstack/charm-mistral,Non core,0.0,0.0,0,0
openstack/zaqar-specs,openstack/charm-ironic,Core,5.0,1.4492753623188406,3,1
openstack/zaqar-specs,openstack/charm-ironic,Non core,2.5,0.0,3,1
openstack/zaqar-specs,openstack/ansible-role-vault,Core,0.0,0.0,0,0
openstack/zaqar-specs,openstack/ansible-role-vault,Non core,0.0,0.0,0,0
openstack/zaqar-specs,openstack/multi-arch-sig,Core,2.564102564102564,1.36986301369863,1,1
openstack/zaqar-specs,openstack/multi-arch-sig,Non core,0.0,0.0,1,1
openstack/zaqar-specs,openstack/charm-nova-compute-proxy,Core,2.1739130434782608,0.0,3,1
openstack/zaqar-specs,openstack/charm-nova-compute-proxy,Non core,4.3478260869565215,1.282051282051282,3,1
openstack/zaqar-specs,openstack/charm-odl-controller,Core,2.083333333333333,0.0,2,1
openstack/zaqar-specs,openstack/charm-odl-controller,Non core,2.083333333333333,1.3157894736842104,2,1
openstack/zaqar-specs,openstack/charm-nova-lxd,Core,3.7037037037037033,1.1235955056179776,4,2
openstack/zaqar-specs,openstack/charm-nova-lxd,Non core,3.7037037037037033,1.1235955056179776,4,2
openstack/zaqar-specs,openstack/charm-interface-nova-cell,Core,0.0,0.0,0,0
openstack/zaqar-specs,openstack/charm-interface-nova-cell,Non core,0.0,0.0,0,0
openstack/zaqar-specs,openstack/charm-interface-magpie,Core,0.0,0.0,0,0
openstack/zaqar-specs,openstack/charm-interface-magpie,Non core,0.0,0.0,0,0
openstack/zaqar-specs,openstack/xstatic-lodash,Core,0.0,0.0,0,0
openstack/zaqar-specs,openstack/xstatic-lodash,Non core,0.0,0.0,0,0
openstack/zaqar-specs,openstack/xstatic-moment,Core,0.0,0.0,0,0
openstack/zaqar-specs,openstack/xstatic-moment,Non core,0.0,0.0,0,0
openstack/zaqar-specs,openstack/charm-interface-barbican-secrets,Core,0.0,0.0,0,2
openstack/zaqar-specs,openstack/charm-interface-barbican-secrets,Non core,0.0,2.7777777777777777,0,2
openstack/zaqar-specs,openstack/charm-interface-mysql-innodb-cluster,Core,0.0,0.0,0,0
openstack/zaqar-specs,openstack/charm-interface-mysql-innodb-cluster,Non core,0.0,0.0,0,0
openstack/zaqar-specs,openstack/charm-interface-ceph-rbd-mirror,Core,0.0,0.0,0,2
openstack/zaqar-specs,openstack/charm-interface-ceph-rbd-mirror,Non core,0.0,2.73972602739726,0,2
openstack/zaqar-specs,openstack/charm-interface-placement,Core,0.0,0.0,0,0
openstack/zaqar-specs,openstack/charm-interface-placement,Non core,0.0,0.0,0,0
openstack/zaqar-specs,openstack/charm-interface-mysql-shared,Core,4.545454545454546,0.0,2,1
openstack/zaqar-specs,openstack/charm-interface-mysql-shared,Non core,0.0,1.3513513513513513,2,1
openstack/zaqar-specs,openstack/charm-interface-dashboard-plugin,Core,0.0,0.0,0,2
openstack/zaqar-specs,openstack/charm-interface-dashboard-plugin,Non core,0.0,2.7777777777777777,0,2
openstack/zaqar-specs,openstack/charm-interface-neutron-load-balancer,Core,0.0,0.0,0,2
openstack/zaqar-specs,openstack/charm-interface-neutron-load-balancer,Non core,0.0,2.7777777777777777,0,2
openstack/zaqar-specs,openstack/charm-interface-neutron-plugin-api-subordinate,Core,4.444444444444445,1.3333333333333335,2,1
openstack/zaqar-specs,openstack/charm-interface-neutron-plugin-api-subordinate,Non core,0.0,0.0,2,1
openstack/zaqar-specs,openstack/charm-interface-neutron-plugin,Core,4.761904761904762,0.0,2,1
openstack/zaqar-specs,openstack/charm-interface-neutron-plugin,Non core,0.0,1.36986301369863,2,1
openstack/zaqar-specs,openstack/xstatic-json2yaml,Core,2.631578947368421,0.0,1,0
openstack/zaqar-specs,openstack/xstatic-json2yaml,Non core,0.0,0.0,1,0
openstack/zaqar-specs,openstack/xstatic-jquery.tablesorter,Core,2.564102564102564,0.0,1,1
openstack/zaqar-specs,openstack/xstatic-jquery.tablesorter,Non core,0.0,1.4084507042253522,1,1
openstack/zaqar-specs,openstack/xstatic-magic-search,Core,4.651162790697675,0.0,2,3
openstack/zaqar-specs,openstack/xstatic-magic-search,Non core,0.0,3.79746835443038,2,3
openstack/zaqar-specs,openstack/xstatic-jsencrypt,Core,4.878048780487805,0.0,2,3
openstack/zaqar-specs,openstack/xstatic-jsencrypt,Non core,0.0,3.79746835443038,2,3
openstack/zaqar-specs,openstack/xstatic-js-yaml,Core,2.564102564102564,0.0,1,0
openstack/zaqar-specs,openstack/xstatic-js-yaml,Non core,0.0,0.0,1,0
openstack/zaqar-specs,openstack/xstatic-spin,Core,2.564102564102564,0.0,1,1
openstack/zaqar-specs,openstack/xstatic-spin,Non core,0.0,1.4084507042253522,1,1
openstack/zaqar-specs,openstack/xstatic-rickshaw,Core,4.761904761904762,0.0,2,3
openstack/zaqar-specs,openstack/xstatic-rickshaw,Non core,0.0,3.9473684210526314,2,3
openstack/zaqar-specs,openstack/charm-panko,Core,2.380952380952381,1.2987012987012987,1,2
openstack/zaqar-specs,openstack/charm-panko,Non core,0.0,1.2987012987012987,1,2
openstack/zaqar-specs,openstack/charm-interface-service-control,Core,0.0,0.0,0,2
openstack/zaqar-specs,openstack/charm-interface-service-control,Non core,0.0,2.7027027027027026,0,2
openstack/zaqar-specs,openstack/openstack-ansible-os_almanach,Core,5.263157894736842,2.127659574468085,6,6
openstack/zaqar-specs,openstack/openstack-ansible-os_almanach,Non core,5.263157894736842,4.25531914893617,6,6
openstack/zaqar-specs,openstack/openstack-ansible-pip_install,Core,5.0,0.7575757575757576,6,6
openstack/zaqar-specs,openstack/openstack-ansible-pip_install,Non core,2.5,3.787878787878788,6,6
openstack/zaqar-specs,openstack/python-karborclient,Core,4.761904761904762,2.4193548387096775,6,7
openstack/zaqar-specs,openstack/python-karborclient,Non core,2.380952380952381,3.225806451612903,6,7
openstack/zaqar-specs,openstack/charm-interface-keystone-admin,Core,7.6923076923076925,0.0,3,1
openstack/zaqar-specs,openstack/charm-interface-keystone-admin,Non core,0.0,1.4084507042253522,3,1
openstack/zaqar-specs,openstack/charm-interface-nova-compute,Core,2.2222222222222223,0.0,1,2
openstack/zaqar-specs,openstack/charm-interface-nova-compute,Non core,0.0,2.631578947368421,1,2
openstack/zaqar-specs,openstack/charm-interface-manila-plugin,Core,4.878048780487805,0.0,2,1
openstack/zaqar-specs,openstack/charm-interface-manila-plugin,Non core,0.0,1.36986301369863,2,1
openstack/zaqar-specs,openstack/murano-apps,Core,4.705882352941177,1.5037593984962405,5,5
openstack/zaqar-specs,openstack/murano-apps,Non core,1.1764705882352942,2.2556390977443606,5,5
openstack/zaqar-specs,openstack/puppet-senlin,Core,6.25,0.0,5,3
openstack/zaqar-specs,openstack/puppet-senlin,Non core,4.166666666666666,3.6585365853658534,5,3
openstack/zaqar-specs,openstack/cookbook-openstack-application-catalog,Core,0.0,0.0,1,2
openstack/zaqar-specs,openstack/cookbook-openstack-application-catalog,Non core,2.380952380952381,2.73972602739726,1,2
openstack/zaqar-specs,openstack/training-labs,Core,7.352941176470589,1.8867924528301887,7,6
openstack/zaqar-specs,openstack/training-labs,Non core,2.941176470588235,3.7735849056603774,7,6
openstack/zaqar-specs,openstack/karbor,Core,4.25531914893617,3.2407407407407405,10,15
openstack/zaqar-specs,openstack/karbor,Non core,2.8368794326241136,3.7037037037037033,10,15
openstack/zaqar-specs,openstack/devstack-plugin-open-cas,Core,2.564102564102564,0.0,1,0
openstack/zaqar-specs,openstack/devstack-plugin-open-cas,Non core,0.0,0.0,1,0
openstack/zaqar-specs,openstack/openstack-ansible-os_congress,Core,5.172413793103448,1.8867924528301887,5,5
openstack/zaqar-specs,openstack/openstack-ansible-os_congress,Non core,3.4482758620689653,2.8301886792452833,5,5
openstack/zaqar-specs,openstack/charm-ops-interface-ceph-client,Core,0.0,0.0,0,0
openstack/zaqar-specs,openstack/charm-ops-interface-ceph-client,Non core,0.0,0.0,0,0
openstack/zaqar-specs,openstack/charm-interface-keystone-notifications,Core,0.0,0.0,0,0
openstack/zaqar-specs,openstack/charm-interface-keystone-notifications,Non core,0.0,0.0,0,0
openstack/zaqar-specs,openstack/os-collect-config,Core,9.876543209876543,5.921052631578947,10,19
openstack/zaqar-specs,openstack/os-collect-config,Non core,2.4691358024691357,6.578947368421052,10,19
openstack/zaqar-specs,openstack/os-apply-config,Core,8.641975308641975,4.054054054054054,9,15
openstack/zaqar-specs,openstack/os-apply-config,Non core,2.4691358024691357,6.081081081081082,9,15
openstack/zaqar-specs,openstack/puppet-freezer,Core,5.172413793103448,1.1111111111111112,4,4
openstack/zaqar-specs,openstack/puppet-freezer,Non core,1.7241379310344827,3.3333333333333335,4,4
openstack/zaqar-specs,openstack/vitrage-specs,Core,5.970149253731343,0.9090909090909091,8,8
openstack/zaqar-specs,openstack/vitrage-specs,Non core,5.970149253731343,6.363636363636363,8,8
openstack/zaqar-specs,openstack/specs-cookiecutter,Core,9.523809523809524,2.5316455696202533,4,3
openstack/zaqar-specs,openstack/specs-cookiecutter,Non core,0.0,1.2658227848101267,4,3
openstack/zaqar-specs,openstack/rpm-packaging-tools,Core,6.666666666666667,3.488372093023256,4,7
openstack/zaqar-specs,openstack/rpm-packaging-tools,Non core,2.2222222222222223,4.651162790697675,4,7
openstack/zaqar-specs,openstack/ansible-role-openstack-operations,Core,4.0,2.4096385542168677,3,2
openstack/zaqar-specs,openstack/ansible-role-openstack-operations,Non core,2.0,0.0,3,2
openstack/zaqar-specs,openstack/os-refresh-config,Core,8.823529411764707,3.076923076923077,8,12
openstack/zaqar-specs,openstack/os-refresh-config,Non core,2.941176470588235,6.153846153846154,8,12
openstack/zaqar-specs,openstack/mistral-specs,Core,8.333333333333332,2.0,6,6
openstack/zaqar-specs,openstack/mistral-specs,Non core,1.6666666666666667,4.0,6,6
