projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/zun,openstack/charm-openstack-loadbalancer,Core,0.0,0.0,1,0
openstack/zun,openstack/charm-openstack-loadbalancer,Non core,0.6993006993006993,0.0,1,0
openstack/zun,openstack/ansible-role-python_venv_build,Core,2.515723270440252,1.3043478260869565,7,5
openstack/zun,openstack/ansible-role-python_venv_build,Non core,1.8867924528301887,0.8695652173913043,7,5
openstack/zun,openstack/mistral-dashboard,Core,3.804347826086957,2.7450980392156863,14,19
openstack/zun,openstack/mistral-dashboard,Non core,3.804347826086957,4.705882352941177,14,19
openstack/zun,openstack/mistral-lib,Core,4.2682926829268295,2.643171806167401,14,21
openstack/zun,openstack/mistral-lib,Non core,4.2682926829268295,6.607929515418502,14,21
openstack/zun,openstack/monasca-events-api,Core,4.794520547945205,1.834862385321101,14,9
openstack/zun,openstack/monasca-events-api,Non core,4.794520547945205,2.293577981651376,14,9
openstack/zun,openstack/python-zaqarclient,Core,4.784688995215311,5.755395683453238,20,32
openstack/zun,openstack/python-zaqarclient,Non core,4.784688995215311,5.755395683453238,20,32
openstack/zun,openstack/monasca-api,Core,3.5999999999999996,3.3802816901408446,18,30
openstack/zun,openstack/monasca-api,Non core,3.5999999999999996,5.070422535211268,18,30
openstack/zun,openstack/monasca-persister,Core,4.18848167539267,3.2490974729241873,17,26
openstack/zun,openstack/monasca-persister,Non core,4.712041884816754,6.137184115523466,17,26
openstack/zun,openstack/monasca-notification,Core,4.639175257731959,3.64963503649635,17,19
openstack/zun,openstack/monasca-notification,Non core,4.123711340206185,3.2846715328467155,17,19
openstack/zun,openstack/python-saharaclient,Core,4.166666666666666,2.6936026936026933,15,20
openstack/zun,openstack/python-saharaclient,Non core,2.7777777777777777,4.040404040404041,15,20
openstack/zun,openstack/charm-magpie,Core,0.0,0.0,1,0
openstack/zun,openstack/charm-magpie,Non core,0.6666666666666667,0.0,1,0
openstack/zun,openstack/openstack-ansible-os_placement,Core,1.9736842105263157,0.9259259259259258,7,5
openstack/zun,openstack/openstack-ansible-os_placement,Non core,2.631578947368421,1.3888888888888888,7,5
openstack/zun,openstack/openstackdocstheme,Core,2.564102564102564,4.98220640569395,11,19
openstack/zun,openstack/openstackdocstheme,Non core,3.076923076923077,1.7793594306049825,11,19
openstack/zun,openstack/sahara,Core,4.56989247311828,3.515625,35,44
openstack/zun,openstack/sahara,Non core,4.838709677419355,5.078125,35,44
openstack/zun,openstack/ironic-ui,Core,5.649717514124294,2.34375,20,17
openstack/zun,openstack/ironic-ui,Non core,5.649717514124294,4.296875,20,17
openstack/zun,openstack/oslo.serialization,Core,4.27807486631016,4.580152671755725,18,27
openstack/zun,openstack/oslo.serialization,Non core,5.347593582887701,5.7251908396946565,18,27
openstack/zun,openstack/oslo.context,Core,5.084745762711865,3.7593984962406015,18,26
openstack/zun,openstack/oslo.context,Non core,5.084745762711865,6.015037593984962,18,26
openstack/zun,openstack/oslo.limit,Core,3.8461538461538463,4.054054054054054,16,17
openstack/zun,openstack/oslo.limit,Non core,6.41025641025641,3.6036036036036037,16,17
openstack/zun,openstack/oslo.middleware,Core,4.455445544554455,4.498269896193772,18,26
openstack/zun,openstack/oslo.middleware,Non core,4.455445544554455,4.498269896193772,18,26
openstack/zun,openstack/oslo.reports,Core,4.191616766467066,4.0650406504065035,15,26
openstack/zun,openstack/oslo.reports,Non core,4.790419161676647,6.504065040650407,15,26
openstack/zun,openstack/futurist,Core,4.733727810650888,2.9535864978902953,13,17
openstack/zun,openstack/futurist,Non core,2.9585798816568047,4.219409282700422,13,17
openstack/zun,openstack/oslo.i18n,Core,4.395604395604396,4.545454545454546,17,29
openstack/zun,openstack/oslo.i18n,Non core,4.945054945054945,6.4393939393939394,17,29
openstack/zun,openstack/sushy-oem-idrac,Core,0.0,0.46728971962616817,0,2
openstack/zun,openstack/sushy-oem-idrac,Non core,0.0,0.46728971962616817,0,2
openstack/zun,openstack/python-dracclient,Core,1.1764705882352942,1.6326530612244898,7,15
openstack/zun,openstack/python-dracclient,Non core,2.941176470588235,4.489795918367347,7,15
openstack/zun,openstack/openstack-ansible-os_adjutant,Core,0.6944444444444444,0.0,1,0
openstack/zun,openstack/openstack-ansible-os_adjutant,Non core,0.0,0.0,1,0
openstack/zun,openstack/openstack-ansible-os_masakari,Core,3.821656050955414,1.7467248908296942,14,14
openstack/zun,openstack/openstack-ansible-os_masakari,Non core,5.095541401273886,4.366812227074235,14,14
openstack/zun,openstack/ansible-role-systemd_mount,Core,2.666666666666667,0.9345794392523363,8,4
openstack/zun,openstack/ansible-role-systemd_mount,Non core,2.666666666666667,0.9345794392523363,8,4
openstack/zun,openstack/python-senlinclient,Core,7.000000000000001,6.324110671936759,30,45
openstack/zun,openstack/python-senlinclient,Non core,8.0,11.462450592885375,30,45
openstack/zun,openstack/senlin-dashboard,Core,5.142857142857142,8.333333333333332,20,43
openstack/zun,openstack/senlin-dashboard,Non core,6.2857142857142865,9.583333333333334,20,43
openstack/zun,openstack/networking-generic-switch,Core,4.25531914893617,2.7559055118110236,14,17
openstack/zun,openstack/networking-generic-switch,Non core,3.1914893617021276,3.937007874015748,14,17
openstack/zun,openstack/sahara-image-elements,Core,3.5532994923857872,1.4981273408239701,8,10
openstack/zun,openstack/sahara-image-elements,Non core,0.5076142131979695,2.247191011235955,8,10
openstack/zun,openstack/ansible-role-thales-hsm,Core,0.7042253521126761,0.0,1,1
openstack/zun,openstack/ansible-role-thales-hsm,Non core,0.0,0.4830917874396135,1,1
openstack/zun,openstack/ansible-role-atos-hsm,Core,0.0,0.9852216748768473,0,3
openstack/zun,openstack/ansible-role-atos-hsm,Non core,0.0,0.49261083743842365,0,3
openstack/zun,openstack/adjutant-ui,Core,2.7777777777777777,2.9702970297029703,6,9
openstack/zun,openstack/adjutant-ui,Non core,1.3888888888888888,1.4851485148514851,6,9
openstack/zun,openstack/sahara-extra,Core,2.9069767441860463,2.5316455696202533,8,12
