reviewer,projects_nbr,rev_status
1,138,Core
2,162,Core
3,1019,Non core
4,81,Core
5,9,Non core
6,20,Non core
7,95,Non core
8,3,Non core
15,1,Non core
24,112,Non core
25,10,Non core
26,18,Non core
31,2,Non core
34,4,Non core
53,3,Non core
55,14,Core
67,30,Non core
73,3,Non core
85,2,Non core
88,4,Non core
91,16,Non core
97,10,Non core
99,1,Non core
100,13,Non core
105,59,Core
107,7,Core
112,17,Non core
113,4,Non core
114,7,Non core
124,4,Non core
126,6,Non core
128,24,Core
136,50,Core
141,3,Non core
143,3,Non core
144,11,Non core
152,1,Non core
154,2,Non core
156,13,Core
159,18,Non core
161,15,Non core
162,15,Non core
167,107,Core
170,55,Non core
177,28,Non core
180,1,Non core
186,2,Non core
189,1,Non core
191,10,Non core
198,1,Non core
209,9,Non core
215,13,Non core
216,19,Non core
217,6,Non core
220,26,Non core
221,1,Non core
230,2,Non core
233,4,Non core
236,21,Non core
261,38,Non core
271,5,Non core
277,1,Non core
287,20,Core
290,18,Non core
303,1,Non core
308,123,Core
321,15,Non core
330,38,Core
333,32,Core
335,5,Non core
351,2,Non core
356,4,Non core
357,9,Non core
358,3,Non core
360,116,Core
362,1,Non core
385,13,Core
395,21,Non core
396,4,Non core
406,21,Non core
425,31,Non core
428,8,Non core
436,1,Non core
438,2,Non core
447,14,Non core
449,3,Non core
452,4,Non core
455,33,Non core
475,15,Non core
490,20,Non core
494,7,Non core
512,1,Non core
518,11,Non core
519,1,Non core
532,11,Non core
537,2,Non core
538,73,Core
543,9,Non core
551,2,Non core
564,1,Non core
581,7,Non core
588,1,Non core
589,3,Non core
595,18,Non core
597,30,Core
612,62,Core
616,25,Non core
631,4,Non core
642,16,Non core
659,9,Non core
668,28,Core
669,1,Non core
679,15,Core
681,14,Core
688,22,Non core
693,9,Non core
694,11,Non core
704,34,Core
706,13,Non core
708,34,Core
736,2,Non core
739,19,Non core
740,1,Non core
741,37,Non core
745,2,Non core
748,71,Non core
752,10,Non core
780,2,Non core
782,60,Core
792,30,Non core
794,3,Non core
819,19,Non core
829,1,Non core
838,6,Non core
841,193,Core
842,3,Non core
845,2,Non core
849,1,Non core
860,17,Non core
864,4,Non core
866,42,Core
882,3,Non core
894,7,Non core
904,8,Non core
905,1,Non core
917,7,Non core
927,4,Non core
931,3,Non core
935,173,Non core
941,2,Non core
951,8,Non core
961,2,Non core
964,77,Core
965,1,Non core
970,59,Core
971,4,Non core
979,69,Non core
986,16,Core
994,10,Non core
995,5,Non core
998,2,Non core
1004,189,Core
1005,5,Non core
1007,12,Non core
1009,3,Non core
1011,29,Core
1026,4,Non core
1028,2,Non core
1030,21,Non core
1032,30,Non core
1037,1,Non core
1038,6,Non core
1043,11,Non core
1049,3,Non core
1053,2,Non core
1054,7,Non core
1057,1,Non core
1063,41,Core
1073,1,Non core
1075,3,Non core
1082,8,Non core
1091,29,Non core
1106,23,Core
1107,13,Core
1112,20,Non core
1119,10,Non core
1127,1,Non core
1131,74,Core
1132,23,Non core
1136,1,Non core
1137,1,Non core
1148,2,Non core
1155,11,Non core
1160,1,Non core
1175,7,Non core
1176,1,Non core
1177,5,Non core
1179,27,Core
1184,3,Non core
1188,1,Non core
1192,17,Non core
1205,9,Non core
1206,7,Non core
1207,35,Non core
1215,10,Non core
1216,2,Non core
1226,1,Non core
1228,7,Non core
1247,53,Non core
1253,4,Non core
1257,1,Non core
1267,14,Non core
1269,6,Non core
1271,2,Non core
1297,95,Core
1298,16,Non core
1313,31,Non core
1315,5,Non core
1322,2,Non core
1330,2,Non core
1333,6,Non core
1343,4,Non core
1375,13,Core
1387,3,Non core
1390,24,Non core
1394,1,Non core
1395,3,Non core
1397,1,Non core
1407,1,Non core
1419,4,Non core
1420,53,Non core
1422,1,Non core
1441,11,Non core
1446,13,Non core
1452,1,Non core
1456,7,Non core
1464,8,Core
1468,2,Non core
1475,11,Non core
1501,16,Non core
1523,8,Non core
1525,8,Non core
1528,19,Core
1531,29,Core
1534,5,Non core
1549,1,Non core
1555,1,Non core
1561,80,Core
1580,8,Non core
1586,3,Non core
1603,2,Non core
1605,9,Non core
1607,56,Non core
1610,1,Non core
1613,4,Non core
