teamA,teamB,intersection
adjutant,barbican,0.0
adjutant,blazar,0.0
adjutant,cinder,0.0
adjutant,cloudkitty,0.0
adjutant,cyborg,0.0
adjutant,designate,0.0
adjutant,documentation,0.0
adjutant,ecapi,0.0
adjutant,freezer,0.0
adjutant,glance,0.0
adjutant,heat,0.0
adjutant,horizon,0.0
adjutant,ironic,0.0
adjutant,keystone,0.0
adjutant,kolla,0.0
adjutant,kuryr,0.0
adjutant,magnum,0.0
adjutant,manila,0.0
adjutant,masakari,0.0
adjutant,mistral,0.0
adjutant,monasca,0.0
adjutant,murano,0.0
adjutant,neutron,0.0
adjutant,nova,0.0
adjutant,octavia,0.0
adjutant,openstackansible,0.0
adjutant,openstacksdk,0.0
adjutant,oslo,0.0
adjutant,puppetopenstack,0.0
adjutant,qualityassurance,0.0
adjutant,rally,0.0
adjutant,releasemanagement,0.0
adjutant,requirements,0.0
adjutant,sahara,0.0
adjutant,senlin,0.0
adjutant,skyline,0.0
adjutant,solum,0.0
adjutant,storlets,0.0
adjutant,swift,0.0
adjutant,tacker,0.0
adjutant,telemetry,0.0
adjutant,tripleo,0.0
adjutant,trove,0.0
adjutant,venus,0.0
adjutant,vitrage,0.0
adjutant,watcher,0.0
adjutant,winstackers,0.0
adjutant,zaqar,0.0
adjutant,zun,0.0
adjutant,openstackcharms,0.0
adjutant,openstackchef,0.0
adjutant,openstackhelm,0.0
barbican,blazar,0.0
barbican,cinder,0.0
barbican,cloudkitty,0.0
barbican,cyborg,0.0
barbican,designate,0.0
barbican,documentation,0.0
barbican,ecapi,0.0
barbican,freezer,0.0
barbican,glance,0.0
barbican,heat,0.0
barbican,horizon,0.0
barbican,ironic,0.0
barbican,keystone,0.0
barbican,kolla,0.0
barbican,kuryr,0.0
barbican,magnum,0.0
barbican,manila,0.0
barbican,masakari,0.0
barbican,mistral,0.0
barbican,monasca,0.0
barbican,murano,0.0
barbican,neutron,0.0
barbican,nova,0.0
barbican,octavia,0.0
barbican,openstackansible,0.0
barbican,openstacksdk,0.0
barbican,oslo,0.0
barbican,puppetopenstack,0.0
barbican,qualityassurance,0.0
barbican,rally,0.0
barbican,releasemanagement,0.0
barbican,requirements,0.0
barbican,sahara,0.0
barbican,senlin,0.0
barbican,skyline,0.0
barbican,solum,0.0
barbican,storlets,0.0
barbican,swift,0.0
barbican,tacker,0.0
barbican,telemetry,0.0
