Path,length,service_length
"['openstack/tempest', 'openstack/nova', 'openstack/neutron', 'openstack/tempest']",3,3
"['openstack/kolla-ansible', 'openstack/kolla-ansible', 'openstack/ansible-collection-kolla', 'openstack/kolla-ansible', 'openstack/kolla-ansible', 'openstack/kolla-ansible', 'openstack/kolla-ansible', 'openstack/kolla-ansible', 'openstack/kolla', 'openstack/kolla-ansible', 'openstack/kolla-ansible', 'openstack/kolla-ansible', 'openstack/kolla-ansible', 'openstack/kolla-ansible', 'openstack/kolla-ansible', 'openstack/tenks', 'openstack/kolla-ansible']",4,2
"['openstack/barbican', 'openstack/devstack']",2,2
"['openstack/nova', 'openstack/python-tackerclient', 'openstack/tacker-horizon', 'openstack/tacker', 'openstack/manila', 'openstack/tempest', 'openstack/devstack', 'openstack/devstack-plugin-ceph', 'openstack/openstack-zuul-jobs', 'openstack/cinder', 'openstack/swift', 'openstack/glance', 'openstack/os-brick', 'openstack/placement', 'openstack/nova', 'openstack/os-resource-classes', 'openstack/blazar', 'openstack/neutron', 'openstack/horizon', 'openstack/tacker-specs', 'openstack/octavia-tempest-plugin', 'openstack/mistral', 'openstack/neutron', 'openstack/kuryr', 'openstack/freezer', 'openstack/designate', 'openstack/magnum', 'openstack/masakari', 'openstack/masakari-monitors', 'openstack/murano', 'openstack/adjutant', 'openstack/keystone', 'openstack/kuryr-libnetwork', 'openstack/freezer-api', 'openstack/cloudkitty', 'openstack/cyborg', 'openstack/barbican', 'openstack/devstack', 'openstack/rally-openstack', 'openstack/octavia', 'openstack/heat-translator', 'openstack/tosca-parser', 'openstack/neutron-tempest-plugin', 'openstack/swift']",40,28
"['openstack/neutron', 'openstack/tempest', 'openstack/nova', 'openstack/requirements', 'openstack/neutron', 'openstack/neutron-tempest-plugin', 'openstack/neutron', 'openstack/neutron', 'openstack/neutron', 'openstack/neutron', 'openstack/neutron']",5,4
"['openstack/octavia', 'openstack/python-barbicanclient', 'openstack/castellan', 'openstack/castellan']",3,3
"['openstack/tripleo-heat-templates', 'openstack/puppet-ovn', 'openstack/tripleo-heat-templates', 'openstack/tripleo-heat-templates', 'openstack/puppet-ovn', 'openstack/puppet-ovn', 'openstack/tripleo-heat-templates', 'openstack/puppet-ovn']",2,2
"['openstack/devstack', 'openstack/glance', 'openstack/glance', 'openstack/glance-tempest-plugin', 'openstack/glance-tempest-plugin', 'openstack/glance', 'openstack/glance', 'openstack/glance', 'openstack/glance', 'openstack/glance', 'openstack/glance', 'openstack/glance', 'openstack/devstack', 'openstack/glance-tempest-plugin']",3,2
"['openstack/puppet-nova', 'openstack/tripleo-heat-templates']",2,2
"['openstack/openstack-zuul-jobs', 'openstack/governance']",2,2
