year,count,type
2011,19,Modified
2012,44,Modified
2013,137,Modified
2014,264,Modified
2015,416,Modified
2016,907,Modified
2017,847,Modified
2018,756,Modified
2019,755,Modified
2020,692,Modified
2021,638,Modified
2022,584,Modified
2011,0,Non modified
2012,0,Non modified
2013,4,Non modified
2014,5,Non modified
2015,14,Non modified
2016,29,Non modified
2017,199,Non modified
2018,413,Non modified
2019,458,Non modified
2020,71,Non modified
2021,121,Non modified
2022,185,Non modified
2011,0,Archived
2012,0,Archived
2013,0,Archived
2014,0,Archived
2015,0,Archived
2016,0,Archived
2017,0,Archived
2018,0,Archived
2019,601,Archived
2020,511,Archived
2021,25,Archived
2022,7,Archived
