Duration,Reviewer_sharing,Project_type
669.47,At least one,Source
335.88,At least one,Source
995.17,At least one,Source
897.52,At least one,Source
166.64,At least one,Source
101.02,At least one,Source
66.74,At least one,Source
44.17,At least one,Source
450.3,At least one,Source
6507.42,At least one,Source
1008.31,At least one,Source
5654.8,At least one,Source
128.78,At least one,Source
47.77,At least one,Source
1277.12,At least one,Source
213.61,At least one,Source
2.28,At least one,Source
3795.33,At least one,Source
1531.48,At least one,Source
567.25,At least one,Source
678.21,At least one,Source
144.52,At least one,Source
18.47,At least one,Source
479.62,At least one,Source
18.47,At least one,Source
18.47,At least one,Source
3624.48,At least one,Source
3624.48,At least one,Source
3624.48,At least one,Source
4194.19,At least one,Source
187.34,At least one,Source
74.92,At least one,Source
8.81,At least one,Source
70.95,At least one,Source
567.25,At least one,Source
761.2,At least one,Source
548.02,At least one,Source
116.08,At least one,Source
18.47,At least one,Source
18.47,At least one,Source
3807.89,At least one,Source
470.14,At least one,Source
0.34,At least one,Source
2403.45,At least one,Source
4.02,At least one,Source
1660.2,At least one,Source
14.13,At least one,Source
1660.2,At least one,Source
1.82,At least one,Source
17.36,At least one,Source
18.47,At least one,Source
1369.07,At least one,Source
5.84,At least one,Source
25.73,At least one,Source
25.73,At least one,Source
113.39,At least one,Source
135.79,At least one,Source
28785.31,At least one,Source
26.96,At least one,Source
688.88,At least one,Source
4.39,At least one,Source
2658.21,At least one,Source
4.39,At least one,Source
4.39,At least one,Source
4.39,At least one,Source
4.39,At least one,Source
0.67,At least one,Source
287.84,At least one,Source
588.92,At least one,Source
169.57,At least one,Source
4.39,At least one,Source
4.39,At least one,Source
7.28,At least one,Source
688.88,At least one,Source
567.25,At least one,Source
761.2,At least one,Source
22.07,At least one,Source
111.39,At least one,Source
17.79,At least one,Source
66.31,At least one,Source
206.29,At least one,Source
1871.71,At least one,Source
192.39,At least one,Source
145.04,At least one,Source
142.74,At least one,Source
20.5,At least one,Source
55.72,At least one,Source
1198.69,At least one,Source
141.18,At least one,Source
2.69,At least one,Source
143.34,At least one,Source
55.09,At least one,Source
114.68,At least one,Source
235.59,At least one,Source
241.07,At least one,Source
2015.78,At least one,Source
32.07,At least one,Source
671.83,At least one,Source
567.25,At least one,Source
678.21,At least one,Source
2150.83,At least one,Source
567.25,At least one,Source
761.2,At least one,Source
141.18,At least one,Source
18.47,At least one,Source
79.57,At least one,Source
237.21,At least one,Source
29.07,At least one,Source
29.07,At least one,Source
29.07,At least one,Source
801.22,At least one,Source
494.77,At least one,Source
238.21,At least one,Source
314.08,At least one,Source
145.77,At least one,Source
29.52,At least one,Source
108.56,At least one,Source
235.59,At least one,Source
673.51,At least one,Source
673.51,At least one,Source
673.51,At least one,Source
673.51,At least one,Source
673.51,At least one,Source
673.51,At least one,Source
673.51,At least one,Source
1031.02,At least one,Source
200.03,At least one,Source
8.61,At least one,Source
3716.6,At least one,Source
246.44,At least one,Source
426.2,At least one,Source
23.61,At least one,Source
621.26,At least one,Source
19.65,At least one,Source
310.94,At least one,Source
3336.18,At least one,Source
3519.86,At least one,Source
52.65,At least one,Source
52.65,At least one,Source
52.65,At least one,Source
52.65,At least one,Source
52.65,At least one,Source
52.65,At least one,Source
52.65,At least one,Source
454.53,At least one,Source
220.95,At least one,Source
113.02,At least one,Source
68.61,At least one,Source
1414.32,At least one,Source
5161.65,At least one,Source
335.27,At least one,Source
195.77,At least one,Source
195.77,At least one,Source
195.77,At least one,Source
195.77,At least one,Source
195.77,At least one,Source
195.77,At least one,Source
195.77,At least one,Source
131.59,At least one,Source
354.19,At least one,Source
306.27,At least one,Source
4524.7,At least one,Source
2983.08,At least one,Source
4873.54,At least one,Source
3.29,At least one,Source
28785.31,At least one,Source
1361.69,At least one,Source
1181.75,At least one,Source
20.65,At least one,Source
3651.89,At least one,Source
9134.2,At least one,Source
2702.43,At least one,Source
1487.46,At least one,Source
28.71,At least one,Source
801.22,At least one,Source
188.17,At least one,Source
4069.06,At least one,Source
525.81,At least one,Source
169.54,At least one,Source
6401.0,At least one,Source
12008.14,At least one,Source
9.12,At least one,Source
9.12,At least one,Source
35.89,At least one,Source
80.35,At least one,Source
18.09,At least one,Source
126.54,At least one,Source
310.3,At least one,Source
960.63,At least one,Source
2770.25,At least one,Source
3472.74,At least one,Source
2257.37,At least one,Source
35.89,At least one,Source
80.35,At least one,Source
386.41,At least one,Source
1270.41,At least one,Source
195.32,At least one,Source
218.08,At least one,Source
221.38,At least one,Source
68.82,At least one,Source
239.08,At least one,Source
