projectA,projectB,Devs_intersect,Revs_intersect
openstack/neutron,openstack/tempest,57.14285714285714,20.85308056872038
openstack/neutron,openstack/neutron-tempest-plugin,76.19047619047619,29.45205479452055
openstack/neutron,openstack/tripleo-heat-templates,60.0,28.57142857142857
openstack/neutron,openstack/nova,56.41025641025641,20.87912087912088
openstack/neutron,openstack/cinder,100.0,7.6923076923076925
openstack/neutron,openstack/manila,33.33333333333333,7.6923076923076925
openstack/neutron,openstack/kolla-ansible,50.0,0.0
openstack/neutron,openstack/devstack,70.37037037037037,28.8135593220339
openstack/neutron,openstack/tripleo-ci,75.0,18.181818181818183
openstack/neutron,openstack/openstack-zuul-jobs,44.44444444444444,14.705882352941178
openstack/neutron,openstack/tripleo-quickstart-extras,50.0,16.666666666666664
openstack/neutron,openstack/openstacksdk,64.70588235294117,18.571428571428573
openstack/neutron,openstack/python-openstackclient,64.28571428571429,20.588235294117645
openstack/neutron,openstack/designate,100.0,0.0
openstack/neutron,openstack/octavia,28.57142857142857,21.875
openstack/neutron,openstack/tripleo-quickstart,0.0,20.0
openstack/neutron,openstack/glance,100.0,25.0
openstack/neutron,openstack/governance,0.0,33.33333333333333
openstack/neutron,openstack/rally-openstack,44.44444444444444,30.555555555555557
openstack/neutron,openstack/neutron-dynamic-routing,28.57142857142857,18.0327868852459
openstack/neutron,openstack/openstack-ansible,50.0,11.11111111111111
openstack/neutron,openstack/os-vif,50.0,17.647058823529413
openstack/neutron,openstack/neutron-lib,83.01886792452831,36.26943005181347
openstack/neutron,openstack/horizon,100.0,12.5
openstack/neutron,openstack/requirements,57.77777777777777,25.568181818181817
openstack/neutron,openstack/releases,60.0,27.500000000000004
openstack/neutron,openstack/nova-specs,100.0,20.0
openstack/neutron,openstack/keystone,100.0,37.5
openstack/neutron,openstack/project-config,86.95652173913044,29.72972972972973
openstack/neutron,openstack/oslo.log,100.0,0.0
openstack/neutron,openstack/oslo.privsep,100.0,22.22222222222222
openstack/neutron,openstack/ceilometer,100.0,0.0
openstack/neutron,openstack/ironic,40.0,12.82051282051282
openstack/neutron,openstack/magnum,0.0,18.181818181818183
openstack/neutron,openstack/openstack-ansible-os_neutron,100.0,18.181818181818183
openstack/neutron,openstack/kuryr-libnetwork,20.0,25.0
openstack/neutron,openstack/kuryr-kubernetes,0.0,31.818181818181817
openstack/neutron,openstack/kuryr-tempest-plugin,0.0,0.0
openstack/neutron,openstack/diskimage-builder,0.0,4.545454545454546
openstack/neutron,openstack/neutron-vpnaas,56.25,28.289473684210524
openstack/neutron,openstack/ironic-python-agent,0.0,4.166666666666666
openstack/neutron,openstack/swift,0.0,0.0
openstack/neutron,openstack/devstack-gate,61.111111111111114,29.069767441860467
openstack/neutron,openstack/networking-ovn,66.66666666666666,27.419354838709676
openstack/neutron,openstack/keystonemiddleware,0.0,17.647058823529413
openstack/neutron,openstack/neutron-fwaas,68.75,29.943502824858758
openstack/neutron,openstack/heat,44.44444444444444,15.517241379310345
openstack/neutron,openstack/oslo.service,100.0,35.714285714285715
openstack/neutron,openstack/oslo.messaging,100.0,8.695652173913043
openstack/neutron,openstack/ec2-api,0.0,4.3478260869565215
openstack/neutron,openstack/grenade,87.5,25.0
openstack/neutron,openstack/ovn-octavia-provider,25.0,37.5
openstack/neutron,openstack/networking-bgpvpn,63.63636363636363,22.950819672131146
openstack/neutron,openstack/networking-sfc,66.66666666666666,14.285714285714285
openstack/neutron,openstack/networking-bagpipe,53.84615384615385,36.92307692307693
openstack/neutron,openstack/sahara,100.0,0.0
openstack/neutron,openstack/puppet-neutron,33.33333333333333,10.0
openstack/neutron,openstack/tripleo-docs,0.0,23.52941176470588
openstack/neutron,openstack/networking-baremetal,0.0,0.0
openstack/neutron,openstack/zun,25.0,0.0
openstack/neutron,openstack/ovsdbapp,60.0,26.08695652173913
openstack/neutron,openstack/neutron-specs,75.0,35.483870967741936
openstack/neutron,openstack/openstack-manuals,63.63636363636363,20.149253731343283
openstack/neutron,openstack/heat-tempest-plugin,100.0,8.333333333333332
openstack/neutron,openstack/python-neutronclient,62.96296296296296,36.0
openstack/neutron,openstack/tap-as-a-service,66.66666666666666,30.76923076923077
openstack/neutron,openstack/openstackdocstheme,100.0,50.0
openstack/neutron,openstack/networking-odl,47.61904761904761,25.40983606557377
openstack/neutron,openstack/oslotest,100.0,12.5
openstack/neutron,openstack/osprofiler,100.0,18.181818181818183
openstack/neutron,openstack/shade,0.0,16.666666666666664
openstack/neutron,openstack/oslo.db,100.0,18.91891891891892
openstack/neutron,openstack/oslo.policy,100.0,10.0
openstack/neutron,openstack/senlin,100.0,0.0
openstack/neutron,openstack/patrole,100.0,18.181818181818183
openstack/neutron,openstack/rpm-packaging,0.0,22.22222222222222
openstack/neutron,openstack/os-ken,100.0,25.0
openstack/neutron,openstack/oslo.config,50.0,15.0
openstack/neutron,openstack/neutron-lbaas,51.724137931034484,20.903954802259886
openstack/neutron,openstack/networking-midonet,64.28571428571429,16.129032258064516
openstack/neutron,openstack/oslo.context,100.0,57.14285714285714
openstack/neutron,openstack/networking-hyperv,50.0,27.27272727272727
openstack/neutron,openstack/networking-l2gw,40.0,23.809523809523807
openstack/neutron,openstack/dragonflow,41.66666666666667,13.978494623655912
openstack/neutron,openstack/congress,100.0,4.166666666666666
openstack/neutron,openstack/tricircle,100.0,3.8461538461538463
openstack/neutron,openstack/rally,66.66666666666666,23.076923076923077
openstack/neutron,openstack/ironic-specs,0.0,24.137931034482758
openstack/neutron,openstack/api-site,0.0,29.03225806451613
openstack/neutron,openstack/networking-calico,100.0,11.11111111111111
openstack/neutron,openstack/networking-ofagent,33.33333333333333,10.204081632653061
