main_project,related_projects
nova,"['nova-specs', 'nova-powervm', 'os-resource-classes', 'charm-nova-k8s', 'python-novaclient', 'nova', 'deb-nova', 'os-traits', 'salt-formula-nova', 'deb-python-novaclient', 'os-vif', 'osc-placement']"
zun,"['python-zunclient', 'zun-tempest-plugin', 'zun-ui', 'zun']"
ironic,"['sushy', 'ironic-webclient', 'deb-python-ironic-inspector-client', 'virtualbmc', 'python-ironic-inspector-client', 'deb-ironic-inspector', 'ironic-prometheus-exporter', 'deb-python-ironicclient', 'ironic-python-agent-builder', 'networking-baremetal', 'ironic-specs', 'sushy-cli', 'ironic-inspector-specs', 'ironic', 'ironic-tempest-plugin', 'networking-generic-switch', 'sushy-tools', 'tenks', 'ironic-ui', 'python-wsmanclient', 'ironic-inspector', 'ironic-lib', 'metalsmith', 'deb-python-ironic-lib', 'deb-ironic-ui', 'deb-ironic', 'molteniron', 'python-ironicclient', 'ironic-python-agent']"
cyborg,"['cyborg', 'cyborg-specs', 'python-cyborgclient', 'os-acc', 'cyborg-tempest-plugin']"
swift,"['swift-bench', 'deb-swift-plugin-s3', 'deb-swift-bench', 'deb-swift', 'salt-formula-swift', 'swift-specs', 'pyeclib', 'deb-python-swiftclient', 'python-swiftclient', 'swift', 'liberasurecode']"
cinder,"['cinder-specs', 'python-cinderclient', 'deb-python-cinderclient', 'salt-formula-cinder', 'charm-cinder-ceph-k8s', 'cinder', 'ansible-role-k8s-cinder', 'charm-cinder-k8s', 'deb-cinder', 'cinderlib', 'rbd-iscsi-client', 'os-brick', 'python-brick-cinderclient-ext', 'cinder-tempest-plugin']"
manila,"['python-manilaclient', 'deb-manila-ui', 'manila-tempest-plugin', 'manila-ui', 'manila-test-image', 'manila', 'deb-python-manilaclient', 'deb-manila', 'manila-specs', 'manila-image-elements']"
neutron,"['charm-neutron-api-genericswitch', 'deb-neutron-lbaas', 'networking-bgpvpn', 'tap-as-a-service', 'deb-neutron', 'deb-neutron-vpnaas', 'neutron-lib', 'os-ken', 'astara-neutron', 'deb-neutron-fwaas', 'neutron-fwaas', 'neutron-dynamic-routing', 'neutron-vpnaas', 'charm-neutron-k8s', 'networking-sfc', 'ovsdbapp', 'neutron-tempest-plugin', 'neutron', 'networking-ofagent', 'deb-python-neutronclient', 'deb-python-neutron-lib', 'python-neutron-pd-driver', 'neutron-fwaas-dashboard', 'neutron-vpnaas-dashboard', 'salt-formula-neutron', 'neutron-lbaas', 'networking-ovn', 'networking-odl', 'python-neutronclient', 'neutron-interconnection', 'networking-bagpipe', 'deb-neutron-taas', 'neutron-specs', 'ovn-octavia-provider', 'networking-onos', 'networking-midonet']"
octavia,"['octavia-tempest-plugin', 'python-octaviaclient', 'octavia-dashboard', 'neutron-lbaas-dashboard', 'octavia-lib', 'octavia']"
designate,"['deb-designate', 'deb-designate-dashboard', 'designate-tempest-plugin', 'designate', 'deb-python-designateclient', 'python-designateclient', 'designate-specs', 'designate-dashboard']"
keystone,"['python-keystoneclient-kerberos', 'deb-python-keystoneclient', 'keystoneauth', 'keystonemiddleware', 'pycadf', 'salt-formula-keystone', 'keystone-tempest-plugin', 'keystone', 'deb-keystone', 'keystoneauth-saml2', 'python-keystoneclient', 'charm-keystone-k8s', 'ldappool', 'ansible-role-k8s-keystone', 'deb-python-keystonemiddleware', 'deb-python-keystoneauth1', 'keystone-specs']"
placement,"['placement', 'charm-placement-k8s']"
glance,"['deb-python-glance-store', 'deb-python-glanceclient', 'glance', 'python-glanceclient', 'glance_store', 'glance-tempest-plugin', 'salt-formula-glance', 'charm-glance-k8s', 'glance-specs', 'deb-glance', 'ansible-role-k8s-glance']"
barbican,"['ansible-role-thales-hsm', 'deb-barbican', 'barbican-specs', 'barbican-tempest-plugin', 'castellan-ui', 'ansible-role-lunasa-hsm', 'deb-python-barbicanclient', 'barbican', 'python-barbicanclient', 'barbican-ui', 'ansible-role-atos-hsm']"
heat,"['heat-cfntools', 'heat-tempest-plugin', 'heat-translator', 'heat-cfnclient', 'heat-agents', 'heat-templates', 'salt-formula-heat', 'deb-heat-cfntools', 'heat-dashboard', 'deb-python-heatclient', 'heat-specs', 'heat', 'python-heatclient', 'deb-heat']"
