index,Source,Target,Source_repo,Target_repo,same_dev,relation_type,Globl labels,description
0,433411,437217,tempest,devstack,True,Depends-On,Unknown,Adding a control statement when setting up OpSt cloud environment while implementing its tests cases in devstack (testing framework for openstack)
1,270356,270388,diskimage-builder,python-neutronclient,True,Change-Id,Remove library,"Remove an external library (argparse), no longer needed, from the two projects from requirements.txt"
2,544025,563173,heat-tempest-plugin,requirements,True,Needed-By,Upgrade library,Upgrade a library (gabbi from 1.42.0 to 1.42.1) in requirement.txt to be able to list test when even the user is not authenticated
3,403714,493747,openstack-ansible-os_rally,openstack-ansible-os_swift,False,Related-Bug,Add configuration,Add a job configuration to remove python-2.7 from env  in both projects
4,121296,124935,ironic,pycadf,False,Change-Id,Remove library,Fixing a bug by removing an extension decalaration which lead to failures when building external links to other projects' documentation
5,239760,250501,fuel-nailgun-agent,fuel-agent,False,Related-Bug,Unknown,Unknown
6,815204,817834,tripleo-ansible,tripleo-heat-templates,False,Related-Bug,Code enhancement,Fixing an issue by removing hard-coded network names in both projects 
7,535608,538549,glance,requirements,False,Depends-On,Upgrade library,"Upgrade the versions of two libraries (i.e., oslo.versionedobjects and iso8601) to accomodate with tz (aka., timezone) change pattern."
8,254280,288392,python-neutronclient,neutron,False,Depends-On,New features,Expose API resources and implement their tests in the other projects
9,487112,487177,releases,requirements,False,Depends-On,Initial library release,Initial release of a new library (os-service-types) into the OpenStack ecosystem (releases and requirements repos changed)
10,403712,493743,openstack-ansible-os_ironic,openstack-ansible-os_horizon,False,Related-Bug,Add configuration,Add a job configuration to remove python-2.7 from env  in both projects
11,577656,578195,kuryr-kubernetes,kuryr-tempest-plugin,False,Depends-On,Unknown,Unknown
12,475040,476865,openstack-ansible-os_keystone,openstack-ansible-tests,True,Depends-On,Move resources,"Moving a file (i.e., test-install-haproxy.yml) between the two projects + enhance deployments"
13,579208,579597,openstack-ansible-tests,openstack-ansible-os_panko,False,Depends-On,Code enhancement,"Group common test-requirement.text content in the test repo (""openstack-ansible-tests"") to minimize review requirement rate as well as simlifying maintenance. Use tox config to capture it."
14,564378,794957,tripleo-heat-templates,neutron,False,Related-Bug,Code enhancement,"Fixing a bug where the same tests were applied to all branches. Hence,  they (developers) adopted definitions (i.e., segment api definition) which was introduced in the newer version (""1.19.0"") of neutron."
15,523881,523882,python-designateclient,project-config,True,Depends-On,Move resources,Move features (designate jobs) between repos
16,270394,270403,python-watcherclient,heat-cfnclient,True,Change-Id,Remove library,Remove an external from library (argparse) from the two projects from requirements
17,610609,612340,openstack-ansible-os_sahara,openstack-ansible-os_cinder,False,Change-Id,Docs,Adding a project name at the end of the sentence.
18,513157,513265,openstack-ansible-lxc_container_create,openstack-ansible-lxc_hosts,True,Depends-On,Add configuration,Fix a typo of a package name and adding a task for it
19,490376,499438,tripleo-quickstart,tripleo-heat-templates,False,Depends-On,Add configuration (vars + test),Add specific configuration variables and exploit them to execute specific tests
20,415024,525529,project-config,ironic-python-agent,True,Related-Bug,Unknown,Unknown
21,536507,536572,os-net-config,os-apply-config,True,Related-Bug,Remove configurations,Remove two job config values (tripleo-ovb-check and tripleo-ovb-experiemental) from the zuul file
22,759478,759485,python-tripleoclient,tripleo-upgrade,True,Related-Bug,Remove configurations,Remove a config value which leads to upgrade failure
23,329529,329530,puppet-tripleo,tripleo-heat-templates,True,Depends-On,Move resources,Move import statement from the 1st to 2nd project
24,121318,121328,swift,hacking,True,Related-Bug,Remove library,Fixing a bug by removing an extension decalaration which lead to failures when building external links to other projects' documentation
25,663021,663875,kolla,kolla-ansible,True,Depends-On,Remove library,A retired project (Neutron LBaaS) caused two project to remove it support 
26,739530,739533,python-tripleoclient,tripleo-common,True,Depends-On,Unknown,Unknown
27,811117,811303,grenade,devstack,False,Depends-On,Unknown,Unknown
28,452845,453316,charm-neutron-openvswitch,charm-percona-cluster,True,Related-Bug,Uknown,Importing a module to fix alphanumeric comparisons in both projects + fix code where such comparison is made.
29,841489,860895,requirements,neutron,False,Depends-On,Unknown,Unknown
30,817672,817673,kayobe-config-dev,kayobe,True,Depends-On,Unknown,Unknown
31,536579,536588,os-net-config,puppet-tripleo,True,Related-Bug,Remove configurations,Remove two job config values from the zuul file in both projects
32,118694,118729,swift,oslo.vmware,False,Change-Id,Docs,Add a text description on two files to warn the sifgnificance of libraryies declaratioon order
33,367876,367891,openstack-ansible-os_keystone,openstack-ansible-os_swift,True,Related-Bug,Code enhancements,Code enhancements to compress the collected logs  in both projects to reduce space.
34,450842,457347,tripleo-heat-templates,puppet-nova,False,Depends-On,New features,Add a new functionality (live-migration over SSH) and it implementation
35,473081,473158,tripleo-quickstart,tripleo-ci,True,Depends-On,Code enhancements,Remove unnecessary code since it was properly implemented in config-based file in the 2nd project 
36,448827,452715,puppet-neutron,tripleo-heat-templates,False,Depends-On,Add configuration,Add new configuration options for Opendaylight ML2 and adapt such changes in the second project which the same functionality is implemented
37,281369,281376,puppet-openstack_spec_helper,puppet-pacemaker,True,Depends-On,Tests,The 1st project adds a test mehods and consume it in the second project
38,558569,558576,charm-ceph-fs,charm-rabbitmq-server,True,Related-Bug,Code enhancements,"Remove a deleted flag (""--allow-unverified"") from pip install command line in both projects. It is no longer supported as of pip 10.0. As a result, results in unit, lint tests for OpenStack charms are now failing, with the dev/test gate completely blocked"
39,670150,686215,puppet-neutron,neutron,False,Related-Bug,Unknown,Unknown
40,558281,567269,charm-designate-bind,charms.openstack,True,Related-Bug,Code enhancements,"Remove a removed flag (""--allow-unverified"") from pip install command line in both projects. It is no longer supported as of pip 10.0. As a result, results in unit, lint tests for OpenStack charms are now failing, with the dev/test gate completely blocked"
41,518960,522645,puppet-nova,tripleo-heat-templates,True,Depends-On,Add configuration,"Add a new config value and assign ""unversioned"" value in the other project"
42,315746,316299,fuel-library,fuel-agent,True,Depends-On,Change configuration,Change config file names in afile and make use of them in the second project
43,367860,367888,openstack-ansible-openstack_openrc,openstack-ansible-os_rally,True,Related-Bug,Add a library as code enhancement,"Adding ""gzip"" library to compress the collected logs in both projects to reduce space."
44,660988,661018,kolla,kolla-ansible,True,Depends-On,Upgrade library,"Upgrade a plugin (""Monasca Fluentd plugin"") from 0.0.1 to 0.1.0 and to be able to set field name (""log message"")"
45,810791,815862,puppet-tripleo,puppet-manila,False,Depends-On,Add configuration parameter,"Add new parameter (""backend_availability_zone"" ) and override it in the other project."
46,558276,558295,charm-ceph-radosgw,charm-nova-cloud-controller,True,Related-Bug,Code enhancements,"Remove a deleted flag (""--allow-unverified"") from pip install command line in both projects. It is no longer supported as of pip 10.0. As a result, results in unit, lint tests for OpenStack charms are now failing, with the dev/test gate completely blocked"
47,639096,642321,openstack-zuul-jobs,kuryr-libnetwork,True,Depends-On,Move configuration,"Move a config key-value parameter (""projectnodeset: legacy-ubuntu-xenial-2-node"") from the the 1st project to the other one"
48,696387,859027,tripleo-quickstart-extras,openstack-tempest-skiplist,False,Related-Bug,Remove configuration lines,Remove configurations lines that configures certain tests (because tests fails)
49,523213,523649,nova,ossa,False,Related-Bug,Unknown,Unknown
50,846125,846194,tripleo-quickstart-extras,tripleo-quickstart,True,Depends-On,Unknown,Unknown
51,514912,519856,puppet-openstack-integration,puppet-octavia,True,Depends-On,Add configuration,"Add a job configuration (""openstack/puppet-octavia"") including certain jobs (puppet-openstack-{check-jobs/module-unit-jobs}) that were implemented in other project"
